Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
Afghanistan,2000,,,0.1,,,0.002
Afghanistan,2001,,,0.057,,,0.001
Afghanistan,2002,,,0.182,,,0.004
Afghanistan,2003,,,0.273,,,0.005
Afghanistan,2004,,,0.282,,,0.005
Afghanistan,2005,,,0.335,,,0.006
Afghanistan,2006,,,0.394,,,0.008
Afghanistan,2007,,,0.488,,,0.009
Afghanistan,2008,,,0.465,,,0.009
Afghanistan,2009,,,0.768,,,0.015
Afghanistan,2010,,,1.017,,,0.019
Afghanistan,2011,,,1.454,,,0.027
Afghanistan,2012,,,1.14,,,0.021
Afghanistan,2013,,,0.835,,,0.015
Albania,1997,,2.859,,,0.042,
Albania,2000,,,7.381,,,0.106
Albania,2001,,39.213,6.241,,0.557,0.089
Albania,2002,,78.007,9.308,,1.097,0.131
Albania,2003,,128.635,7.04,,1.789,0.098
Albania,2004,,,7.235,,,0.099
Albania,2005,,128.176,8.136,,1.739,0.11
Albania,2006,,,10.626,,,0.142
Albania,2007,,,13.636,,,0.18
Albania,2008,,,17.474,,,0.228
Albania,2009,,123.313,26.302,,1.586,0.338
Albania,2010,,,46.927,,,0.597
Albania,2011,1.033,2.754,55.384,0.013,0.035,0.698
Albania,2012,,,64.301,,,0.803
Albania,2013,,1.382,63.418,,0.017,0.787
Albania,2014,3.461,1.038,,0.043,0.013,
Albania,2015,4.86,1.736,,0.06,0.021,
Algeria,1988,0.203,8.174,,0.004,0.147,
Algeria,1989,0.158,7.918,,0.003,0.141,
Algeria,1990,0.232,8.837,,0.004,0.156,
Algeria,1991,0.226,6.402,,0.004,0.112,
Algeria,1992,0.368,6.034,,0.006,0.104,
Algeria,1993,0.288,4.966,,0.005,0.085,
Algeria,1994,0.952,4.16,,0.016,0.07,
Algeria,1995,0.969,4.636,,0.016,0.077,
Algeria,1996,1.7,5.1,,0.028,0.083,
Algeria,1997,1.138,6.926,,0.018,0.111,
Algeria,1998,1.385,8.802,,0.022,0.139,
Algeria,1999,1.17,8.061,,0.018,0.125,
Algeria,2000,1.026,4.073,11.304,0.016,0.062,0.172
Algeria,2001,1.614,2.975,12.373,0.024,0.044,0.185
Algeria,2002,1.344,9.095,14.634,0.02,0.134,0.215
Algeria,2003,0.926,9.135,18.118,0.013,0.132,0.262
Algeria,2004,1.767,10.173,24.952,0.025,0.145,0.356
Algeria,2005,1.772,13.969,27.938,0.025,0.197,0.394
Algeria,2006,1.717,18.089,38.667,0.024,0.253,0.54
Algeria,2007,2.449,22.303,42.152,0.034,0.309,0.584
Algeria,2008,,,52.483,,,0.724
Algeria,2009,,,63.078,,,0.867
Algeria,2010,2.104,20.212,62.532,0.029,0.278,0.859
Algeria,2011,2.553,21.809,71.158,0.035,0.3,0.98
Algeria,2012,3.168,20.79,84.486,0.044,0.287,1.167
Algeria,2013,3.078,18.832,95.27,0.043,0.261,1.321
Algeria,2014,2.403,18.382,,0.033,0.256,
Algeria,2015,2.232,17.958,,0.031,0.251,
Andorra,2000,,,15.293,,,0.153
Andorra,2001,,,38.609,,,0.386
Andorra,2002,,,21.414,,,0.214
Andorra,2003,,,56.025,,,0.56
Andorra,2004,,,17.051,,,0.171
Andorra,2005,,,65.934,,,0.659
Andorra,2006,,,61.735,,,0.617
Andorra,2007,,,74.985,,,0.75
Andorra,2008,,,8.347,,,0.083
Andorra,2009,,,40.255,,,0.403
Andorra,2010,,,14.21,,,0.142
Andorra,2011,,,11.94,,,0.119
Andorra,2012,,,47.312,,,0.473
Andorra,2013,,,73.031,,,0.73
Angola,1992,0.308,0.154,,0.006,0.003,
Angola,2000,,,0.371,,,0.007
Angola,2001,,,0.518,,,0.01
Angola,2002,,,0.882,,,0.017
Angola,2003,,,0.132,,,0.003
Angola,2004,,,0.382,,,0.007
Angola,2005,,,0.455,,,0.009
Angola,2006,,,0.671,,,0.013
Angola,2007,,,0.519,,,0.01
Angola,2008,,,0.492,,,0.01
Angola,2009,,,0.621,,,0.012
Angola,2010,,,0.672,,,0.013
Angola,2011,,,0.735,,,0.014
Angola,2012,,,0.869,,,0.017
Angola,2013,,,0.869,,,0.017
Antigua and Barbuda,2000,,,3.589,,,0.051
Antigua and Barbuda,2001,,,11.757,,,0.166
Antigua and Barbuda,2002,,,35.935,,,0.505
Antigua and Barbuda,2003,,,20.62,,,0.289
Antigua and Barbuda,2004,,,7.931,,,0.111
Antigua and Barbuda,2005,,,20.167,,,0.281
Antigua and Barbuda,2006,,,17.719,,,0.246
Antigua and Barbuda,2007,,,47.056,,,0.65
Antigua and Barbuda,2008,,,68.124,,,0.935
Antigua and Barbuda,2009,,,40.607,,,0.554
Antigua and Barbuda,2010,,,23.241,,,0.315
Antigua and Barbuda,2011,,83.578,8.358,,1.126,0.113
Antigua and Barbuda,2012,,72.331,25.833,,0.969,0.346
Antigua and Barbuda,2013,,71.557,19.423,,0.953,0.259
Antigua and Barbuda,2014,,151.707,,,2.011,
Antigua and Barbuda,2015,,100.077,,,1.32,
Arab World,1989,2.532,5.545,,0.044,0.097,
Arab World,1992,,6.378,,,0.111,
Arab World,1993,2.909,7.522,,0.05,0.13,
Arab World,1994,2.841,7.194,,0.049,0.123,
Arab World,1995,3.117,8.16,,0.053,0.138,
Arab World,1996,3.458,8.17,,0.058,0.137,
Arab World,1998,2.854,12.188,,0.047,0.201,
Arab World,1999,2.91,,,0.048,,
Arab World,2000,3.96,8.554,27.99,0.064,0.138,0.453
Arab World,2001,2.867,7.152,30.049,0.046,0.115,0.482
Arab World,2002,3.348,6.391,30.653,0.053,0.102,0.487
Arab World,2003,2.89,5.773,33.561,0.046,0.091,0.529
Arab World,2004,3.015,6.294,37.25,0.047,0.098,0.582
Arab World,2005,3.105,9.141,39.692,0.048,0.142,0.615
Arab World,2006,,,44.444,,,0.683
Arab World,2007,3.097,14.286,48.576,0.047,0.218,0.742
Arab World,2008,,,54.157,,,0.822
Arab World,2009,,,63.57,,,0.96
Arab World,2010,4.351,13.671,69.742,0.065,0.206,1.049
Arab World,2011,4.626,17.331,79.592,0.069,0.26,1.195
Arab World,2012,,,88.137,,,1.322
Arab World,2013,5.661,16.733,94.592,0.085,0.251,1.419
Arab World,2014,5.599,15.729,,0.084,0.236,
Argentina,1990,29.178,59.732,,0.421,0.861,
Argentina,1991,28.409,55.763,,0.409,0.802,
Argentina,1992,14.946,57.02,,0.214,0.817,
Argentina,1993,23.072,66.284,,0.329,0.944,
Argentina,1994,20.082,81.602,,0.285,1.157,
Argentina,1995,19.317,102.529,,0.273,1.447,
Argentina,1996,30.971,113.27,,0.435,1.592,
Argentina,1997,22.995,140.509,,0.322,1.969,
Argentina,1998,23.757,150.628,,0.332,2.104,
Argentina,1999,24.531,151.659,,0.342,2.112,
Argentina,2000,28.658,150.415,114.528,0.398,2.089,1.59
Argentina,2001,18.441,135.783,116.312,0.255,1.879,1.61
Argentina,2002,18.95,109.345,121.889,0.261,1.509,1.682
Argentina,2003,20.674,98.279,117.065,0.285,1.353,1.611
Argentina,2004,20.295,98.532,119.841,0.279,1.352,1.645
Argentina,2005,26.925,107.675,124.714,0.368,1.473,1.707
Argentina,2006,25.784,116.206,134.85,0.352,1.586,1.841
Argentina,2007,23.442,120.24,141.768,0.319,1.636,1.929
Argentina,2008,19.835,118.393,155.427,0.269,1.606,2.108
Argentina,2009,15.687,106.276,171.902,0.212,1.437,2.325
Argentina,2010,13.39,101.034,179.993,0.181,1.363,2.428
Argentina,2011,16.516,99.215,188.677,0.222,1.335,2.539
Argentina,2012,17.46,96.872,191.775,0.235,1.302,2.577
Argentina,2013,15.115,97.062,189.307,0.203,1.302,2.54
Argentina,2014,11.842,97.088,,0.159,1.301,
Argentina,2015,12.575,82.432,,0.168,1.102,
Armenia,1993,54.711,8.92,,0.782,0.128,
Armenia,1994,46.899,24.059,,0.668,0.343,
Armenia,1995,58.123,30.46,,0.824,0.432,
Armenia,1996,51.133,48.608,,0.719,0.684,
Armenia,1997,19.789,38.62,,0.276,0.538,
Armenia,1998,24.126,2.573,,0.333,0.035,
Armenia,1999,35.286,5.18,,0.481,0.071,
Armenia,2000,38.767,2.606,102.164,0.523,0.035,1.378
Armenia,2001,45.892,4.917,92.833,0.611,0.065,1.236
Armenia,2002,65.922,2.307,96.345,0.868,0.03,1.268
Armenia,2003,50.036,1.988,96.096,0.652,0.026,1.252
Armenia,2004,,2,109.611,,0.026,1.415
Armenia,2005,69.098,0.671,125.853,0.885,0.009,1.611
Armenia,2006,64.898,0.338,121.142,0.827,0.004,1.544
Armenia,2007,46.027,1.705,133.376,0.584,0.022,1.692
Armenia,2008,77.711,1.375,133.277,0.982,0.017,1.684
Armenia,2009,40.158,3.808,149.658,0.506,0.048,1.886
Armenia,2010,47.266,2.085,169.881,0.595,0.026,2.137
Armenia,2011,42.078,6.607,213.035,0.526,0.083,2.661
Armenia,2012,47.538,1.388,193.864,0.59,0.017,2.406
Armenia,2013,43.2,2.074,193.018,0.533,0.026,2.383
Armenia,2014,41.635,0.688,,0.512,0.008,
Armenia,2015,38.739,0.686,,0.475,0.008,
Aruba,2002,10.527,,,0.136,,
Australia,1995,98.716,679.338,,1.258,8.657,
Australia,1996,98.138,722.025,,1.249,9.19,
Australia,1997,95.048,831.56,,1.208,10.566,
Australia,1998,99.514,858.479,,1.262,10.886,
Australia,1999,98.172,948.959,,1.242,12.009,
Australia,2000,100.663,1048.034,1078.708,1.272,13.24,13.627
Australia,2001,112.656,1058.466,1101.149,1.419,13.334,13.872
Australia,2002,120.297,1026.95,1128.556,1.511,12.902,14.178
Australia,2003,121.536,963.841,1169.818,1.523,12.077,14.658
Australia,2004,127.14,1007.284,1290.355,1.589,12.588,16.126
Australia,2005,125.277,1044.482,1461.069,1.562,13.022,18.216
Australia,2006,137.067,1119.244,1542.891,1.704,13.916,19.183
Australia,2007,130.5,1158.175,1661.574,1.619,14.367,20.611
Australia,2008,132.758,1107.101,1686.986,1.644,13.709,20.89
Australia,2009,114.975,976.733,1748.521,1.422,12.077,21.62
Australia,2010,109.342,1020.255,1819.143,1.35,12.597,22.461
Australia,2011,106.67,1035.943,1921.981,1.317,12.786,23.723
Australia,2012,115.583,1044.119,1957.427,1.425,12.873,24.133
Australia,2013,132.411,1153.073,2067.957,1.63,14.197,25.462
Australia,2014,84.737,1021.624,,1.042,12.568,
Australia,2015,96.304,1106.126,,1.185,13.605,
Austria,1985,299.935,210.311,,3.663,2.569,
Austria,1986,291.95,176.491,,3.554,2.148,
Austria,1987,296.914,167.93,,3.6,2.036,
Austria,1988,291.616,138.162,,3.523,1.669,
Austria,1989,276.262,120.086,,3.329,1.447,
Austria,1990,263.746,87.264,,3.175,1.051,
Austria,1991,267.702,70.149,,3.224,0.845,
Austria,1992,270.001,65.938,,3.258,0.796,
Austria,1993,277.018,64.89,,3.354,0.786,
