Entity,Year,CO2 from gas (CDIAC & GCP (2018)),CO2 from coal (CDIAC & GCP (2018)),CO2 from oil (CDIAC & GCP (2018)),CO2 from cement (CDIAC & GCP (2018)),CO2 from flaring (CDIAC & GCP (2018))
Afghanistan,1949,0,14656,0,0,0
Afghanistan,1950,0,21984,65952,0,0
Afghanistan,1951,0,25648,65952,0,0
Afghanistan,1952,0,32976,62288,0,0
Afghanistan,1953,0,36640,65952,0,0
Afghanistan,1954,0,43968,65952,0,0
Afghanistan,1955,0,62288,91600,0,0
Afghanistan,1956,0,62288,120912,0,0
Afghanistan,1957,0,76944,216176,0,0
Afghanistan,1958,0,91600,238160,0,0
Afghanistan,1959,0,109920,256480,18320,0
Afghanistan,1960,0,128240,271136,18320,0
Afghanistan,1961,0,175872,293120,21984,0
Afghanistan,1962,0,296784,362736,29312,0
Afghanistan,1963,0,263808,392048,51296,0
Afghanistan,1964,0,300448,476320,62288,0
Afghanistan,1965,0,381056,542272,84272,0
Afghanistan,1966,0,428688,575248,87936,0
Afghanistan,1967,260144,399376,556928,65952,0
Afghanistan,1968,348080,333424,498304,47632,0
Afghanistan,1969,0,362736,527616,51296,0
Afghanistan,1970,216176,436016,670512,47632,296784
Afghanistan,1971,439680,359072,747456,43968,304112
Afghanistan,1972,300448,190528,626544,47632,366400
Afghanistan,1973,333424,311440,703488,69616,223504
Afghanistan,1974,399376,304112,769440,73280,366400
Afghanistan,1975,476320,399376,875696,73280,304112
Afghanistan,1976,300448,425024,883024,84272,293120
Afghanistan,1977,512960,450672,974624,69616,381056
Afghanistan,1978,300448,575248,934320,62288,282128
Afghanistan,1979,384720,351744,1165152,69616,267472
Afghanistan,1980,186864,315104,923328,25648,304112
Afghanistan,1981,304112,333424,1014928,36640,293120
Afghanistan,1982,395712,384720,992944,43968,282128
Afghanistan,1983,615552,384720,1220112,7328,293120
Afghanistan,1984,930656,392048,1132176,54960,315104
Afghanistan,1985,1190800,399376,1546208,36640,329760
Afghanistan,1986,1201792,425024,1139504,43968,329760
Afghanistan,1987,392048,443344,2015200,51296,223504
Afghanistan,1988,439680,366400,1821008,51296,186864
Afghanistan,1989,479984,337088,1864976,51296,40304
Afghanistan,1990,403040,278464,1850320,54960,25648
Afghanistan,1991,388384,249152,1718416,54960,25648
Afghanistan,1992,362736,21984,926992,58624,21984
Afghanistan,1993,351744,18320,894016,58624,21984
Afghanistan,1994,337088,14656,857376,58624,21984
Afghanistan,1995,322432,14656,824400,58624,21984
Afghanistan,1996,307776,7328,780432,58624,21984
Afghanistan,1997,282128,3664,725472,58624,21984
Afghanistan,1998,263808,3664,688832,58624,21984
Afghanistan,1999,241824,3664,494640,58624,21984
Afghanistan,2000,223504,3664,498304,25648,21984
Afghanistan,2001,208848,69616,490976,25648,21984
Afghanistan,2002,545936,54960,439680,29312,0
Afghanistan,2003,465328,91600,600896,36640,0
Afghanistan,2004,227168,91600,593568,36640,0
