Entity,Year,Number of countries which are not electoral democracies,Number of electoral democracies aged 1-18 years,Number of electoral democracies aged 19-30 years,Number of electoral democracies aged 31-60 years,Number of electoral democracies aged 61-90 years,Number of electoral democracies aged 91 years or older,Number of countries which are not liberal democracies,Number of liberal democracies aged 1-18 years,Number of liberal democracies aged 19-30 years,Number of liberal democracies aged 31-60 years,Number of liberal democracies aged 61-90 years,Number of liberal democracies aged 91 years or older
World,1789,66,0,0,0,0,0,66,0,0,0,0,0
World,1790,68,0,0,0,0,0,68,0,0,0,0,0
World,1791,69,0,0,0,0,0,69,0,0,0,0,0
World,1792,69,0,0,0,0,0,69,0,0,0,0,0
World,1793,69,0,0,0,0,0,69,0,0,0,0,0
World,1794,69,0,0,0,0,0,69,0,0,0,0,0
World,1795,71,0,0,0,0,0,71,0,0,0,0,0
World,1796,70,0,0,0,0,0,70,0,0,0,0,0
World,1797,70,0,0,0,0,0,70,0,0,0,0,0
World,1798,70,0,0,0,0,0,70,0,0,0,0,0
World,1799,70,0,0,0,0,0,70,0,0,0,0,0
World,1800,71,0,0,0,0,0,71,0,0,0,0,0
World,1801,72,0,0,0,0,0,72,0,0,0,0,0
World,1802,74,0,0,0,0,0,74,0,0,0,0,0
World,1803,73,0,0,0,0,0,73,0,0,0,0,0
World,1804,73,0,0,0,0,0,73,0,0,0,0,0
World,1805,73,0,0,0,0,0,73,0,0,0,0,0
World,1806,73,0,0,0,0,0,73,0,0,0,0,0
World,1807,74,0,0,0,0,0,74,0,0,0,0,0
World,1808,73,0,0,0,0,0,73,0,0,0,0,0
World,1809,73,0,0,0,0,0,73,0,0,0,0,0
World,1810,73,0,0,0,0,0,73,0,0,0,0,0
World,1811,73,0,0,0,0,0,73,0,0,0,0,0
World,1812,73,0,0,0,0,0,73,0,0,0,0,0
World,1813,75,0,0,0,0,0,75,0,0,0,0,0
World,1814,76,0,0,0,0,0,76,0,0,0,0,0
World,1815,81,0,0,0,0,0,81,0,0,0,0,0
World,1816,81,0,0,0,0,0,81,0,0,0,0,0
World,1817,82,0,0,0,0,0,82,0,0,0,0,0
World,1818,82,0,0,0,0,0,82,0,0,0,0,0
World,1819,82,0,0,0,0,0,82,0,0,0,0,0
World,1820,81,0,0,0,0,0,81,0,0,0,0,0
World,1821,85,0,0,0,0,0,85,0,0,0,0,0
World,1822,85,0,0,0,0,0,85,0,0,0,0,0
World,1823,85,0,0,0,0,0,85,0,0,0,0,0
World,1824,84,0,0,0,0,0,84,0,0,0,0,0
World,1825,86,0,0,0,0,0,86,0,0,0,0,0
World,1826,87,0,0,0,0,0,87,0,0,0,0,0
World,1827,87,0,0,0,0,0,87,0,0,0,0,0
World,1828,87,0,0,0,0,0,87,0,0,0,0,0
World,1829,87,0,0,0,0,0,87,0,0,0,0,0
World,1830,89,0,0,0,0,0,89,0,0,0,0,0
World,1831,90,0,0,0,0,0,90,0,0,0,0,0
World,1832,91,0,0,0,0,0,91,0,0,0,0,0
World,1833,91,0,0,0,0,0,91,0,0,0,0,0
World,1834,92,0,0,0,0,0,92,0,0,0,0,0
World,1835,92,0,0,0,0,0,92,0,0,0,0,0
World,1836,92,0,0,0,0,0,92,0,0,0,0,0
World,1837,92,0,0,0,0,0,92,0,0,0,0,0
World,1838,95,0,0,0,0,0,95,0,0,0,0,0
World,1839,96,0,0,0,0,0,96,0,0,0,0,0
World,1840,96,0,0,0,0,0,96,0,0,0,0,0
World,1841,97,0,0,0,0,0,97,0,0,0,0,0
World,1842,97,0,0,0,0,0,97,0,0,0,0,0
World,1843,97,0,0,0,0,0,97,0,0,0,0,0
World,1844,98,0,0,0,0,0,98,0,0,0,0,0
World,1845,98,0,0,0,0,0,98,0,0,0,0,0
World,1846,99,0,0,0,0,0,99,0,0,0,0,0
World,1847,97,0,0,0,0,0,97,0,0,0,0,0
World,1848,100,0,0,0,0,0,100,0,0,0,0,0
World,1849,98,1,0,0,0,0,98,1,0,0,0,0
