Entity,Year,"Central Gov Expenditure (Roine, Vlachos, Waldenström (2009) and US Historical Tables (2016))"
Australia,1900,1.103945822
Australia,1905,2.254664339
Australia,1910,2.276665345
Australia,1913,2.287954465
Australia,1920,6.390944123
Australia,1922,4.661104828
Australia,1925,3.584734723
Australia,1929,4.189994186
Australia,1932,5.101581663
Australia,1935,4.601599649
Australia,1938,4.087539762
Australia,1945,18.87246221
Australia,1948,10.66337451
Australia,1950,9.662200511
Australia,1951,9.889015555
Australia,1952,12.39124686
Australia,1953,12.67163157
Australia,1954,11.16437614
Australia,1955,11.26887277
Australia,1956,11.57078221
Australia,1957,11.23271435
Australia,1958,11.44278646
Australia,1959,11.57171503
Australia,1960,10.63456833
Australia,1961,11.58536598
Australia,1962,11.38548926
Australia,1963,11.3203764
Australia,1964,11.80269271
Australia,1965,12.59832531
Australia,1966,13.05468529
Australia,1967,13.57811987
Australia,1968,13.97438794
Australia,1969,13.47690672
Australia,1970,13.68121505
Australia,1971,14.28708881
Australia,1972,14.69915509
Australia,1973,14.60870802
Australia,1974,15.58356434
Australia,1975,17.77673811
Australia,1976,17.86921322
Australia,1977,17.81013161
Australia,1978,18.02439541
Australia,1979,17.24749655
Australia,1980,17.77803004
Australia,1981,17.95638204
Australia,1982,18.26042235
Australia,1983,19.13789213
Australia,1984,19.20791864
Australia,1985,19.34119463
Australia,1986,19.80885267
Australia,1987,18.72280985
Australia,1988,17.95976758
Australia,1989,17.43658483
Australia,1990,18.07228625
Australia,1991,19.16430295
Australia,1992,19.13050413
Australia,1993,18.92719567
Australia,1994,18.43046099
Australia,1995,18.29831898
Australia,1996,18.32037866
Australia,1997,18.07379872
Australia,1998,18.08432192
Australia,1999,18.16464961
Australia,2000,18.20157319
Australia,2001,18.08732599
Australia,2002,17.9327324
Australia,2003,18.04666221
Australia,2004,18.09561551
Australia,2005,18.15026104
Canada,1900,3.751241043
Canada,1905,3.850353882
Canada,1910,4.107483476
Canada,1913,4.750435054
Canada,1920,6.781020015
Canada,1922,6.990567595
Canada,1925,4.94319126
Canada,1929,4.491886869
Canada,1932,9.497076273
Canada,1935,8.438423276
Canada,1938,7.14167133
Canada,1945,29.47772741
Canada,1948,9.146954864
Canada,1950,10.08104607
Canada,1951,12.61669695
Canada,1952,14.38220143
Canada,1953,14.48759288
Canada,1954,14.41709697
Canada,1955,13.79829049
Canada,1956,13.45206946
Canada,1957,13.26776296
Canada,1958,13.60082924
Canada,1959,13.13726008
Canada,1960,13.38724345
Canada,1961,14.97583389
Canada,1962,14.702788
Canada,1963,14.43464458
Canada,1964,14.3218711
Canada,1965,14.27412331
Canada,1966,14.87704068
Canada,1967,15.9143731
Canada,1968,16.66206867
Canada,1969,16.92335159
Canada,1970,18.23927909
Canada,1971,18.51893216
Canada,1972,18.31994355
Canada,1973,17.71999747
Canada,1974,17.83975363
Canada,1975,19.16012466
Canada,1976,19.13757473
Canada,1977,19.64538693
Canada,1978,19.35093999
Canada,1979,18.70182455
Canada,1980,18.84601861
Canada,1981,19.08392012
Canada,1982,20.70636749
Canada,1983,20.55757791
Canada,1984,19.81596202
Canada,1985,19.66568828
Canada,1986,19.5358023
Canada,1987,18.92587692
Canada,1988,18.67119819
Canada,1989,18.86919886
Canada,1990,19.87804472
Canada,1991,23.69985729
Canada,1992,24.11560714
Canada,1993,23.55263531
Canada,1994,22.27721065
Canada,1995,21.30336463
Canada,1996,20.47536969
Canada,1997,19.47168559
Canada,1998,19.32756454
Canada,1999,18.65628511
Canada,2000,18.22326779
Canada,2001,18.7372908
Canada,2002,18.95276904
Canada,2003,19.0188542
Canada,2004,19.26351339
Canada,2005,19.16879117
Denmark,1900,5.999626592
Denmark,1905,6.458609551
Denmark,1910,7.036473602
Denmark,1913,4.684823751
Denmark,1920,7.326928526
Denmark,1922,9.383717179
Denmark,1925,6.889559329
Denmark,1929,5.659825355
Denmark,1932,6.62305057
Denmark,1935,6.263164431
Denmark,1938,6.724895537
Denmark,1945,9.070518613
Denmark,1948,11.37300879
Denmark,1950,10.21420583
Denmark,1951,11.34546399
Denmark,1952,11.99140847
Denmark,1953,12.23895252
Denmark,1954,12.78108656
Denmark,1955,12.51728982
Denmark,1956,12.48019636
Denmark,1957,12.44295686
Denmark,1958,12.66744286
Denmark,1959,12.36739829
Denmark,1960,12.30814531
Denmark,1961,13.28481287
Denmark,1962,13.99186552
Denmark,1963,14.3141374
Denmark,1964,14.42408413
Denmark,1965,15.1219517
Denmark,1966,17.92863011
Denmark,1967,18.62844378
Denmark,1968,19.44312453
Denmark,1969,19.7144568
Denmark,1970,20.87061852
Denmark,1971,22.19601572
Denmark,1972,22.03665972
Denmark,1973,22.07347602
Denmark,1974,24.1470322
Denmark,1975,25.31235814
Denmark,1976,24.74308759
Denmark,1977,24.55818057
Denmark,1978,25.16756654
Denmark,1979,25.69344044
Denmark,1980,27.28870213
Denmark,1981,28.3660382
Denmark,1982,28.68516147
Denmark,1983,27.94154286
Denmark,1984,26.55317783
Denmark,1985,25.90509951
Denmark,1986,24.6369049
Denmark,1987,25.79846978
Denmark,1988,26.27794147
Denmark,1989,25.94052851
Denmark,1990,25.12335777
Denmark,1991,25.31728745
Denmark,1992,25.26464462
Denmark,1993,26.44172311
Denmark,1994,25.52241981
Denmark,1995,25.2258867
Denmark,1996,25.40285587
Denmark,1997,24.96615201
Denmark,1998,25.6193608
Denmark,1999,25.74196458
Denmark,2000,25.12434721
Denmark,2001,25.70061684
Denmark,2002,26.24043822
Denmark,2003,26.3361156
Denmark,2004,26.4646858
Denmark,2005,25.85872114
France,1900,6.57165125
France,1905,6.420257688
France,1910,6.078181416
France,1913,5.881308764
France,1920,13.00535351
France,1922,16.70402288
France,1925,8.417049795
France,1929,9.853752702
France,1932,8.787796646
France,1935,14.03504461
France,1938,11.44432649
France,1945,29.57492769
France,1948,9.886397421
France,1950,12.28939518
France,1951,13.72045577
France,1952,14.76648301
France,1953,15.1515156
France,1954,13.25451136
France,1955,12.44909838
France,1956,13.87434602
France,1957,14.05735761
France,1958,13.32243532
France,1959,14.03443068
France,1960,13.25463802
France,1961,13.41576576
France,1962,13.53820562
France,1963,13.68239075
France,1964,13.53517324
France,1965,13.36091012
France,1966,13.221246
France,1967,13.21188509
France,1968,13.78356367
France,1969,13.61495703
France,1970,14.996849
France,1971,15.22279978
France,1972,15.16347826
France,1973,15.14427364
France,1974,15.67152739
France,1975,16.8880716
France,1976,17.22333282
France,1977,17.47836024
France,1978,20.36155164
France,1979,20.37507147
France,1980,21.1009711
France,1981,21.93890214
France,1982,22.40174562
France,1983,22.43039757
France,1984,22.63137549
France,1985,22.64386117
France,1986,22.46163785
France,1987,22.32342213
France,1988,21.95123583
France,1989,21.49984688
France,1990,21.68521285
France,1991,22.18721807
France,1992,22.66145051
France,1993,24.03290123
France,1994,23.71655852
France,1995,23.61641526
France,1996,23.86651039
France,1997,23.85289222
France,1998,23.07094783
France,1999,23.17804247
France,2000,22.90022671
France,2001,22.79059887
France,2002,23.38800877
France,2003,23.72677624
France,2004,23.72653782
France,2005,23.71878624
Ireland,1925,7.554831356
Ireland,1929,7.685987651
Ireland,1932,7.802718133
Ireland,1935,8.942998201
Ireland,1938,11.66303903
Ireland,1948,11.17320731
Ireland,1950,12.09677383
Ireland,1951,13.7755096
Ireland,1952,12.44444475
Ireland,1953,12.5
Ireland,1954,12.65060306
Ireland,1955,12.45210767
Ireland,1956,13.01886737
Ireland,1957,12.38615662
Ireland,1958,12.32394353
Ireland,1959,12.1710524
Ireland,1960,12.5198096
Ireland,1961,12.35294119
Ireland,1962,12.5
Ireland,1963,12.64222562
Ireland,1964,13.31853569
Ireland,1965,13.5557875
Ireland,1966,13.56435567
Ireland,1967,13.3152172
Ireland,1968,13.41365427
Ireland,1969,13.56050074
Ireland,1970,14.62060511
Ireland,1971,15.27253091
Ireland,1972,15.28150141
Ireland,1973,15.46353996
Ireland,1974,17.11802036
Ireland,1975,18.53902936
Ireland,1976,18.00988615
Ireland,1977,17.00859219
Ireland,1978,17.1081841
Ireland,1979,18.07502806
Ireland,1980,19.86967176
Ireland,1981,19.89611834
Ireland,1982,19.77282912
Ireland,1983,19.15392876
Ireland,1984,18.52500588
Ireland,1985,18.37052703
Ireland,1986,17.97695756
Ireland,1987,16.96322709
Ireland,1988,15.58235735
Ireland,1989,14.48973119
Ireland,1990,15.06329179
Ireland,1991,15.97809643
Ireland,1992,16.34875834
Ireland,1993,16.13672376
Ireland,1994,15.93927443
Ireland,1995,14.91801292
Ireland,1996,14.27444518
Ireland,1997,13.78695965
Ireland,1998,13.16892803
Ireland,1999,12.65987456
Ireland,2000,12.48170808
Ireland,2001,13.25316727
Ireland,2002,13.6147812
Ireland,2003,13.84194642
Ireland,2004,14.24215138
Ireland,2005,14.13413733
Italy,1900,7.383167744
Italy,1905,7.261697948
Italy,1910,7.95700103
Italy,1913,8.480799943
Italy,1920,16.98261201
Italy,1922,20.30730098
Italy,1925,8.458480239
Italy,1929,8.674573898
Italy,1932,13.64474446
Italy,1935,11.29788384
Italy,1938,15.36465436
Italy,1945,14.76475149
Italy,1948,15.60547054
Italy,1950,13.35340738
Italy,1951,11.59150228
Italy,1952,12.21261844
Italy,1953,11.5826495
Italy,1954,12.08742857
Italy,1955,11.80814281
Italy,1956,11.86430305
Italy,1957,11.72786802
Italy,1958,11.97646037
Italy,1959,12.06250936
Italy,1960,13.40112835
Italy,1961,13.343665
Italy,1962,13.73198181
Italy,1963,14.5115152
Italy,1964,14.79097903
Italy,1965,15.55822492
Italy,1966,16.26955271
Italy,1967,15.90402871
Italy,1968,16.05151147
Italy,1969,15.8201158
Italy,1970,15.50320834
Italy,1971,17.04890132
Italy,1972,17.65818149
Italy,1973,17.03274399
Italy,1974,16.16507173
Italy,1975,16.53883904
Italy,1976,15.76316059
Italy,1977,16.14896655
Italy,1978,16.68871939
Italy,1979,16.77806526
Italy,1980,16.875045
Italy,1981,18.19031537
Italy,1982,18.27535629
Italy,1983,18.65749508
Italy,1984,18.44702512
Italy,1985,18.64542216
Italy,1986,18.34451705
Italy,1987,19.11057532
Italy,1988,19.54979748
Italy,1989,19.34083104
Italy,1990,20.21002024
Italy,1991,20.27966529
Italy,1992,20.10717839
Italy,1993,19.96116191
Italy,1994,19.2543596
Italy,1995,17.96096563
Italy,1996,18.25728863
Italy,1997,18.3149159
Italy,1998,18.11221987
Italy,1999,18.23004335
Italy,2000,18.44810545
Italy,2001,18.96904707
Italy,2002,19.20763105
Italy,2003,19.69086826
Italy,2004,19.83497441
Italy,2005,20.29000074
Japan,1900,5.839278921
Japan,1905,12.17065006
Japan,1910,12.75622547
Japan,1913,8.599901199
Japan,1920,7.903501391
Japan,1922,9.128741175
Japan,1925,9.262312204
Japan,1929,10.33644155
Japan,1932,12.8149882
Japan,1935,13.00447434
Japan,1938,20.34201771
Japan,1945,25.28519034
Japan,1948,15.93549848
Japan,1950,18.77949238
Japan,1951,12.0228149
Japan,1952,10.76081693
Japan,1953,11.11744568
Japan,1954,11.02988347
Japan,1955,10.10215655
Japan,1956,9.277026355
Japan,1957,8.694731444
Japan,1958,8.858323842
Japan,1959,8.467586339
Japan,1960,8.005771786
Japan,1961,7.67563954
Japan,1962,7.960278541
Japan,1963,8.241880685
Japan,1964,7.960719615
Japan,1965,8.184750378
Japan,1966,8.001834154
Japan,1967,7.623881102
Japan,1968,7.426536083
Japan,1969,7.325214148
Japan,1970,7.437872142
Japan,1971,7.957120985
Japan,1972,8.157204092
Japan,1973,8.299169689
Japan,1974,9.117949754
Japan,1975,10.03876552
Japan,1976,9.855858982
Japan,1977,9.828145057
Japan,1978,9.663460404
Japan,1979,9.69825834
Japan,1980,13.32949549
Japan,1981,13.56444508
Japan,1982,13.79784644
Japan,1983,14.06160891
Japan,1984,13.94611895
Japan,1985,13.73330206
Japan,1986,13.90739977
Japan,1987,13.91676515
Japan,1988,13.56626004
Japan,1989,13.42962235
Japan,1990,12.92575896
Japan,1991,13.00025135
Japan,1992,13.37156445
Japan,1993,13.83919716
Japan,1994,14.70821649
Japan,1995,15.13414532
Japan,1996,15.38591683
Japan,1997,15.41365683
