Entity,Year,Share of landowners which are female (%) (FAO (2017))
Algeria,2011,4.1
American Samoa,2011,19.4
Argentina,2011,16.2
Armenia,2011,29.7
Asia,2011,10.9
Austria,2011,34.5
Bangladesh,2011,4.6
Belgium,2011,15.1
Belize,2011,8.1
Botswana,2011,34.7
Brazil,2011,12.7
Bulgaria,2011,22.8
Burkina Faso,2011,8.4
Canada,2011,27.4
Cape Verde,2011,50.5
Chile,2011,29.9
Comoros,2011,32.6
Cote d'Ivoire,2011,10.1
Croatia,2011,22
Cyprus,2011,20.6
Czech Republic,2011,15.1
Democratic Republic of Congo,2011,8.9
Denmark,2011,9
Developing countries,2011,12.1
Dominican Republic,2011,10.2
Ecuador,2011,25.4
Egypt,2011,5.2
El Salvador,2011,11.5
Estonia,2011,35.8
Ethiopia,2011,19.5
Europe,2011,27.8
Fiji,2011,3.6
Finland,2011,11.1
France,2011,22.7
Gambia,2011,8.3
Georgia,2011,29.1
Germany,2011,8.4
Global,2011,12.8
Greece,2011,27.7
Guam,2011,12.5
Guatemala,2011,7.8
Guinea,2011,5.7
Haiti,2011,25.3
Hungary,2011,26.3
Iceland,2011,15.4
India,2011,11.7
Indonesia,2011,8.8
Iran,2011,5.9
Ireland,2011,11.5
Italy,2011,30.7
Jamaica,2011,30.2
Jordan,2011,3
Kyrgyzstan,2011,12.4
Laos,2011,9.1
Latin America and the Caribbean,2011,18.2
Latvia,2011,46.8
Lebanon,2011,7.1
Lesotho,2011,30.8
Lithuania,2011,47.7
Luxembourg,2011,15.9
Madagascar,2011,15.3
Malawi,2011,32.1
Malaysia,2011,18
Mali,2011,3.1
Malta,2011,11.1
Mexico,2011,15.7
Middle East and North Africa,2011,4.9
Moldova,2011,36.3
Montenegro,2011,12.9
Morocco,2011,4.4
Mozambique,2011,23.1
Myanmar,2011,15
Nepal,2011,8.1
Netherlands,2011,6.1
Nicaragua,2011,23.3
Nigeria,2011,10
North America,2011,15.4
Northern Mariana Islands,2011,11.7
Norway,2011,14.1
Oceania,2011,9.6
Panama,2011,29.3
Peru,2011,30.8
Philippines,2011,10.8
Poland,2011,29.7
Portugal,2011,29.3
Puerto Rico,2011,8.9
Romania,2011,32.4
Saint Kitts and Nevis,2011,27.9
Saint Lucia,2011,29.7
Samoa,2011,22.9
Saudi Arabia,2011,0.8
Senegal,2011,9.1
Serbia,2011,18.1
Seychelles,2011,18.7
Slovakia,2011,17
Slovenia,2011,27.2
Spain,2011,21.7
Sri Lanka,2011,16.3
Sub-Saharan Africa,2011,15.4
Sweden,2011,15.4
Switzerland,2011,6.5
Tanzania,2011,19.7
Thailand,2011,27.4
Trinidad and Tobago,2011,14.7
Tunisia,2011,6.4
Uganda,2011,16.3
United Kingdom,2011,13.1
United States,2011,13.7
Uruguay,2011,19.7
Venezuela,2011,19.7
Vietnam,2011,8.8
Zambia,2011,19.2
