Entity,Year,Freshwater crabs (total endemics),Freshwater crabs (threatened endemics),Freshwater crayfish (total endemics),Freshwater crayfish (threatened endemics),Lobsters (total endemics),Lobsters (threatened endemics),Cone snails (total endemics),Cone snails (threatened endemics),Reef-forming corals (total endemics),Reef-forming corals (threatened endemics)
Afghanistan,2020,1,0,0,0,0,0,0,0,0,0
Aland Islands,2020,0,0,0,0,0,0,0,0,0,0
Albania,2020,0,0,0,0,0,0,0,0,0,0
Algeria,2020,0,0,0,0,0,0,0,0,0,0
American Samoa,2020,0,0,0,0,0,0,0,0,0,0
Andorra,2020,0,0,0,0,0,0,0,0,0,0
Angola,2020,3,0,0,0,0,0,22,3,0,0
Anguilla,2020,0,0,0,0,0,0,0,0,0,0
Antarctica,2020,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,2020,0,0,0,0,0,0,0,0,0,0
Argentina,2020,0,0,0,0,0,0,0,0,0,0
Armenia,2020,0,0,0,0,0,0,0,0,0,0
Aruba,2020,0,0,0,0,0,0,2,1,0,0
Australia,2020,7,2,122,61,11,0,26,2,5,0
Austria,2020,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2020,0,0,0,0,0,0,0,0,0,0
Bahamas,2020,0,0,0,0,0,0,9,1,0,0
Bahrain,2020,0,0,0,0,0,0,0,0,0,0
Bangladesh,2020,0,0,0,0,0,0,0,0,0,0
Barbados,2020,0,0,0,0,0,0,2,0,0,0
Belarus,2020,0,0,0,0,0,0,0,0,0,0
Belgium,2020,0,0,0,0,0,0,0,0,0,0
Belize,2020,2,0,0,0,0,0,0,0,0,0
Benin,2020,0,0,0,0,0,0,0,0,0,0
Bermuda,2020,0,0,0,0,1,0,1,0,0,0
Bhutan,2020,1,0,0,0,0,0,0,0,0,0
Bolivia,2020,1,0,0,0,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba,2020,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2020,0,0,0,0,0,0,0,0,0,0
Botswana,2020,0,0,0,0,0,0,0,0,0,0
Bouvet Island,2020,0,0,0,0,0,0,0,0,0,0
Brazil,2020,12,1,2,0,1,0,11,1,7,0
British Indian Ocean Territory,2020,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,2020,0,0,0,0,0,0,0,0,0,0
Brunei,2020,1,0,0,0,0,0,0,0,0,0
Bulgaria,2020,0,0,0,0,0,0,0,0,0,0
Burkina Faso,2020,0,0,0,0,0,0,0,0,0,0
Burundi,2020,0,0,0,0,0,0,0,0,0,0
Cambodia,2020,1,0,0,0,0,0,0,0,0,0
Cameroon,2020,5,2,0,0,0,0,0,0,0,0
Canada,2020,0,0,0,0,0,0,0,0,0,0
Cape Verde,2020,0,0,0,0,1,0,53,12,0,0
Cayman Islands,2020,2,0,3,0,0,0,2,0,0,0
Central African Republic,2020,1,0,0,0,0,0,0,0,0,0
Chad,2020,0,0,0,0,0,0,0,0,0,0
Chile,2020,0,0,5,0,6,0,0,0,0,0
China,2020,214,4,0,0,0,0,0,0,0,0
Christmas Island,2020,0,0,0,0,0,0,0,0,0,0
Cocos Islands,2020,0,0,0,0,0,0,0,0,0,0
Colombia,2020,76,10,0,0,0,0,1,0,0,0
Comoros,2020,0,0,0,0,0,0,0,0,0,0
Congo,2020,0,0,0,0,0,0,0,0,0,0
Cook Islands,2020,0,0,0,0,0,0,0,0,0,0
Costa Rica,2020,9,1,0,0,0,0,0,0,0,0
Cote d'Ivoire,2020,0,0,0,0,0,0,0,0,0,0
Croatia,2020,0,0,0,0,0,0,0,0,0,0
Cuba,2020,0,0,0,0,0,0,0,0,0,0
Curacao,2020,0,0,0,0,0,0,0,0,0,0
Cyprus,2020,0,0,0,0,0,0,0,0,0,0
Czechia,2020,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,2020,12,1,0,0,0,0,0,0,0,0
Denmark,2020,0,0,0,0,0,0,0,0,0,0
Djibouti,2020,0,0,0,0,0,0,0,0,0,0
Dominica,2020,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2020,0,0,0,0,0,0,0,0,0,0
Ecuador,2020,11,2,0,0,0,0,1,0,1,0
Egypt,2020,0,0,0,0,0,0,1,0,0,0
El Salvador,2020,3,1,0,0,0,0,0,0,0,0
Equatorial Guinea,2020,0,0,0,0,0,0,0,0,0,0
Eritrea,2020,0,0,0,0,0,0,2,0,0,0
Estonia,2020,0,0,0,0,0,0,0,0,0,0
Eswatini,2020,0,0,0,0,0,0,0,0,0,0
Ethiopia,2020,2,1,0,0,0,0,0,0,0,0
Faeroe Islands,2020,0,0,0,0,0,0,0,0,0,0
Falkland Islands,2020,0,0,0,0,0,0,0,0,0,0
Fiji,2020,1,0,0,0,1,0,3,0,0,0
Finland,2020,0,0,0,0,0,0,0,0,0,0
France,2020,0,0,0,0,0,0,0,0,0,0
French Guiana,2020,0,0,0,0,0,0,0,0,0,0
French Polynesia,2020,0,0,0,0,3,0,11,0,0,0
French Southern Territories,2020,0,0,0,0,1,0,0,0,0,0
Gabon,2020,0,0,0,0,0,0,0,0,0,0
Gambia,2020,0,0,0,0,0,0,0,0,0,0
Georgia,2020,0,0,0,0,0,0,0,0,0,0
Germany,2020,0,0,0,0,0,0,0,0,0,0
Ghana,2020,1,1,0,0,0,0,0,0,0,0
Gibraltar,2020,0,0,0,0,0,0,0,0,0,0
Greece,2020,0,0,0,0,0,0,0,0,0,0
Greenland,2020,0,0,0,0,0,0,0,0,0,0
Grenada,2020,0,0,0,0,0,0,0,0,0,0
Guadeloupe,2020,0,0,0,0,0,0,0,0,0,0
Guam,2020,0,0,0,0,0,0,0,0,0,0
Guatemala,2020,6,1,1,0,0,0,0,0,0,0
Guernsey,2020,0,0,0,0,0,0,0,0,0,0
Guinea,2020,2,1,0,0,0,0,1,0,0,0
Guinea-Bissau,2020,0,0,0,0,0,0,0,0,0,0
Guyana,2020,2,0,0,0,0,0,0,0,0,0
Haiti,2020,0,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,2020,0,0,0,0,0,0,0,0,0,0
Honduras,2020,1,1,0,0,0,0,1,0,0,0
Hong Kong,2020,4,2,0,0,0,0,0,0,0,0
Hungary,2020,0,0,0,0,0,0,0,0,0,0
Iceland,2020,0,0,0,0,0,0,0,0,0,0
India,2020,60,3,0,0,0,0,5,0,0,0
Indonesia,2020,71,13,5,1,2,0,1,0,4,2
Iran,2020,3,0,0,0,0,0,0,0,0,0
Iraq,2020,0,0,0,0,0,0,0,0,0,0
Ireland,2020,0,0,0,0,0,0,0,0,0,0
Isle of Man,2020,0,0,0,0,0,0,0,0,0,0
Israel,2020,0,0,0,0,0,0,0,0,0,0
Italy,2020,0,0,0,0,0,0,0,0,0,0
Jamaica,2020,0,0,0,0,0,0,0,0,0,0
Japan,2020,21,2,1,0,4,0,4,0,4,2
Jersey,2020,0,0,0,0,0,0,0,0,0,0
Jordan,2020,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2020,0,0,0,0,0,0,0,0,0,0
Kenya,2020,7,1,0,0,1,0,0,0,0,0
Kiribati,2020,0,0,0,0,0,0,0,0,0,0
Kuwait,2020,0,0,0,0,0,0,0,0,0,0
Laos,2020,13,3,0,0,0,0,0,0,0,0
Latvia,2020,0,0,0,0,0,0,0,0,0,0
Lebanon,2020,0,0,0,0,0,0,0,0,0,0
Lesotho,2020,0,0,0,0,0,0,0,0,0,0
Liberia,2020,3,3,0,0,0,0,0,0,0,0
Libya,2020,0,0,0,0,0,0,0,0,0,0
Liechtenstein,2020,0,0,0,0,0,0,0,0,0,0
Luxembourg,2020,0,0,0,0,0,0,0,0,0,0
Macao,2020,0,0,0,0,0,0,0,0,0,0
Madagascar,2020,17,1,7,4,1,0,7,0,3,2
Malawi,2020,1,0,0,0,0,0,0,0,0,0
Malaysia,2020,76,28,0,0,0,0,0,0,0,0
Maldives,2020,0,0,0,0,0,0,0,0,0,0
Mali,2020,0,0,0,0,0,0,0,0,0,0
Malta,2020,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2020,0,0,0,0,0,0,0,0,0,0
Martinique,2020,0,0,0,0,0,0,2,1,0,0
Mauritania,2020,0,0,0,0,0,0,0,0,0,0
Mauritius,2020,0,0,0,0,0,0,2,0,0,0
Mayotte,2020,0,0,0,0,0,0,0,0,0,0
Mexico,2020,54,6,51,16,1,0,6,0,2,1
Micronesia (country),2020,0,0,0,0,0,0,0,0,0,0
Moldova,2020,0,0,0,0,0,0,0,0,0,0
Monaco,2020,0,0,0,0,0,0,0,0,0,0
Mongolia,2020,0,0,0,0,0,0,0,0,0,0
Montenegro,2020,0,0,0,0,0,0,0,0,0,0
Montserrat,2020,0,0,0,0,0,0,0,0,0,0
Morocco,2020,0,0,0,0,0,0,0,0,0,0
Myanmar,2020,24,1,0,0,0,0,0,0,0,0
Namibia,2020,0,0,0,0,0,0,0,0,0,0
Nauru,2020,0,0,0,0,0,0,0,0,0,0
Nepal,2020,0,0,0,0,0,0,0,0,0,0
Netherlands,2020,0,0,0,0,0,0,0,0,0,0
