Entity,Year,"GHG emissions per capita (tonnes CO2e) (EDGAR, 2019)","GHG emissions per capita per day (kgCO2e) (EDGAR, 2019)"
Afghanistan,1970,1.29,3.52
Afghanistan,1971,1.26,3.45
Afghanistan,1972,1.11,3.05
Afghanistan,1973,1.13,3.08
Afghanistan,1974,1.21,3.32
Afghanistan,1975,1.16,3.17
Afghanistan,1976,1.15,3.15
Afghanistan,1977,1.17,3.20
Afghanistan,1978,1.14,3.13
Afghanistan,1979,1.12,3.07
Afghanistan,1980,1.18,3.24
Afghanistan,1981,1.21,3.32
Afghanistan,1982,1.22,3.36
Afghanistan,1983,1.24,3.39
Afghanistan,1984,1.19,3.25
Afghanistan,1985,1.15,3.15
Afghanistan,1986,1.06,2.90
Afghanistan,1987,1.08,2.95
Afghanistan,1988,1.12,3.08
Afghanistan,1989,1.05,2.87
Afghanistan,1990,1.02,2.80
Afghanistan,1991,0.95,2.59
Afghanistan,1992,0.81,2.23
Afghanistan,1993,0.75,2.07
Afghanistan,1994,0.70,1.91
Afghanistan,1995,0.68,1.86
Afghanistan,1996,0.70,1.92
Afghanistan,1997,0.73,1.99
Afghanistan,1998,0.73,2.00
Afghanistan,1999,0.76,2.09
Afghanistan,2000,0.67,1.84
Afghanistan,2001,0.60,1.64
Afghanistan,2002,0.63,1.73
Afghanistan,2003,0.64,1.75
Afghanistan,2004,0.61,1.66
Afghanistan,2005,0.59,1.61
Afghanistan,2006,0.57,1.57
Afghanistan,2007,0.57,1.57
Afghanistan,2008,0.56,1.53
Afghanistan,2009,0.56,1.52
Afghanistan,2010,0.62,1.69
Afghanistan,2011,0.61,1.66
Afghanistan,2012,0.59,1.62
Albania,1970,3.26,8.93
Albania,1971,3.18,8.70
Albania,1972,3.39,9.30
Albania,1973,3.20,8.77
Albania,1974,3.25,8.90
Albania,1975,3.27,8.97
Albania,1976,3.45,9.44
Albania,1977,3.56,9.75
Albania,1978,3.90,10.67
Albania,1979,4.30,11.77
Albania,1980,4.28,11.72
Albania,1981,3.86,10.57
Albania,1982,3.85,10.56
Albania,1983,4.07,11.14
Albania,1984,4.21,11.52
Albania,1985,3.99,10.92
Albania,1986,4.00,10.95
Albania,1987,3.95,10.82
Albania,1988,4.01,10.99
Albania,1989,3.89,10.65
Albania,1990,3.38,9.26
Albania,1991,2.53,6.94
Albania,1992,1.92,5.25
Albania,1993,1.88,5.15
Albania,1994,2.12,5.80
Albania,1995,2.01,5.52
Albania,1996,1.95,5.35
Albania,1997,1.75,4.79
Albania,1998,1.68,4.59
Albania,1999,2.09,5.72
Albania,2000,2.72,7.44
Albania,2001,2.23,6.11
Albania,2002,2.46,6.74
Albania,2003,2.58,7.06
Albania,2004,2.45,6.70
Albania,2005,2.76,7.56
Albania,2006,2.68,7.35
Albania,2007,3.33,9.11
Albania,2008,2.76,7.56
Albania,2009,2.77,7.59
Albania,2010,2.92,8.00
Albania,2011,3.00,8.22
Albania,2012,3.07,8.41
Algeria,1970,2.38,6.52
Algeria,1971,2.60,7.13
Algeria,1972,3.50,9.58
Algeria,1973,4.28,11.72
Algeria,1974,3.65,10.00
Algeria,1975,3.35,9.18
Algeria,1976,4.00,10.96
Algeria,1977,4.23,11.60
Algeria,1978,4.50,12.33
Algeria,1979,4.50,12.32
Algeria,1980,4.31,11.81
Algeria,1981,4.01,10.98
Algeria,1982,4.04,11.07
Algeria,1983,4.20,11.49
Algeria,1984,4.24,11.61
Algeria,1985,4.61,12.63
Algeria,1986,4.64,12.72
Algeria,1987,4.46,12.23
Algeria,1988,4.39,12.02
Algeria,1989,4.36,11.93
Algeria,1990,4.11,11.25
Algeria,1991,4.20,11.52
Algeria,1992,4.48,12.26
Algeria,1993,4.41,12.08
Algeria,1994,4.18,11.46
Algeria,1995,4.28,11.73
Algeria,1996,4.21,11.53
Algeria,1997,4.15,11.36
Algeria,1998,4.17,11.43
Algeria,1999,4.32,11.83
Algeria,2000,4.29,11.75
Algeria,2001,4.09,11.22
Algeria,2002,4.10,11.24
Algeria,2003,4.31,11.80
Algeria,2004,4.26,11.67
Algeria,2005,4.39,12.04
Algeria,2006,4.49,12.30
Algeria,2007,4.59,12.57
Algeria,2008,4.60,12.61
Algeria,2009,4.54,12.43
Algeria,2010,4.64,12.72
Algeria,2011,4.68,12.82
Algeria,2012,4.70,12.87
American Samoa,1970,0.48,1.31
American Samoa,1971,0.47,1.30
American Samoa,1972,0.47,1.29
American Samoa,1973,0.47,1.29
American Samoa,1974,0.47,1.29
American Samoa,1975,0.47,1.30
American Samoa,1976,0.47,1.30
American Samoa,1977,0.48,1.31
American Samoa,1978,0.47,1.30
American Samoa,1979,0.47,1.29
American Samoa,1980,0.48,1.31
American Samoa,1981,0.49,1.35
American Samoa,1982,0.46,1.27
American Samoa,1983,0.46,1.27
American Samoa,1984,0.46,1.26
American Samoa,1985,0.46,1.26
American Samoa,1986,0.46,1.25
American Samoa,1987,0.46,1.25
American Samoa,1988,0.45,1.24
American Samoa,1989,0.46,1.25
American Samoa,1990,0.43,1.19
American Samoa,1991,0.43,1.19
American Samoa,1992,0.43,1.19
American Samoa,1993,0.43,1.19
American Samoa,1994,0.43,1.19
American Samoa,1995,0.43,1.19
American Samoa,1996,0.43,1.18
American Samoa,1997,0.43,1.18
American Samoa,1998,0.43,1.17
American Samoa,1999,0.55,1.50
American Samoa,2000,0.83,2.27
American Samoa,2001,0.87,2.40
American Samoa,2002,0.87,2.40
American Samoa,2003,0.88,2.40
American Samoa,2004,0.88,2.42
American Samoa,2005,0.89,2.45
American Samoa,2006,0.91,2.49
American Samoa,2007,0.93,2.55
American Samoa,2008,0.96,2.62
American Samoa,2009,0.98,2.68
American Samoa,2010,1.02,2.79
American Samoa,2011,1.04,2.86
American Samoa,2012,1.06,2.92
Angola,1970,8.95,24.52
Angola,1971,5.65,15.49
Angola,1972,5.95,16.30
Angola,1973,6.08,16.66
Angola,1974,5.38,14.73
Angola,1975,5.78,15.84
Angola,1976,4.87,13.33
Angola,1977,5.36,14.68
Angola,1978,5.52,15.12
Angola,1979,6.55,17.96
Angola,1980,5.38,14.73
Angola,1981,4.53,12.42
Angola,1982,4.72,12.94
Angola,1983,4.52,12.37
Angola,1984,3.49,9.56
Angola,1985,3.46,9.48
Angola,1986,3.29,9.03
Angola,1987,4.16,11.41
Angola,1988,3.10,8.50
Angola,1989,3.33,9.11
Angola,1990,4.17,11.44
Angola,1991,3.49,9.55
Angola,1992,5.01,13.73
Angola,1993,2.97,8.13
Angola,1994,3.23,8.84
Angola,1995,3.38,9.26
Angola,1996,3.21,8.80
Angola,1997,2.19,6.01
Angola,1998,2.28,6.23
Angola,1999,2.26,6.20
Angola,2000,2.12,5.80
Angola,2001,2.02,5.54
Angola,2002,1.96,5.38
Angola,2003,1.97,5.40
Angola,2004,1.95,5.35
Angola,2005,1.83,5.02
Angola,2006,1.80,4.92
Angola,2007,1.75,4.79
Angola,2008,1.72,4.71
Angola,2009,1.70,4.65
Angola,2010,1.71,4.69
Angola,2011,1.69,4.62
Angola,2012,1.66,4.55
