Entity,Year,Corporate income taxes (Todaro and Smith (2014)),Personal Income taxes (Todaro and Smith (2014)),General consumption taxes (Todaro and Smith (2014)),Excise taxes (Todaro and Smith (2014)),Trade taxes (Todaro and Smith (2014)),Social security (Todaro and Smith (2014))
Developing - Africa ,1986,2.9,3.1,3.2,2.3,5.7,0.4
Developing - Africa ,1996,2.4,3.9,3.8,2.3,5.1,0.5
Developing - All,1986,2.8,1.7,2.3,2.6,4.2,1.2
Developing - All,1996,2.6,2.2,3.6,2.4,3.5,1.3
Developing -Asia ,1986,3.5,2.1,1.9,2.5,3.6,0.1
Developing -Asia ,1996,3,3,3.1,2.2,2.7,0.3
Developing -Middle East ,1986,4.3,1,1.5,2.4,4.4,1.2
Developing -Middle East ,1996,3.2,1.3,1.5,3,4.3,1.1
Developing -West. Hem.,1986,1.8,1,2.6,3,3.7,2.4
Developing -West. Hem.,1996,2.3,1,4.8,2.3,2.6,2.5
OECD - All,1986,2.8,11.3,6,3.8,0.7,8.8
OECD - All,1996,3.1,10.8,6.6,3.6,0.3,9.5
OECD - America,1986,2.5,11.4,3.4,2.2,0.6,5.8
OECD - America,1996,3,12.3,3.7,2,0.3,6.1
OECD - Europe,1986,2.7,11,6.8,4,0.7,10.1
OECD - Europe,1996,2.9,10.6,7.3,4,0.3,10.8
OECD - Pacific,1986,3.9,13.2,2.3,3.7,0.8,2.8
OECD - Pacific,1996,4.3,11.4,4.3,2.6,0.6,3.5
