Entity,Year,Child deaths from rotavirus,"Child mortality from rotavirus per 100,000","Rotavirus incidence per 1,000 children",Rotavirus cases in children,Deaths averted from rotavirus vaccine,Avertable deaths if rotavirus vaccine coverage was 100%
Afghanistan,2016,840,16.9,601.6,2852954,0,642
Albania,2016,0,0.1,337,58485,0,0
Algeria,2016,43,0.9,252.3,1284098,0,33
American Samoa,2016,0,0.5,276.8,2069,0,0
Andorra,2016,0,0.2,232.9,696,0,0
Angola,2016,2004,40.8,660.5,3034069,976,874
Antigua and Barbuda,2016,0,0.9,323.2,1494,0,0
Argentina,2016,28,0.8,236.7,839195,12,13
Armenia,2016,1,0.5,233.5,52505,2,0
Australia,2016,2,0.2,28.8,43920,3,0
Austria,2016,1,0.1,270.5,106729,1,0
Azerbaijan,2016,27,2.8,303.6,281222,0,20
Bahamas,2016,0,0.7,273.1,8720,0,0
Bahrain,2016,0,0.1,251.8,24282,0,0
Bangladesh,2016,782,5.5,414.4,6181744,0,598
Barbados,2016,0,0.6,260.9,4093,0,0
Belarus,2016,1,0.1,400.4,239056,0,0
Belgium,2016,2,0.3,249.5,154926,3,0
Belize,2016,1,1.6,291.1,12026,0,1
Benin,2016,1806,94.5,572.8,1118918,0,1380
Bermuda,2016,0,0.1,282.7,1251,0,0
Bhutan,2016,3,3.6,898.7,67965,0,2
Bolivia,2016,44,3.2,437.6,584290,52,10
Bosnia and Herzegovina,2016,1,0.4,399.4,68983,0,0
Botswana,2016,11,4.3,77.6,21110,23,1
Brazil,2016,259,1.7,734.9,10238349,549,22
Brunei,2016,0,0.3,35.8,1251,0,0
Bulgaria,2016,2,0.5,508.9,172970,0,1
Burkina Faso,2016,2699,84.5,1208.2,3888875,2797,689
Burundi,2016,1814,84.7,622.2,1316133,2544,327
Cambodia,2016,96,5.1,667.9,1223928,0,73
Cameroon,2016,1961,50.6,904.3,3556390,1202,753
Canada,2016,1,0.1,30.2,58977,0,1
Cape Verde,2016,3,3.9,411.5,30591,0,2
Caribbean,2016,198,5,186.6,770044,95,90
Central African Republic,2016,1232,166,1263.2,999223,0,942
Central Asia,2016,237,2.5,172.5,1899833,174,101
Central Europe,2016,24,0.4,722.6,4125508,0,19
Central Sub-Saharan Africa,2016,15617,75.1,1353.4,28733279,1113,11188
Chad,2016,4229,160.1,1114.8,2874413,0,3235
Chile,2016,2,0.2,211.3,257959,0,2
China,2016,474,0.8,111.1,6862616,864,56
Colombia,2016,85,2.4,656.2,2123603,171,8
Comoros,2016,18,19.6,534.7,51972,0,14
Congo,2016,273,36.6,944.9,704108,137,117
Costa Rica,2016,3,0.8,441.4,143184,0,2
Cote d'Ivoire,2016,2596,72.9,636.3,2224796,922,1301
Croatia,2016,0,0.1,682.4,135746,0,0
Cuba,2016,3,0.4,206.4,127330,0,2
Cyprus,2016,0,0.6,289.7,14977,0,0
Czech Republic,2016,1,0.1,586.9,332219,0,1
Democratic Republic of Congo,2016,12058,85.8,1632.5,23419173,0,9217
Denmark,2016,2,0.5,453.3,129552,0,1
Djibouti,2016,19,11.1,473.1,59294,8,9
Dominica,2016,0,1.2,264.2,1429,0,0
Dominican Republic,2016,34,3.6,285.1,290107,15,16
East Asia,2016,649,3.7,305.5,38563330,864,190
Eastern Europe,2016,55,0.4,520.4,7122181,1,41
Eastern Sub-Saharan Africa,2016,16300,26.1,432.1,26952299,11580,6976
Ecuador,2016,19,1.1,322.7,545584,33,2
Egypt,2016,904,8.3,199.9,2390251,0,690
El Salvador,2016,16,2.9,550.2,257963,19,3
England,2016,5,0.1,144.9,460317,4,1
Equatorial Guinea,2016,5,5.5,1062.1,104206,0,4
Eritrea,2016,289,36.3,523,392488,673,19
Estonia,2016,0,0,499.5,38355,0,0
Ethiopia,2016,2649,17.3,299.1,4419158,584,1545
Fiji,2016,4,7,311.2,16951,4,1
Finland,2016,0,0.1,736,214607,0,0
France,2016,18,0.5,261.9,1022477,0,14
Gabon,2016,44,18.1,789.7,196075,0,34
Gambia,2016,37,10,176.8,64914,33,11
Georgia,2016,1,0.4,237.9,66442,1,1
Germany,2016,6,0.2,255.2,886893,2,3
Ghana,2016,664,15.3,712.6,3289343,877,130
Greece,2016,0,0,104.6,49740,0,0
Greenland,2016,0,0.3,40.9,141,0,0
Grenada,2016,0,0.7,255.5,2048,0,0
Guam,2016,0,0.2,283.8,4960,0,0
Guatemala,2016,139,7,390.5,747833,260,16
Guinea,2016,850,41.8,762.8,1526681,0,649
Guinea-Bissau,2016,195,63.1,799.7,244354,118,76
Guyana,2016,5,8.4,352.1,25135,10,1
Haiti,2016,146,9.6,119.7,191081,69,65
High-income,2016,134,0.2,118.8,6903717,67,69
High-income Asia Pacific,2016,10,0.1,33,251204,0,8
Honduras,2016,50,5.3,462.6,399764,83,7
Hungary,2016,1,0.1,275.5,140202,0,0
Iceland,2016,0,0.1,194.6,4162,0,0
India,2016,10282,9.2,194.7,22612577,147,7712
Indonesia,2016,1994,8.8,538.7,12948711,0,1523
Iran,2016,156,1.9,960.4,6811659,0,119
Iraq,2016,312,4.1,375.9,2783505,93,167
Ireland,2016,0,0.1,111.7,41774,0,0
Israel,2016,3,0.4,166.6,140114,4,1
Italy,2016,5,0.2,212.7,572733,0,3
Jamaica,2016,4,1.4,175.1,46862,0,3
Japan,2016,8,0.2,36.1,187285,0,6
Jordan,2016,7,0.7,390.4,374700,8,2
Kazakhstan,2016,9,0.5,180.9,353358,0,7
Kenya,2016,1404,21.4,343.2,2260592,1103,455
Kiribati,2016,1,11,343.2,4665,1,1
Kuwait,2016,1,0.3,132.5,88254,0,1
Kyrgyzstan,2016,23,3.1,140.6,114018,0,18
Laos,2016,329,29.1,833.1,899194,0,252
Latin America and the Caribbean,2016,1259,2.5,447,21138621,1618,308
Latvia,2016,0,0.1,581.7,75203,0,0
Lebanon,2016,2,0.6,386.6,116530,0,2
Lesotho,2016,141,54.7,299.1,75510,0,108
Liberia,2016,665,93.2,880.9,625350,117,408
Libya,2016,2,0.5,187.6,92288,5,0
Lithuania,2016,0,0.1,748.5,132183,0,0
Luxembourg,2016,0,0.3,240.1,6992,0,0
Macedonia,2016,1,0.6,434,49436,0,1
Madagascar,2016,1718,44.2,358.5,1384649,1119,636
Malawi,2016,1000,31.2,582.2,1880469,1394,181
Malaysia,2016,7,0.3,222.5,579057,0,6
Maldives,2016,0,0.4,258.1,9512,0,0
Mali,2016,1109,35.2,187.2,576676,208,671
Malta,2016,0,0.1,95.4,2028,0,0
