Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Albania,1981,,345,,,,,,,
Albania,1982,,400,,,,,,,
Albania,1983,,450,,,,,,,
Albania,1984,,600,,,,,,,
Albania,1985,,600,,,,,,,
Albania,1986,,522,,,,,,,
Albania,1987,,612,,,,,,,
Albania,1988,,673,,,,,,,
Albania,1989,,643,,,,,,,
Albania,1990,,586,,,,,,,
Albania,1991,,500,,,,,,,
Algeria,1970,,,,,,0,,,
Algeria,1971,,,,,,245000,,,
Algeria,1972,,,,,,462000,,,
Algeria,1973,,,,,,455000,,,
Algeria,1974,,,,,,525000,,,
Algeria,1975,,,,,,974400,,,
Algeria,1976,29,,,,,1066568,,,
Algeria,1977,133,,,,,1049525,,,
Algeria,1978,34,,,,,1055424,,,
Algeria,1979,64,,,,,507806,,,
Algeria,1980,11,,,,,841904,,,
Algeria,1981,30,,,,,863000,,,
Algeria,1982,30,,,,,379500,,,
Algeria,1983,32,,,,,345000,,,
Algeria,1984,80,,,,,587000,,,
Algeria,1985,128,,,,,793500,,,
Algeria,1986,124,,,,,760000,,,
Algeria,1987,102,,,,,705000,,,
Algeria,1988,55,,,,,662000,,,
Algeria,1989,46,,,,,587000,,,
Algeria,1990,65,,,,,637000,,,
Algeria,1991,78,,,,,431000,,,
Algeria,1992,56,,,,,476000,,,
Algeria,1993,65,,,,,459195,,,
Algeria,1994,59,,,,,448569,,,
Algeria,1995,50,,,,,295148,,,
Algeria,1996,44,,,,,368081,,,
Algeria,1997,36,,,,,490383,,,
Algeria,1998,13,,,,,224077,,,
Algeria,1999,,,,,,240327,,,
Algeria,2000,,,,,,215625,,,
Algeria,2001,,,,,,320091,,,
Algeria,2002,,,,,,307119,,,
Algeria,2003,7000,,,,,175570,,,
Algeria,2004,,,,,,67200,,,
Algeria,2005,,,,,,300,,,
Angola,1970,,,2396000,,,,,,
Angola,1971,,,2413021,,,,,,
Angola,1972,,,2155057,,,,,,
Angola,1973,,,2124720,,,,,,
Angola,1974,,,1959272,,,,,,
Angola,1975,,,991000,,,,,,
Angola,1976,,,340000,,,,,,
Angola,1977,,,353000,,,,,,
Angola,1978,,,650000,,,,,,
Angola,1979,,,840000,,,,,,
Angola,1980,,,1485100,,,,,,
Angola,1981,,,1400481,,,,,,
Angola,1982,,,1221150,,,,,,
Angola,1983,,,1006520,,,,,,
Angola,1984,,,923669,,,,,,
Angola,1985,,,717028,,,,,,
