Entity,Year,Low income (World Bank 2017),Lower middle income (World Bank 2017),Upper middle income (World Bank 2017),High income (World Bank 2017)
World,1987,480,481,1941,6000
World,1988,545,546,2201,6000
World,1989,580,581,2336,6000
World,1990,610,611,2466,7620
World,1991,635,636,2556,7910
World,1992,675,676,2696,8355
World,1993,695,696,2786,8625
World,1994,725,726,2896,8955
World,1995,765,766,3036,9385
World,1996,785,786,3116,9645
World,1997,785,786,3126,9655
World,1998,760,761,3031,9360
World,1999,755,756,2996,9265
World,2000,755,756,2996,9265
World,2001,745,746,2976,9205
World,2002,735,736,2936,9075
World,2003,765,766,3036,9385
World,2004,825,826,3256,10065
World,2005,875,876,3466,10725
World,2006,905,906,3596,11115
World,2007,935,936,3706,11455
World,2008,975,976,3856,11905
World,2009,995,996,3946,12195
World,2010,1005,1006,3976,12275
World,2011,1025,1026,4036,12475
World,2012,1035,1036,4086,12615
World,2013,1045,1046,4126,12745
World,2014,1045,1046,4126,12735
World,2015,1025,1026,4036,12475
World,2016,1005,1006,3956,12235
