Entity,Year,Life Expectancy (at birth) (World Bank (2015))
Afghanistan,1960,31.58004878
Afghanistan,1961,32.09597561
Afghanistan,1962,32.61187805
Afghanistan,1963,33.12731707
Afghanistan,1964,33.6412439
Afghanistan,1965,34.15368293
Afghanistan,1966,34.66312195
Afghanistan,1967,35.17007317
Afghanistan,1968,35.67202439
Afghanistan,1969,36.16997561
Afghanistan,1970,36.65943902
Afghanistan,1971,37.13941463
Afghanistan,1972,37.60887805
Afghanistan,1973,38.06934146
Afghanistan,1974,38.52329268
Afghanistan,1975,38.97026829
Afghanistan,1976,39.41073171
Afghanistan,1977,39.84770732
Afghanistan,1978,40.29068293
Afghanistan,1979,40.74817073
Afghanistan,1980,41.23365854
Afghanistan,1981,41.76063415
Afghanistan,1982,42.33560976
Afghanistan,1983,42.96304878
Afghanistan,1984,43.6444878
Afghanistan,1985,44.37990244
Afghanistan,1986,45.16880488
Afghanistan,1987,45.99721951
Afghanistan,1988,46.85014634
Afghanistan,1989,47.71158537
Afghanistan,1990,48.56704878
Afghanistan,1991,49.40456098
Afghanistan,1992,50.21312195
Afghanistan,1993,50.9852439
Afghanistan,1994,51.70939024
Afghanistan,1995,52.37507317
Afghanistan,1996,52.97278049
Afghanistan,1997,53.5084878
Afghanistan,1998,53.99219512
Afghanistan,1999,54.43287805
Afghanistan,2000,54.84856098
Afghanistan,2001,55.25621951
Afghanistan,2002,55.67187805
Afghanistan,2003,56.10756098
Afghanistan,2004,56.56973171
Afghanistan,2005,57.05843902
Afghanistan,2006,57.57065854
Afghanistan,2007,58.09136585
Afghanistan,2008,58.60709756
Afghanistan,2009,59.11234146
Afghanistan,2010,59.60009756
Afghanistan,2011,60.06536585
Afghanistan,2012,60.50912195
Afghanistan,2013,60.93141463
Albania,1960,62.25436585
Albania,1961,63.27346341
Albania,1962,64.16285366
Albania,1963,64.88709756
Albania,1964,65.43819512
Albania,1965,65.82739024
Albania,1966,66.08931707
Albania,1967,66.28721951
Albania,1968,66.47495122
Albania,1969,66.68160976
Albania,1970,66.93258537
Albania,1971,67.23887805
Albania,1972,67.58595122
Albania,1973,67.95795122
Albania,1974,68.34834146
Albania,1975,68.74121951
Albania,1976,69.1155122
Albania,1977,69.45617073
Albania,1978,69.7542439
Albania,1979,70.00965854
Albania,1980,70.23597561
Albania,1981,70.45446341
Albania,1982,70.68512195
Albania,1983,70.93739024
Albania,1984,71.20653659
Albania,1985,71.47121951
Albania,1986,71.69756098
Albania,1987,71.86195122
Albania,1988,71.95329268
Albania,1989,71.97858537
Albania,1990,71.95731707
Albania,1991,71.91841463
Albania,1992,71.90080488
Albania,1993,71.93585366
Albania,1994,72.04195122
Albania,1995,72.23602439
Albania,1996,72.52741463
Albania,1997,72.89809756
Albania,1998,73.32658537
Albania,1999,73.79339024
Albania,2000,74.27207317
Albania,2001,74.73421951
Albania,2002,75.15795122
Albania,2003,75.52936585
Albania,2004,75.839
Albania,2005,76.08939024
Albania,2006,76.29053659
Albania,2007,76.46485366
Albania,2008,76.63231707
Albania,2009,76.80187805
Albania,2010,76.9785122
Albania,2011,77.16321951
Albania,2012,77.35046341
Albania,2013,77.5372439
Algeria,1960,46.13512195
Algeria,1961,46.59031707
Algeria,1962,47.045
Algeria,1963,47.49619512
Algeria,1964,47.94190244
Algeria,1965,48.37609756
Algeria,1966,48.79080488
Algeria,1967,49.1875122
Algeria,1968,49.57270732
Algeria,1969,49.95590244
Algeria,1970,50.34363415
Algeria,1971,50.74392683
Algeria,1972,51.17180488
Algeria,1973,51.64570732
Algeria,1974,52.18807317
Algeria,1975,52.8362439
Algeria,1976,53.6305122
Algeria,1977,54.57826829
Algeria,1978,55.66753659
Algeria,1979,56.87487805
Algeria,1980,58.16402439
Algeria,1981,59.4867561
Algeria,1982,60.78634146
Algeria,1983,62.00895122
Algeria,1984,63.11712195
Algeria,1985,64.07626829
Algeria,1986,64.86721951
Algeria,1987,65.51019512
Algeria,1988,66.02753659
Algeria,1989,66.43368293
Algeria,1990,66.75117073
Algeria,1991,67.00312195
Algeria,1992,67.21870732
Algeria,1993,67.421
Algeria,1994,67.6285122
Algeria,1995,67.84819512
Algeria,1996,68.07892683
Algeria,1997,68.30758537
Algeria,1998,68.52609756
Algeria,1999,68.73295122
Algeria,2000,68.93019512
Algeria,2001,69.12043902
Algeria,2002,69.30526829
Algeria,2003,69.4862439
Algeria,2004,69.66387805
Algeria,2005,69.83860976
Algeria,2006,70.00836585
Algeria,2007,70.17104878
Algeria,2008,70.32707317
Algeria,2009,70.47492683
Algeria,2010,70.61660976
Algeria,2011,70.75168293
Algeria,2012,70.88217073
Algeria,2013,71.00965854
Angola,1960,32.98482927
Angola,1961,33.38621951
Angola,1962,33.78758537
Angola,1963,34.18846341
Angola,1964,34.59034146
Angola,1965,34.99221951
Angola,1966,35.39509756
Angola,1967,35.79997561
Angola,1968,36.20585366
Angola,1969,36.6102439
Angola,1970,37.01512195
Angola,1971,37.42102439
Angola,1972,37.82692683
Angola,1973,38.22682927
Angola,1974,38.61378049
Angola,1975,38.97580488
Angola,1976,39.301
Angola,1977,39.58136585
Angola,1978,39.81585366
Angola,1979,40.00539024
Angola,1980,40.1592439
Angola,1981,40.28865854
Angola,1982,40.408
Angola,1983,40.5282439
Angola,1984,40.65395122
Angola,1985,40.77778049
Angola,1986,40.8874878
Angola,1987,40.97387805
Angola,1988,41.03770732
Angola,1989,41.08765854
Angola,1990,41.13834146
Angola,1991,41.20634146
Angola,1992,41.31302439
Angola,1993,41.47819512
Angola,1994,41.7162439
Angola,1995,42.05146341
Angola,1996,42.50163415
Angola,1997,43.06212195
Angola,1998,43.71426829
Angola,1999,44.439
Angola,2000,45.20478049
Angola,2001,45.97314634
Angola,2002,46.71173171
Angola,2003,47.39317073
Angola,2004,48.0035122
Angola,2005,48.53880488
Angola,2006,49.00704878
Angola,2007,49.43573171
Angola,2008,49.84739024
Angola,2009,50.25102439
Angola,2010,50.65417073
Angola,2011,51.05931707
Angola,2012,51.464
Angola,2013,51.86617073
Antigua and Barbuda,1960,61.78273171
Antigua and Barbuda,1961,62.19541463
Antigua and Barbuda,1962,62.59853659
Antigua and Barbuda,1963,62.99258537
Antigua and Barbuda,1964,63.37858537
Antigua and Barbuda,1965,63.75607317
Antigua and Barbuda,1966,64.12556098
Antigua and Barbuda,1967,64.48807317
Antigua and Barbuda,1968,64.84212195
Antigua and Barbuda,1969,65.18919512
Antigua and Barbuda,1970,65.52934146
Antigua and Barbuda,1971,65.86202439
Antigua and Barbuda,1972,66.18826829
Antigua and Barbuda,1973,66.508
Antigua and Barbuda,1974,66.82178049
Antigua and Barbuda,1975,67.13007317
Antigua and Barbuda,1976,67.43339024
Antigua and Barbuda,1977,67.7307561
Antigua and Barbuda,1978,68.02263415
Antigua and Barbuda,1979,68.30953659
Antigua and Barbuda,1980,68.59197561
Antigua and Barbuda,1981,68.86895122
Antigua and Barbuda,1982,69.14092683
Antigua and Barbuda,1983,69.40792683
Antigua and Barbuda,1984,69.67046341
Antigua and Barbuda,1985,69.9285122
Antigua and Barbuda,1986,70.18256098
Antigua and Barbuda,1987,70.43263415
Antigua and Barbuda,1988,70.67973171
Antigua and Barbuda,1989,70.92282927
Antigua and Barbuda,1990,71.16295122
Antigua and Barbuda,1991,71.40058537
Antigua and Barbuda,1992,71.63470732
Antigua and Barbuda,1993,71.86585366
Antigua and Barbuda,1994,72.093
Antigua and Barbuda,1995,72.31768293
Antigua and Barbuda,1996,72.53885366
Antigua and Barbuda,1997,72.75756098
Antigua and Barbuda,1998,72.97378049
Antigua and Barbuda,1999,73.18602439
Antigua and Barbuda,2000,73.39729268
Antigua and Barbuda,2001,73.60607317
Antigua and Barbuda,2002,73.81339024
Antigua and Barbuda,2003,74.01921951
Antigua and Barbuda,2004,74.22204878
Antigua and Barbuda,2005,74.42185366
Antigua and Barbuda,2006,74.61609756
Antigua and Barbuda,2007,74.80478049
Antigua and Barbuda,2008,74.98687805
Antigua and Barbuda,2009,75.16241463
Antigua and Barbuda,2010,75.33390244
Antigua and Barbuda,2011,75.50036585
Antigua and Barbuda,2012,75.66531707
Antigua and Barbuda,2013,75.82929268
Arab World,1960,46.74067149
Arab World,1961,47.36800833
Arab World,1962,47.9842105
Arab World,1963,48.59209015
Arab World,1964,49.19220957
Arab World,1965,49.78083124
Arab World,1966,50.35066536
Arab World,1967,50.89961912
Arab World,1968,51.43048715
Arab World,1969,51.95135761
Arab World,1970,52.47400664
Arab World,1971,53.01386769
Arab World,1972,53.57953525
Arab World,1973,54.17155186
Arab World,1974,54.78451189
Arab World,1975,55.40965068
Arab World,1976,56.03569505
Arab World,1977,56.65347938
Arab World,1978,57.26249233
Arab World,1979,57.87004876
Arab World,1980,58.48839927
Arab World,1981,59.129009
Arab World,1982,59.79506084
Arab World,1983,60.48126764
Arab World,1984,61.17204626
Arab World,1985,61.84992751
Arab World,1986,62.49501908
Arab World,1987,63.09241042
Arab World,1988,63.63233642
Arab World,1989,64.11189938
Arab World,1990,64.62570559
Arab World,1991,65.00167323
Arab World,1992,65.29119174
Arab World,1993,65.62356247
Arab World,1994,65.95948936
Arab World,1995,66.33717076
Arab World,1996,66.64932681
Arab World,1997,66.94745484
Arab World,1998,67.21345876
Arab World,1999,67.46442632
Arab World,2000,67.67854538
Arab World,2001,67.87702172
Arab World,2002,68.05807453
Arab World,2003,68.22981798
Arab World,2004,68.40875695
Arab World,2005,68.59121058
Arab World,2006,68.78735349
Arab World,2007,68.98531579
Arab World,2008,69.17849741
Arab World,2009,69.37120207
Arab World,2010,69.56064834
Arab World,2011,69.73832617
Arab World,2012,69.91267786
Arab World,2013,70.08592474
Argentina,1960,65.21553659
Argentina,1961,65.3385122
Argentina,1962,65.43260976
Argentina,1963,65.50939024
Argentina,1964,65.58241463
Argentina,1965,65.66868293
Argentina,1966,65.7822439
Argentina,1967,65.93002439
Argentina,1968,66.1134878
Argentina,1969,66.33509756
Argentina,1970,66.59082927
Argentina,1971,66.87312195
Argentina,1972,67.16795122
Argentina,1973,67.46531707
Argentina,1974,67.75865854
Argentina,1975,68.04795122
Argentina,1976,68.33670732
Argentina,1977,68.62943902
Argentina,1978,68.92663415
Argentina,1979,69.22431707
Argentina,1980,69.5144878
Argentina,1981,69.78665854
Argentina,1982,70.03531707
Argentina,1983,70.257
Argentina,1984,70.45419512
Argentina,1985,70.63139024
Argentina,1986,70.79907317
Argentina,1987,70.9677561
Argentina,1988,71.14590244
Argentina,1989,71.33753659
Argentina,1990,71.54365854
Argentina,1991,71.76329268
Argentina,1992,71.98895122
Argentina,1993,72.21565854
Argentina,1994,72.44139024
Argentina,1995,72.66460976
Argentina,1996,72.88531707
Argentina,1997,73.10397561
Argentina,1998,73.32007317
Argentina,1999,73.53412195
Argentina,2000,73.74565854
Argentina,2001,73.95368293
Argentina,2002,74.15878049
Argentina,2003,74.35995122
Argentina,2004,74.55773171
Argentina,2005,74.75165854
Argentina,2006,74.94121951
Argentina,2007,75.12690244
Argentina,2008,75.30819512
Argentina,2009,75.48709756
Argentina,2010,75.66356098
Argentina,2011,75.83860976
Argentina,2012,76.01268293
Argentina,2013,76.18729268
Armenia,1960,65.86346341
Armenia,1961,66.28439024
Armenia,1962,66.70985366
Armenia,1963,67.13785366
Armenia,1964,67.56541463
Armenia,1965,67.99153659
Armenia,1966,68.41473171
Armenia,1967,68.8304878
Armenia,1968,69.22926829
Armenia,1969,69.60004878
Armenia,1970,69.92426829
Armenia,1971,70.18287805
Armenia,1972,70.36734146
Armenia,1973,70.47965854
Armenia,1974,70.52634146
Armenia,1975,70.53192683
Armenia,1976,70.52941463
Armenia,1977,70.54290244
Armenia,1978,70.58297561
Armenia,1979,70.64126829
Armenia,1980,70.68453659
Armenia,1981,70.66160976
Armenia,1982,70.5355122
Armenia,1983,70.29014634
Armenia,1984,69.93568293
Armenia,1985,69.5
Armenia,1986,69.02429268
Armenia,1987,68.56756098
Armenia,1988,68.18209756
Armenia,1989,67.8995122
Armenia,1990,67.74780488
Armenia,1991,67.73829268
Armenia,1992,67.85334146
Armenia,1993,68.06956098
Armenia,1994,68.37665854
Armenia,1995,68.76356098
Armenia,1996,69.21685366
Armenia,1997,69.71641463
Armenia,1998,70.24021951
Armenia,1999,70.76709756
Armenia,2000,71.27653659
Armenia,2001,71.75565854
Armenia,2002,72.2022439
Armenia,2003,72.61097561
Armenia,2004,72.97492683
Armenia,2005,73.28856098
Armenia,2006,73.54982927
Armenia,2007,73.76463415
Armenia,2008,73.94387805
Armenia,2009,74.09304878
Armenia,2010,74.21965854
Armenia,2011,74.33219512
Armenia,2012,74.43721951
Armenia,2013,74.5407561
Aruba,1960,65.56936585
Aruba,1961,65.98802439
Aruba,1962,66.36553659
Aruba,1963,66.71397561
Aruba,1964,67.04429268
Aruba,1965,67.3697561
Aruba,1966,67.699
Aruba,1967,68.03468293
Aruba,1968,68.37714634
Aruba,1969,68.72841463
Aruba,1970,69.08614634
Aruba,1971,69.44609756
Aruba,1972,69.79865854
Aruba,1973,70.13965854
Aruba,1974,70.46529268
Aruba,1975,70.77780488
Aruba,1976,71.08082927
Aruba,1977,71.37770732
Aruba,1978,71.66978049
Aruba,1979,71.95285366
Aruba,1980,72.22014634
Aruba,1981,72.46234146
Aruba,1982,72.67319512
Aruba,1983,72.84902439
Aruba,1984,72.9897561
Aruba,1985,73.09797561
Aruba,1986,73.17936585
Aruba,1987,73.24270732
Aruba,1988,73.2962439
Aruba,1989,73.3444878
Aruba,1990,73.38997561
Aruba,1991,73.43312195
Aruba,1992,73.4717561
Aruba,1993,73.50531707
Aruba,1994,73.5357561
Aruba,1995,73.56360976
Aruba,1996,73.58943902
Aruba,1997,73.61480488
Aruba,1998,73.64229268
Aruba,1999,73.67539024
Aruba,2000,73.72060976
Aruba,2001,73.78290244
Aruba,2002,73.8652439
Aruba,2003,73.96856098
Aruba,2004,74.09085366
Aruba,2005,74.22807317
Aruba,2006,74.37570732
Aruba,2007,74.5262439
Aruba,2008,74.67421951
Aruba,2009,74.81614634
Aruba,2010,74.95202439
Aruba,2011,75.08039024
Aruba,2012,75.2067561
Aruba,2013,75.33217073
Australia,1960,70.81707317
Australia,1961,70.97317073
Australia,1962,70.94243902
Australia,1963,70.91170732
Australia,1964,70.88097561
Australia,1965,70.8502439
Australia,1966,70.8195122
Australia,1967,70.86926829
Australia,1968,70.91902439
Australia,1969,70.96878049
Australia,1970,71.01853659
Australia,1971,71.06829268
Australia,1972,71.45756098
Australia,1973,71.84682927
Australia,1974,72.23609756
Australia,1975,72.62536585
Australia,1976,73.01463415
Australia,1977,73.34439024
Australia,1978,73.67414634
Australia,1979,74.00390244
Australia,1980,74.33365854
Australia,1981,74.66341463
Australia,1982,74.90487805
Australia,1983,75.14634146
Australia,1984,75.38780488
Australia,1985,75.62926829
Australia,1986,75.87073171
Australia,1987,76.15170732
Australia,1988,76.43268293
Australia,1989,76.71365854
Australia,1990,76.99463415
Australia,1991,77.27560976
Australia,1992,77.37804878
Australia,1993,77.87804878
Australia,1994,77.87804878
Australia,1995,77.82926829
Australia,1996,78.07804878
Australia,1997,78.4804878
Australia,1998,78.63170732
Australia,1999,78.93170732
Australia,2000,79.23414634
Australia,2001,79.63414634
Australia,2002,79.93658537
Australia,2003,80.23902439
Australia,2004,80.4902439
Australia,2005,80.84146341
