Entity,Year,"Track error, 0h (n mi)","Track error, 12h (n mi)","Track error, 24h (n mi)","Track error, 36h (n mi)","Track error, 48h (n mi)","Track error, 72h (n mi)","Track error, 96h (n mi)","Track error, 120h (n mi)","Intensity error, 0h (kt)","Intensity error, 12h (kt)","Intensity error, 24h (kt)","Intensity error, 36h (kt)","Intensity error, 48h (kt)","Intensity error, 72h (kt)","Intensity error, 96h (kt)","Intensity error, 120h (kt)"
Atlantic Basin Tropical Cyclones,1989,18.2,51.5,95.9,143.3,195.9,293.1,,,,,,,,,,
Atlantic Basin Tropical Cyclones,1990,22.2,59.8,107.5,154.4,204.6,312.3,,,2.9,5.6,8.9,11.9,13.6,15,,
Atlantic Basin Tropical Cyclones,1991,16.9,57.6,107.2,145.5,186.3,317.2,,,2.9,5.7,11.3,16.2,20.4,22.6,,
Atlantic Basin Tropical Cyclones,1992,13.5,47.2,91.8,138.1,186.6,294.3,,,3.4,6.3,11.2,15.4,19.4,25.9,,
Atlantic Basin Tropical Cyclones,1993,16.6,52.1,99.9,147.3,183.3,247.3,,,2.7,4.9,8.2,11.1,14.8,19.3,,
Atlantic Basin Tropical Cyclones,1994,13.7,49.3,92.8,139.2,212.1,395.6,,,2.7,5.8,9.1,11.1,14.6,18.3,,
Atlantic Basin Tropical Cyclones,1995,13.1,47.9,89.3,128.4,166.2,244.4,,,3,5.9,9.1,11.6,14.2,17.7,,
Atlantic Basin Tropical Cyclones,1996,12.6,45.5,76.8,106.2,133.8,199.2,,,3.6,6.5,9.9,12.2,14.4,17.3,,
Atlantic Basin Tropical Cyclones,1997,12.4,45.3,83.8,119.5,138.5,184.3,,,2.8,5.6,9.3,12.3,14.2,15.9,,
Atlantic Basin Tropical Cyclones,1998,13.9,48.2,84.9,118.4,148.5,208.5,,,3,6.8,10.8,14.1,16.4,21.2,,
Atlantic Basin Tropical Cyclones,1999,11.2,38.9,72.1,105.1,138.8,205,,,2.5,6.6,10.7,13.4,15.7,19.1,,
Atlantic Basin Tropical Cyclones,2000,10.7,41.4,74.1,105.5,137.5,229.1,,,2.7,6.7,11.1,14.5,16.9,20.1,,
Atlantic Basin Tropical Cyclones,2001,7.9,43.9,76.7,108,142.4,216.9,281.9,372,1.2,6,9.9,12.7,15.7,18.8,20.1,19
Atlantic Basin Tropical Cyclones,2002,7.3,41.4,72.2,103.7,137.5,200.1,282.2,375.8,1.1,5.5,9,11.3,14.5,20.8,22.4,23.8
Atlantic Basin Tropical Cyclones,2003,7.8,37.1,64.4,93.2,123.1,160.8,190.6,222.6,1.6,5.2,7.9,9.5,11.6,14.8,17,20.6
Atlantic Basin Tropical Cyclones,2004,6.3,32.6,57.5,79.7,101.2,151.4,212.7,295.4,2,7.4,10.2,12.4,13.9,17,19.8,22.6
Atlantic Basin Tropical Cyclones,2005,7.5,35.1,59.7,84.2,106.4,156.2,219.8,285.6,1.8,6.9,10.9,13.4,15.6,20.1,20.1,21.8
Atlantic Basin Tropical Cyclones,2006,9.5,29.7,50.8,71.9,97,148.7,205.5,265.3,2.1,6.5,10,12.4,14.3,18.1,19.6,19
Atlantic Basin Tropical Cyclones,2007,7.9,32.8,51.2,70.7,91.9,146,167.2,258.4,2.1,8.1,11,14,17.9,23.5,28.6,30
Atlantic Basin Tropical Cyclones,2008,5.7,27.7,48.3,68.6,88.2,126.9,159.8,191.8,1.8,7.1,10.4,12.1,13.6,14.6,13.8,17.2
Atlantic Basin Tropical Cyclones,2009,9.6,30.1,44.5,61.8,73.2,119.2,197.9,292.3,1.6,6.4,11.4,14.9,17.5,20.6,19.5,16.6
