Entity,Year,Share of people who are happy (Eurobarometer 2017)
Albania,2014,58.685448
Albania,2015,62.037964
Albania,2016,59.073544
Austria,1996,93.234474
Austria,1997,83.727531
Austria,1998,83.372276
Austria,1999,83.562508
Austria,2000,80.772339
Austria,2001,85.599884
Austria,2002,83.09864
Austria,2003,82.47834
Austria,2004,84.607742
Austria,2005,85.311844
Austria,2006,84.013351
Austria,2007,85.824425
Austria,2008,80.431259
Austria,2009,82.660095
Austria,2010,84.907295
Austria,2011,84.433296
Austria,2012,85.346962
Austria,2013,83.36956
Austria,2014,90.076302
Austria,2015,86.381081
Austria,2016,84.688965
Belgium,1973,92
Belgium,1975,88.906372
Belgium,1976,89.726608
Belgium,1977,89.721428
Belgium,1978,88.631905
Belgium,1979,89.5112
Belgium,1980,88.504578
Belgium,1981,84.404633
Belgium,1982,81.835266
Belgium,1983,81.618378
Belgium,1984,78.933777
Belgium,1985,82.490234
Belgium,1986,77.562569
Belgium,1987,82.857475
Belgium,1988,78.988998
Belgium,1989,85.571655
Belgium,1990,87.557243
Belgium,1991,89.349998
Belgium,1992,88.805946
Belgium,1993,86.254631
Belgium,1994,85.949997
Belgium,1996,85.874649
Belgium,1997,78.343315
Belgium,1998,78.968002
Belgium,1999,83.447937
Belgium,2000,83.319038
Belgium,2001,84.762169
Belgium,2002,81.803795
Belgium,2003,82.638756
Belgium,2004,90.554413
Belgium,2005,88.633896
Belgium,2006,90.603111
Belgium,2007,89.470711
Belgium,2008,86.882767
Belgium,2009,90.427696
Belgium,2010,88.595413
Belgium,2011,89.313911
Belgium,2012,89.382286
Belgium,2013,91.951668
Belgium,2014,91.353859
Belgium,2015,89.463463
Belgium,2016,91.500923
Bulgaria,2004,32.370518
Bulgaria,2005,29.407001
Bulgaria,2006,30.382904
Bulgaria,2007,36.565365
Bulgaria,2008,39.154861
Bulgaria,2009,39.921722
Bulgaria,2010,38.319218
Bulgaria,2011,37.693024
Bulgaria,2012,39.783852
Bulgaria,2013,34.484436
Bulgaria,2014,45.13496
Bulgaria,2015,45.650059
Bulgaria,2016,48.390835
Croatia,2004,70.400002
Croatia,2005,68.302368
Croatia,2006,70.099998
Croatia,2007,71
Croatia,2008,68.684685
Croatia,2009,63.536465
Croatia,2010,68.249619
Croatia,2011,66.983185
Croatia,2012,66.849998
Croatia,2013,68.714836
Croatia,2014,66.628136
Croatia,2015,72.07341
Croatia,2016,70.965515
Cyprus,2004,89.400002
Cyprus,2005,84.909081
Cyprus,2006,86.244858
Cyprus,2007,86.010864
Cyprus,2008,87.077538
Cyprus,2009,85.148514
Cyprus,2010,82.096481
Cyprus,2011,78.513214
Cyprus,2012,76.08429
Cyprus,2013,68.088699
Cyprus,2014,80.799995
Cyprus,2015,79.902122
Cyprus,2016,80.540237
Czech Republic,2004,77.674416
Czech Republic,2005,82.030487
Czech Republic,2006,81.920326
Czech Republic,2007,81.547256
Czech Republic,2008,82.790924
Czech Republic,2009,81.643837
Czech Republic,2010,79.301857
Czech Republic,2011,79.002403
Czech Republic,2012,76.460037
Czech Republic,2013,80.808846
Czech Republic,2014,82.331009
Czech Republic,2015,83.281982
Czech Republic,2016,86.118401
Denmark,1973,95
Denmark,1975,89.640091
Denmark,1976,92.781723
Denmark,1977,94.760765
Denmark,1978,94.760071
Denmark,1979,93.755821
Denmark,1980,95.647774
Denmark,1981,94.339622
Denmark,1982,95.297623
Denmark,1983,95.363091
Denmark,1984,94.512901
Denmark,1985,95.783073
Denmark,1986,94.604591
Denmark,1987,95.334984
Denmark,1988,90.064369
Denmark,1989,95.378998
Denmark,1990,96.198448
Denmark,1991,96.998596
Denmark,1992,96.449997
Denmark,1993,96.801552
Denmark,1994,96.648254
Denmark,1996,96.996124
Denmark,1997,97.102898
Denmark,1998,97.116272
Denmark,1999,95.811028
Denmark,2000,95.374313
Denmark,2001,96.618774
Denmark,2002,96.454163
Denmark,2003,95.873734
Denmark,2004,96.40078
Denmark,2005,96.919991
Denmark,2006,96.918678
Denmark,2007,97.502449
Denmark,2008,96.461464
Denmark,2009,98.122528
Denmark,2010,97.28038
Denmark,2011,96.525864
Denmark,2012,97.212509
Denmark,2013,96.860107
Denmark,2014,97.364517
Denmark,2015,98.213898
Denmark,2016,97.266937
Estonia,2004,69.800003
Estonia,2005,69.150002
Estonia,2006,74.120232
Estonia,2007,77.938637
Estonia,2008,74.969505
Estonia,2009,73.161034
Estonia,2010,72.549995
Estonia,2011,69.846359
Estonia,2012,69.594124
Estonia,2013,72.047058
Estonia,2014,77.620338
Estonia,2015,79.340996
Estonia,2016,80.254471
European Union,1973,79
European Union,1975,75.356995
European Union,1976,75.405869
European Union,1977,76.649254
European Union,1978,77.573151
European Union,1979,77.5439
European Union,1980,78.874039
European Union,1981,75.510201
European Union,1982,79.113136
European Union,1983,77.04425
European Union,1984,78.129173
European Union,1985,77.018593
European Union,1986,78.159157
European Union,1987,77.437927
European Union,1988,74.897575
European Union,1989,82.3153
European Union,1990,81.576416
European Union,1991,81.773438
European Union,1992,79.670288
European Union,1993,79.178795
European Union,1994,79.78289
European Union,1996,82.567444
European Union,1997,77.285316
European Union,1998,77.358345
European Union,1999,81.519852
European Union,2000,79.889503
European Union,2001,82.828087
European Union,2002,81.477341
European Union,2003,78.839996
European Union,2004,80.997131
European Union,2005,80.477379
European Union,2006,81.942856
European Union,2007,80.504921
European Union,2008,76.90509
European Union,2009,77.212074
European Union,2010,77.622986
European Union,2011,77.036415
European Union,2012,75.98143
European Union,2013,75.332283
European Union,2014,79.795349
European Union,2015,80.666061
European Union,2016,80.727852
Finland,1996,93.731918
Finland,1997,90.108803
Finland,1998,88.060104
Finland,1999,90.488129
Finland,2000,87.63031
Finland,2001,88.127876
Finland,2002,89.892616
Finland,2003,90.648895
Finland,2004,93.936386
Finland,2005,93.961044
Finland,2006,93.968491
Finland,2007,94.689926
Finland,2008,94.269928
Finland,2009,95.8498
Finland,2010,94.22094
Finland,2011,94.862411
Finland,2012,94.275162
Finland,2013,93.714455
Finland,2014,94.433281
Finland,2015,94.547577
Finland,2016,94.704308
France,1973,77
France,1975,73.881378
France,1976,71.098106
France,1977,70.053268
France,1978,70.380768
France,1979,69.405945
France,1980,71.16935
France,1981,69.959679
France,1982,76.25309
France,1983,73.426888
France,1984,71.68882
France,1985,70.711174
France,1986,72.406944
France,1987,73.12236
France,1988,66.998055
France,1989,76.642433
France,1990,77.012886
France,1991,77.100006
France,1992,72.527466
France,1993,70.789948
France,1994,74.674675
France,1996,79.217148
France,1997,73.757462
France,1998,72.167046
France,1999,79.965088
France,2000,80.218231
France,2001,79.117058
France,2002,78.588196
France,2003,75.386024
France,2004,82.041214
France,2005,82.482269
France,2006,84.999954
France,2007,83.430138
France,2008,79.114532
France,2009,83.526009
France,2010,82.972595
France,2011,80.04953
France,2012,85.104271
France,2013,83.382339
France,2014,84.215401
France,2015,85.502945
France,2016,84.065941
Germany,1973,82
Germany,1975,79.186913
Germany,1976,80.792381
Germany,1977,82.775726
Germany,1978,83.561775
Germany,1979,86.640076
Germany,1980,85.203575
Germany,1981,76.693222
Germany,1982,83.699417
Germany,1983,80.269333
Germany,1984,84.462914
Germany,1985,82.47197
Germany,1986,85.770439
Germany,1987,85.192528
Germany,1988,85.304771
Germany,1989,88.682724
Germany,1990,88.522186
Germany,1991,84.899994
Germany,1992,84.849998
Germany,1993,84.0047
Germany,1994,84.150002
Germany,1996,80.046295
Germany,1997,71.407036
Germany,1998,77.037849
Germany,1999,81.717453
Germany,2000,75.939133
Germany,2001,82.316925
Germany,2002,79.845215
Germany,2003,73.018333
Germany,2004,84.002594
Germany,2005,81.052109
Germany,2006,81.51432
Germany,2007,84.544395
Germany,2008,83.396172
Germany,2009,84.231277
Germany,2010,85.669914
Germany,2011,87.890793
Germany,2012,89.07325
Germany,2013,89.052521
Germany,2014,90.339699
Germany,2015,91.683266
Germany,2016,90.324211
Greece,1981,57.157158
Greece,1982,60.993706
Greece,1983,64.049995
Greece,1984,63.91853
Greece,1985,61.816334
Greece,1986,67.349998
Greece,1987,60.776127
Greece,1988,61.299999
Greece,1989,66.81694
Greece,1990,63.550003
Greece,1991,53.550003
Greece,1992,54.97303
Greece,1993,49.677319
Greece,1994,52.472626
Greece,1996,72.980766
Greece,1997,63.069309
Greece,1998,55.256958
Greece,1999,62.434757
Greece,2000,59.622478
Greece,2001,58.592369
Greece,2002,60.18343
Greece,2003,63.213264
Greece,2004,65.965965
Greece,2005,64.682327
Greece,2006,68.334984
Greece,2007,67.400002
Greece,2008,59.082531
Greece,2009,43.543545
Greece,2010,45.678722
Greece,2011,41.204842
Greece,2012,32.385231
Greece,2013,37.280869
Greece,2014,42.465202
Greece,2015,41.20134
Greece,2016,37.958538
Hungary,2004,50.29586
Hungary,2005,54.647278
Hungary,2006,52.006668
Hungary,2007,51.471786
Hungary,2008,46.530567
Hungary,2009,43.625496
Hungary,2010,50.390114
Hungary,2011,49.608852
Hungary,2012,44.774143
Hungary,2013,47.79435
Hungary,2014,62.741436
Hungary,2015,65.929535
Hungary,2016,63.843609
Iceland,2010,99
Iceland,2011,96.502998
Iceland,2012,97.403183
Iceland,2013,97.825829
Iceland,2014,97.602196
Ireland,1973,92
Ireland,1975,88.650002
Ireland,1976,87.556198
Ireland,1977,88.385796
Ireland,1978,88.706467
Ireland,1979,83.466934
Ireland,1980,86.21032
Ireland,1981,82.089546
Ireland,1982,85.969215
Ireland,1983,81.848373
Ireland,1984,83.81823
Ireland,1985,81.20993
Ireland,1986,81.336731
Ireland,1987,76.510918
Ireland,1988,74.146217
Ireland,1989,82.307854
Ireland,1990,86.686684
Ireland,1991,86.75679
Ireland,1992,84.757141
Ireland,1993,84.709084
Ireland,1994,85.993538
Ireland,1996,90.350052
Ireland,1997,91.117767
Ireland,1998,89.031769
Ireland,1999,87.252213
Ireland,2000,87.249886
Ireland,2001,89.659851
Ireland,2002,88.202477
Ireland,2003,85.627922
Ireland,2004,92.59259
Ireland,2005,90.569664
Ireland,2006,90.364502
Ireland,2007,89.738579
Ireland,2008,87.774788
Ireland,2009,88.568588
Ireland,2010,85.548447
Ireland,2011,86.699509
Ireland,2012,83.516487
Ireland,2013,81.953522
Ireland,2014,90.924469
Ireland,2015,92.790047
Ireland,2016,94.526169
Italy,1973,65
Italy,1975,56.558563
Italy,1976,56.195293
Italy,1977,60.807503
Italy,1978,61.395298
Italy,1979,58.743633
Italy,1980,64.157707
Italy,1981,66.863907
Italy,1982,66.953468
Italy,1983,65.423859
Italy,1984,66.710678
Italy,1985,64.409904
Italy,1986,70.451477
Italy,1987,65.512535
Italy,1988,69.561699
Italy,1989,77.277687
Italy,1990,75.038338
Italy,1991,79.310783
Italy,1992,75.001976
Italy,1993,76.863464
Italy,1994,76.549995
Italy,1996,79.964851
Italy,1997,73.420265
Italy,1998,73.319756
Italy,1999,77.095055
Italy,2000,74.110626
Italy,2001,79.965103
Italy,2002,80.091362
Italy,2003,76.018387
Italy,2004,75.784317
Italy,2005,74.702217
Italy,2006,76.183067
Italy,2007,72.725143
Italy,2008,63.697388
Italy,2009,70.077225
Italy,2010,71.141563
Italy,2011,69.031273
Italy,2012,59.234982
Italy,2013,57.187153
Italy,2014,65.72155
Italy,2015,64.64093
Italy,2016,65.210258
Latvia,2004,55.422886
Latvia,2005,60.617435
Latvia,2006,62.522865
Latvia,2007,64.643776
Latvia,2008,62.635147
Latvia,2009,53.76984
Latvia,2010,58.723831
Latvia,2011,60.316635
Latvia,2012,65.758728
Latvia,2013,67.445549
Latvia,2014,71.856483
Latvia,2015,71.389511
Latvia,2016,74.278404
Lithuania,2004,54.391216
Lithuania,2005,55.687107
Lithuania,2006,61.215126
Lithuania,2007,63.912083
Lithuania,2008,59.169781
Lithuania,2009,57.086617
Lithuania,2010,53.007275
Lithuania,2011,56.676411
Lithuania,2012,62.855743
Lithuania,2013,65.049171
Lithuania,2014,70.590057
Lithuania,2015,74.700775
Lithuania,2016,67.856468
Luxembourg,1973,79
Luxembourg,1975,79.939392
Luxembourg,1976,87.717453
Luxembourg,1977,89.361954
Luxembourg,1978,86.255089
Luxembourg,1979,93.333336
Luxembourg,1980,92.666664
Luxembourg,1981,93.333336
Luxembourg,1982,90.468231
Luxembourg,1983,89.919571
Luxembourg,1984,90.985512
Luxembourg,1985,91.261978
Luxembourg,1986,92.500473
Luxembourg,1987,92.071442
Luxembourg,1988,87.346626
Luxembourg,1989,94.355263
Luxembourg,1990,93.521591
Luxembourg,1991,93.512978
Luxembourg,1992,94.099998
Luxembourg,1993,92.696472
Luxembourg,1994,94.30619
Luxembourg,1996,88.571426
Luxembourg,1997,93.478264
Luxembourg,1998,88.412285
Luxembourg,1999,90.548317
Luxembourg,2000,89.504486
Luxembourg,2001,92.390846
Luxembourg,2002,92.488647
Luxembourg,2003,86.860954
Luxembourg,2004,94.42231
Luxembourg,2005,93.705154
Luxembourg,2006,92.524452
Luxembourg,2007,93.092094
Luxembourg,2008,92.311157
Luxembourg,2009,95.660378
Luxembourg,2010,95.484146
Luxembourg,2011,96.686119
Luxembourg,2012,94.751831
Luxembourg,2013,93.184448
Luxembourg,2014,93.881119
Luxembourg,2015,95.055534
