Entity,Year,Freshwater use
BRICS,1977,1122367389133
BRICS,1978,1275955698250
BRICS,1979,1363028489490
BRICS,1980,1299776111351
BRICS,1981,1290336947508
BRICS,1982,1292913809307
BRICS,1983,1246295119175
BRICS,1984,1285284153443
BRICS,1985,1262542366161
BRICS,1986,1373542475148
BRICS,1987,1349603643977
BRICS,1988,1409561145155
BRICS,1989,1419631440669
BRICS,1990,1362154757690
BRICS,1991,1477673466564
BRICS,1992,1447702933078
BRICS,1993,1436153884672
BRICS,1994,1488204265238
BRICS,1995,1462759630129
BRICS,1996,1368948329450
BRICS,1997,1478905346684
BRICS,1998,1486803781217
BRICS,1999,1611442105976
BRICS,2000,1703615472380
BRICS,2001,1756423671145
BRICS,2002,1724417158553
BRICS,2003,1614480726274
BRICS,2004,1703603043381
BRICS,2005,1658249209261
BRICS,2006,1774462612000
BRICS,2007,1760314565643
BRICS,2008,1710987187516
BRICS,2009,1846214311322
BRICS,2010,1691729200046
OECD,1901,117353137006
OECD,1902,114999879059
OECD,1903,121309151573
OECD,1904,126660221121
OECD,1905,122385369764
OECD,1906,127190623395
OECD,1907,130276714422
OECD,1908,131243052533
OECD,1909,138504853545
OECD,1910,140444850815
OECD,1911,139126151088
OECD,1912,142666270742
OECD,1913,151019819179
OECD,1914,149044287817
OECD,1915,148107406246
OECD,1916,155099842558
OECD,1917,161593143217
OECD,1918,160618291040
OECD,1919,160475042202
OECD,1920,159125795521
OECD,1921,163209814464
OECD,1922,171956849141
OECD,1923,165230952666
OECD,1924,181222328999
OECD,1925,174708303993
OECD,1926,182731150854
OECD,1927,181690747976
OECD,1928,187270352838
OECD,1929,195572235289
OECD,1930,194988575296
OECD,1931,200603040193
OECD,1932,194853553609
OECD,1933,202732473578
OECD,1934,209801845364
OECD,1935,203514608255
OECD,1936,211187890906
OECD,1937,217488398901
OECD,1938,219100065035
OECD,1939,231477042257
OECD,1940,232909936619
OECD,1941,223341541928
OECD,1942,245613233005
OECD,1943,255171609639
OECD,1944,255250098680
OECD,1945,258252948936
OECD,1946,265038633248
OECD,1947,272578892830
OECD,1948,267320944017
OECD,1949,274459382331
OECD,1950,287572718272
OECD,1951,303711156343
OECD,1952,330219526402
OECD,1953,341346872123
OECD,1954,361999889657
OECD,1955,383253947400
OECD,1956,409705581146
OECD,1957,408987657898
OECD,1958,420122737857
OECD,1959,450394694692
OECD,1960,477603139328
OECD,1961,502188888698
OECD,1962,526225504024
OECD,1963,529104866895
OECD,1964,568980850778
OECD,1965,573095436261
OECD,1966,607013154550
OECD,1967,624761839321
OECD,1968,647245032648
OECD,1969,685970912873
OECD,1970,721715376712
OECD,1971,723108513657
OECD,1972,750203817518
OECD,1973,811178020681
OECD,1974,799244160999
OECD,1975,786365859104
OECD,1976,818420519465
OECD,1977,832107581964
OECD,1978,875703634577
OECD,1979,890339135468
OECD,1980,887697894318
OECD,1981,870163371835
OECD,1982,845351938305
OECD,1983,848386715518
OECD,1984,862359220065
OECD,1985,874313435236
OECD,1986,854827152025
OECD,1987,865861496780
OECD,1988,887944180778
OECD,1989,891635678551
OECD,1990,901026039293
OECD,1991,882980775307
OECD,1992,867416062354
OECD,1993,867396657269
OECD,1994,932802901275
OECD,1995,904384739985
OECD,1996,910589955406
OECD,1997,910504152759
OECD,1998,925841218373
OECD,1999,920854595884
OECD,2000,946987067393
OECD,2001,947996529524
OECD,2002,928615680328
OECD,2003,941580919102
OECD,2004,922645460619
OECD,2005,946490643555
OECD,2006,949557662524
OECD,2007,950076754340
OECD,2008,933118180750
OECD,2009,902341417810
OECD,2010,892290587085
ROW,1901,252779022259
ROW,1902,256908507659
ROW,1903,250000669857
ROW,1904,257908150413
ROW,1905,253155674870
ROW,1906,257715355373
ROW,1907,263681654268
ROW,1908,261030366353
ROW,1909,262830035638
ROW,1910,273169494538
ROW,1911,280726569198
ROW,1912,288819752588
ROW,1913,289324623997
ROW,1914,286682223363
ROW,1915,299984695252
ROW,1916,293102851613
ROW,1917,288685297020
ROW,1918,309478281271
ROW,1919,304951482495
ROW,1920,311356887200
ROW,1921,307844252312
ROW,1922,310793400905
ROW,1923,314604876398
ROW,1924,322069136364
ROW,1925,337904094016
ROW,1926,324653822615
ROW,1927,343638042793
ROW,1928,335707091407
ROW,1929,346887903477
ROW,1930,337683005022
ROW,1931,329256774078
ROW,1932,345921585885
ROW,1933,335476210728
ROW,1934,347962603009
ROW,1935,358702791844
ROW,1936,358879127984
ROW,1937,370457892974
ROW,1938,379046352711
ROW,1939,384232763794
ROW,1940,392129403039
ROW,1941,392855719958
ROW,1942,381337233000
ROW,1943,392492686538
ROW,1944,393653417326
ROW,1945,393377747149
ROW,1946,414584132315
ROW,1947,415234461620
ROW,1948,419403692932
ROW,1949,419938960331
ROW,1950,418263869344
ROW,1951,452826292711
ROW,1952,459693401879
ROW,1953,458596560935
ROW,1954,460360450522
ROW,1955,463983393001
ROW,1956,473192023282
ROW,1957,489259855170
ROW,1958,507773164940
ROW,1959,508255930443
ROW,1960,550255792594
ROW,1961,571358368762
ROW,1962,579621844603
ROW,1963,597429982149
ROW,1964,598447665629
ROW,1965,641598105768
ROW,1966,640496073322
ROW,1967,640417441611
ROW,1968,687433208894
ROW,1969,696408461795
ROW,1970,709123666572
ROW,1971,728713613703
ROW,1972,728533243722
ROW,1973,761333471619
ROW,1974,784516039675
ROW,1975,782127773417
ROW,1976,785759744262
ROW,1977,836061196882
ROW,1978,839472752927
ROW,1979,856752927746
ROW,1980,885963833024
ROW,1981,893473927361
ROW,1982,928926459931
ROW,1983,938857060869
ROW,1984,968177402628
ROW,1985,991898899905
ROW,1986,1004718069491
ROW,1987,1055924984001
ROW,1988,1040906466071
ROW,1989,1057781368400
ROW,1990,1058176501169
ROW,1991,1057033361304
ROW,1992,1004319063419
ROW,1993,1054698615658
ROW,1994,1043063036757
ROW,1995,1053068544448
ROW,1996,1059336577079
ROW,1997,1052449621095
ROW,1998,1083116712072
ROW,1999,1118751440047
ROW,2000,1135346350550
ROW,2001,1157222192455
ROW,2002,1153824736270
ROW,2003,1167009790949
ROW,2004,1226725032488
ROW,2005,1222697524392
ROW,2006,1268179044925
ROW,2007,1293273478461
ROW,2008,1304220896596
ROW,2009,1324391255798
ROW,2010,1287866397351
World,1901,671306983873
World,1902,685160582511
World,1903,655134883737
World,1904,699576268956
World,1905,700946862061
World,1906,696602977599
World,1907,731144772386
World,1908,719471701227
World,1909,728901391069
World,1910,721299647144
World,1911,745680720540
World,1912,767006346937
World,1913,815330197706
World,1914,786612865433
World,1915,795361689794
World,1916,787231952020
World,1917,775639802130
World,1918,866090893167
World,1919,836046221526
World,1920,884507213764
World,1921,843070029162
World,1922,871840024725
World,1923,871314812056
World,1924,889083480856
World,1925,924787108685
World,1926,897784782426
World,1927,942226756274
World,1928,948217636750
World,1929,971752096730
World,1930,953917032232
World,1931,933752708438
World,1932,975080407692
World,1933,947880055696
World,1934,1001227847427
World,1935,1017967168166
World,1936,1030140139854
World,1937,1037521711280
World,1938,1068636917459
World,1939,1101694892511
World,1940,1110057100858
World,1941,1127967315874
World,1942,1118901725058
World,1943,1138661531039
World,1944,1142668949683
World,1945,1141481848418
World,1946,1177734201509
World,1947,1178084072050
World,1948,1183911222473
World,1949,1193998559818
World,1950,1226581492652
World,1951,1328106361712
World,1952,1379031417592
World,1953,1373804788386
World,1954,1372677661659
World,1955,1424773252538
World,1956,1457353328546
World,1957,1567294694315
World,1958,1576923377182
World,1959,1638316188497
World,1960,1751856694173
World,1961,1765317094855
World,1962,1836014016143
World,1963,1919424571799
World,1964,1946670963025
World,1965,2094529301420
World,1966,2155354004443
World,1967,2133103824801
World,1968,2349150276457
World,1969,2358734737509
World,1970,2362057426681
World,1971,2435749010145
World,1972,2547232873087
World,1973,2606315331685
World,1974,2724754347202
World,1975,2638242268253
World,1976,2739688119549
World,1977,2790536167979
World,1978,2991132085753
World,1979,3110120552704
World,1980,3073437838693
World,1981,3053974246703
World,1982,3067192207543
World,1983,3033538895562
World,1984,3115820776136
World,1985,3128754701301
World,1986,3233087696664
World,1987,3271390124759
World,1988,3338411792004
World,1989,3369048487620
World,1990,3321357298152
World,1991,3417687603175
World,1992,3319438058851
World,1993,3358249157599
World,1994,3464070203270
World,1995,3420212914562
World,1996,3338874861936
World,1997,3441859120538
World,1998,3495761711662
World,1999,3651048141907
World,2000,3785948890323
World,2001,3861642393124
World,2002,3806857575151
World,2003,3723071436326
World,2004,3852973536488
World,2005,3827437377208
World,2006,3992199319449
World,2007,4003664798444
World,2008,3948326264862
World,2009,4072946984929
World,2010,3871886184482
World,2014,3985681600000
