Entity,Year,Freshwater use
BRICS,1901,301174824608
BRICS,1902,313252195793
BRICS,1903,283825062307
BRICS,1904,315007897422
BRICS,1905,325405817427
BRICS,1906,311696998831
BRICS,1907,337186403696
BRICS,1908,327198282341
BRICS,1909,327566501886
BRICS,1910,307685301791
BRICS,1911,325828000254
BRICS,1912,335520323607
BRICS,1913,374985754530
BRICS,1914,350886354253
BRICS,1915,347269588296
BRICS,1916,339029257850
BRICS,1917,325361361893
BRICS,1918,395994320857
BRICS,1919,370619696830
BRICS,1920,414024531043
BRICS,1921,372015962386
BRICS,1922,389089774679
BRICS,1923,391478982991
BRICS,1924,385792015494
BRICS,1925,412174710676
BRICS,1926,390399808956
BRICS,1927,416897965506
BRICS,1928,425240192505
BRICS,1929,429291957964
BRICS,1930,421245451914
BRICS,1931,403892894167
BRICS,1932,434305268198
BRICS,1933,409671371391
BRICS,1934,443463399054
BRICS,1935,455749768067
BRICS,1936,460073120964
BRICS,1937,449575419404
BRICS,1938,470490499713
BRICS,1939,485985086461
BRICS,1940,485017761201
BRICS,1941,511770053988
BRICS,1942,491951259053
BRICS,1943,490997234861
BRICS,1944,493765433677
BRICS,1945,489851152334
BRICS,1946,498111435946
BRICS,1947,490270717600
BRICS,1948,497186585524
BRICS,1949,499600217156
BRICS,1950,520744905036
BRICS,1951,571568912658
BRICS,1952,589118489311
BRICS,1953,573861355328
BRICS,1954,550317321480
BRICS,1955,577535912137
BRICS,1956,574455724119
BRICS,1957,669047181247
BRICS,1958,649027474385
BRICS,1959,679665563361
BRICS,1960,723997762251
BRICS,1961,691769837394
BRICS,1962,730166667516
BRICS,1963,792889722755
BRICS,1964,779242446617
BRICS,1965,879835759391
BRICS,1966,907844776571
BRICS,1967,867924543868
BRICS,1968,1014472034916
BRICS,1969,976355362841
BRICS,1970,931218383397
BRICS,1971,983926882785
BRICS,1972,1068495811847
BRICS,1973,1033803839385
BRICS,1974,1140994146529
BRICS,1975,1069748635732
BRICS,1976,1135507855823
