Entity,Year,Prevalence of obesity in adults (18+ years old) (FAO (2017))
Africa,1975,3
Africa,1976,3.1
Africa,1977,3.2
Africa,1978,3.3
Africa,1979,3.5
Africa,1980,3.6
Africa,1981,3.7
Africa,1982,3.8
Africa,1983,4
Africa,1984,4.1
Africa,1985,4.3
Africa,1986,4.4
Africa,1987,4.5
Africa,1988,4.7
Africa,1989,4.9
Africa,1990,5
Africa,1991,5.2
Africa,1992,5.3
Africa,1993,5.5
Africa,1994,5.7
Africa,1995,5.8
Africa,1996,6
Africa,1997,6.2
Africa,1998,6.4
Africa,1999,6.6
Africa,2000,6.9
Africa,2001,7.1
Africa,2002,7.3
Africa,2003,7.6
Africa,2004,7.8
Africa,2005,8.1
Africa,2006,8.4
Africa,2007,8.7
Africa,2008,9
Africa,2009,9.3
Africa,2010,9.7
Africa,2011,10
Africa,2012,10.3
Africa,2013,10.7
Africa,2014,11.1
Asia,1975,1
Asia,1976,1.1
Asia,1977,1.1
Asia,1978,1.1
Asia,1979,1.2
Asia,1980,1.2
Asia,1981,1.3
Asia,1982,1.4
Asia,1983,1.4
Asia,1984,1.5
Asia,1985,1.5
Asia,1986,1.6
Asia,1987,1.7
Asia,1988,1.8
Asia,1989,1.9
Asia,1990,2
Asia,1991,2.1
Asia,1992,2.2
Asia,1993,2.3
Asia,1994,2.4
Asia,1995,2.5
Asia,1996,2.6
Asia,1997,2.8
Asia,1998,2.9
Asia,1999,3.1
Asia,2000,3.3
Asia,2001,3.5
Asia,2002,3.7
Asia,2003,3.9
Asia,2004,4.1
Asia,2005,4.4
Asia,2006,4.6
Asia,2007,4.9
Asia,2008,5.2
Asia,2009,5.5
Asia,2010,5.9
Asia,2011,6.2
Asia,2012,6.6
Asia,2013,7
Asia,2014,7.4
Latin America and the Caribbean,1975,6.8
Latin America and the Caribbean,1976,7.1
Latin America and the Caribbean,1977,7.3
Latin America and the Caribbean,1978,7.6
Latin America and the Caribbean,1979,7.9
Latin America and the Caribbean,1980,8.1
Latin America and the Caribbean,1981,8.4
Latin America and the Caribbean,1982,8.7
Latin America and the Caribbean,1983,9
Latin America and the Caribbean,1984,9.3
Latin America and the Caribbean,1985,9.5
Latin America and the Caribbean,1986,9.8
Latin America and the Caribbean,1987,10.1
Latin America and the Caribbean,1988,10.5
Latin America and the Caribbean,1989,10.8
Latin America and the Caribbean,1990,11.1
Latin America and the Caribbean,1991,11.5
Latin America and the Caribbean,1992,11.8
Latin America and the Caribbean,1993,12.2
Latin America and the Caribbean,1994,12.6
Latin America and the Caribbean,1995,13
Latin America and the Caribbean,1996,13.4
Latin America and the Caribbean,1997,13.8
Latin America and the Caribbean,1998,14.2
Latin America and the Caribbean,1999,14.7
Latin America and the Caribbean,2000,15.1
Latin America and the Caribbean,2001,15.5
Latin America and the Caribbean,2002,16
Latin America and the Caribbean,2003,16.4
Latin America and the Caribbean,2004,17
Latin America and the Caribbean,2005,17.5
Latin America and the Caribbean,2006,18
Latin America and the Caribbean,2007,18.6
