Entity,Year,Freedom of the Press Status 4 (Freedom House (2016))
Afghanistan,1979,1500
Afghanistan,1980,1500
Afghanistan,1981,1500
Afghanistan,1983,1500
Afghanistan,1984,1500
Afghanistan,1985,1500
Afghanistan,1986,1500
Afghanistan,1987,1500
Afghanistan,1988,1500
Afghanistan,1989,1500
Afghanistan,1990,1500
Afghanistan,1991,1500
Afghanistan,1992,1500
Afghanistan,1993,1500
Afghanistan,1994,1500
Afghanistan,1995,1500
Afghanistan,1996,1500
Afghanistan,1997,1500
Afghanistan,1998,1500
Afghanistan,1999,1500
Afghanistan,2000,1500
Afghanistan,2002,1500
Afghanistan,2003,1500
Afghanistan,2004,1500
Afghanistan,2005,1500
Afghanistan,2006,1500
Afghanistan,2007,1500
Afghanistan,2008,1500
Afghanistan,2009,1500
Afghanistan,2010,1500
Afghanistan,2011,1500
Afghanistan,2012,1500
Afghanistan,2013,1500
Afghanistan,2014,1500
Albania,1979,1500
Albania,1980,1500
Albania,1981,1500
Albania,1983,1500
Albania,1984,1500
Albania,1985,1500
Albania,1986,1500
Albania,1987,1500
Albania,1988,1500
Albania,1989,1500
Albania,1990,1500
Albania,1991,2500
Albania,1992,2500
Albania,1993,2500
Albania,1994,1500
Albania,1995,1500
Albania,1996,1500
Albania,1997,2500
Albania,1998,2500
Albania,1999,2500
Albania,2000,2500
Albania,2001,2500
Albania,2002,2500
Albania,2003,2500
Albania,2004,2500
Albania,2005,2500
Albania,2006,2500
Albania,2007,2500
Albania,2008,2500
Albania,2009,2500
Albania,2010,2500
Albania,2011,2500
Albania,2012,2500
Albania,2013,2500
Albania,2014,2500
Algeria,1979,1500
Algeria,1980,1500
Algeria,1981,1500
Algeria,1983,1500
Algeria,1984,1500
Algeria,1985,1500
Algeria,1986,1500
Algeria,1987,1500
Algeria,1988,1500
Algeria,1989,2500
Algeria,1990,2500
Algeria,1991,2500
Algeria,1992,1500
Algeria,1993,1500
Algeria,1994,1500
Algeria,1995,1500
Algeria,1996,1500
Algeria,1997,1500
Algeria,1998,1500
Algeria,1999,1500
Algeria,2000,1500
Algeria,2001,1500
Algeria,2002,1500
