Entity,Year,Learning-Adjusted Years of School
Afghanistan,2018,4.9
Albania,2018,8.9
Algeria,2018,6.8
Angola,2018,4.1
Argentina,2018,8.9
Armenia,2018,7.9
Australia,2018,11.6
Austria,2018,11.7
Azerbaijan,2018,8.7
Bahrain,2018,9.6
Bangladesh,2018,6.5
Belgium,2018,11.1
Benin,2018,5.7
Bosnia and Herzegovina,2018,8.6
Botswana,2018,5.3
Brazil,2018,7.6
Bulgaria,2018,10.3
Burkina Faso,2018,4.2
Burundi,2018,5.1
Cambodia,2018,6.9
Cameroon,2018,5.5
Canada,2018,11.7
Chad,2018,2.6
Chile,2018,9.6
China,2018,9.7
Colombia,2018,8.5
Comoros,2018,5.3
Congo,2018,5.2
Costa Rica,2018,8.6
Cote d'Ivoire,2018,4.2
Croatia,2018,10.7
Cyprus,2018,10.9
Czech Republic,2018,11.6
Democratic Republic of Congo,2018,4.7
Denmark,2018,11.4
Dominican Republic,2018,6.3
Ecuador,2018,8.9
Egypt,2018,6.3
El Salvador,2018,6.5
Estonia,2018,11.4
Ethiopia,2018,4.5
Finland,2018,12
France,2018,11.3
Gabon,2018,6
Gambia,2018,4.8
Georgia,2018,8.9
Germany,2018,11.7
Ghana,2018,5.7
Greece,2018,9.8
Guatemala,2018,6.3
Guinea,2018,4.5
Guyana,2018,6.7
Haiti,2018,6.3
Honduras,2018,6.4
Hong Kong,2018,12.1
Hungary,2018,10.7
Iceland,2018,10.7
India,2018,5.8
Indonesia,2018,7.9
Iran,2018,8.1
Iraq,2018,4
Ireland,2018,11.8
Israel,2018,11.1
Italy,2018,11.2
Jamaica,2018,7.2
Japan,2018,12.3
Jordan,2018,7.6
Kazakhstan,2018,11.5
Kenya,2018,7.8
Kiribati,2018,7.1
Kosovo,2018,7.7
Kuwait,2018,7.6
Kyrgyzstan,2018,8.4
Laos,2018,6.4
Latvia,2018,11.3
Lebanon,2018,6.8
Lesotho,2018,5.5
Liberia,2018,2.3
Lithuania,2018,11.2
Luxembourg,2018,9.9
Macao,2018,11
Macedonia,2018,6.8
Madagascar,2018,4.2
Malawi,2018,5.4
Malaysia,2018,9.1
Mali,2018,2.7
Malta,2018,10.1
Mauritania,2018,3.4
Mauritius,2018,9.5
Mexico,2018,8.6
Moldova,2018,8.2
Mongolia,2018,9.4
Montenegro,2018,8.6
Morocco,2018,6.2
Mozambique,2018,4.4
Myanmar,2018,6.7
Namibia,2018,5.8
Nepal,2018,6.9
Netherlands,2018,11.7
New Zealand,2018,11.3
Nicaragua,2018,7.3
Niger,2018,2.6
Nigeria,2018,4.3
Norway,2018,11.2
Oman,2018,8.9
Pakistan,2018,4.8
Palestine,2018,7.5
Panama,2018,7.2
Papua New Guinea,2018,4.7
Paraguay,2018,7.1
Peru,2018,8.3
Philippines,2018,8.4
Poland,2018,11.3
Portugal,2018,11.5
Qatar,2018,8.5
Romania,2018,8.8
Russia,2018,11.9
Rwanda,2018,3.8
Saudi Arabia,2018,8.1
Senegal,2018,4.8
Serbia,2018,11.1
Seychelles,2018,10.1
Sierra Leone,2018,4.5
Singapore,2018,12.9
Slovakia,2018,10.4
Slovenia,2018,11.6
Solomon Islands,2018,5.3
South Africa,2018,5.1
South Korea,2018,12.2
South Sudan,2018,2.3
Spain,2018,10.8
Sri Lanka,2018,8.3
Sudan,2018,4.4
Swaziland,2018,5.7
Sweden,2018,11.7
Switzerland,2018,11.1
Tajikistan,2018,7.7
Tanzania,2018,4.8
Thailand,2018,8.6
Timor,2018,5.9
Togo,2018,5.6
Tonga,2018,6.5
Trinidad and Tobago,2018,9.1
Tunisia,2018,6.3
Turkey,2018,8.9
Tuvalu,2018,7.4
Uganda,2018,4.4
Ukraine,2018,10.2
United Arab Emirates,2018,9.5
United Kingdom,2018,11.5
United States,2018,11.1
Uruguay,2018,8.4
Vanuatu,2018,6.1
Vietnam,2018,10.2
Yemen,2018,4.1
Zambia,2018,5.2
Zimbabwe,2018,6.3
