Entity,Year,"Poverty headcount (below $3.10 per day, 2011 PPP) (World Bank (WDI) (2016))"
Albania,1996,12.36
Albania,2002,15.85
Albania,2005,9.79
Albania,2008,6.11
Albania,2012,6.79
Angola,2000,54.25
Angola,2008,54.52
Argentina,1986,0
Argentina,1987,1.71
Argentina,1991,3.91
Argentina,1992,4.48
Argentina,1993,5.16
Argentina,1994,5.39
Argentina,1995,8.25
Argentina,1996,8.98
Argentina,1997,8.48
Argentina,1998,9.77
Argentina,1999,10.15
Argentina,2000,12.12
Argentina,2001,17.05
Argentina,2002,25.4
Argentina,2003,19.14
Argentina,2004,14.61
Argentina,2005,11.36
Argentina,2006,8.7
Argentina,2007,7.13
Argentina,2008,6.79
Argentina,2009,6.41
Argentina,2010,4.99
Argentina,2011,3.6
Argentina,2012,3.69
Argentina,2013,3.63
Armenia,1996,40.42
Armenia,1999,50.02
Armenia,2001,53.09
Armenia,2002,49.45
Armenia,2003,45.48
Armenia,2004,33.93
Armenia,2005,24.7
Armenia,2006,20.04
Armenia,2007,21.92
Armenia,2008,12.92
Armenia,2009,16.35
Armenia,2010,21.65
Armenia,2011,19.03
Armenia,2012,17.4
Armenia,2013,16.97
Azerbaijan,1995,24.78
Azerbaijan,2001,16.32
Azerbaijan,2002,0.24
Azerbaijan,2003,0.35
Azerbaijan,2004,0
Azerbaijan,2005,0
Bangladesh,1983,93.5
Bangladesh,1985,91.15
Bangladesh,1988,92.67
Bangladesh,1991,93.34
Bangladesh,1995,86.72
Bangladesh,2000,84.77
Bangladesh,2005,81.5
Bangladesh,2010,77.61
Belarus,1988,0.64
Belarus,1993,2.7
Belarus,1995,2.62
Belarus,1998,15.03
Belarus,1999,12.37
Belarus,2000,10.03
Belarus,2001,6.37
Belarus,2002,9.84
Belarus,2003,8.72
Belarus,2004,3.63
Belarus,2005,2.18
Belarus,2006,0.92
Belarus,2007,0.59
Belarus,2008,0.39
Belarus,2009,0.54
Belarus,2010,0.09
Belarus,2011,0.01
Belarus,2012,0.03
Belize,1993,24.37
Belize,1994,24.48
Belize,1995,21.74
Belize,1996,30.13
Belize,1997,34.24
Belize,1998,32.64
Belize,1999,26.02
Benin,2003,77.22
Benin,2011,75.63
Bhutan,2003,30.07
Bhutan,2007,28.87
Bhutan,2012,13.5
Bolivia,1990,24.28
Bolivia,1993,40.55
Bolivia,1997,30.98
Bolivia,1999,37.43
Bolivia,2000,41.38
Bolivia,2001,35.77
Bolivia,2002,36.85
Bolivia,2004,27.98
Bolivia,2005,32.24
Bolivia,2006,29.24
Bolivia,2007,27.31
Bolivia,2008,20.73
Bolivia,2009,19.2
Bolivia,2011,14.62
Bolivia,2012,15.77
Bolivia,2013,13.35
Bosnia and Herzegovina,2001,0.82
Bosnia and Herzegovina,2004,0.64
Bosnia and Herzegovina,2007,0.42
Botswana,1985,62.52
Botswana,1993,54.66
Botswana,2002,49.04
Botswana,2009,35.74
Brazil,1981,41.15
Brazil,1982,40.07
Brazil,1983,48.76
Brazil,1984,48.15
Brazil,1985,35.11
Brazil,1986,21.11
Brazil,1987,32.56
Brazil,1988,37.41
Brazil,1989,34.86
Brazil,1990,35.79
Brazil,1992,35.77
Brazil,1993,34.83
Brazil,1995,25.88
Brazil,1996,26.57
Brazil,1997,26.81
Brazil,1998,24.48
Brazil,1999,25.61
Brazil,2001,25.82
Brazil,2002,24.47
Brazil,2003,25.18
Brazil,2004,23.27
Brazil,2005,21.19
Brazil,2006,17.88
Brazil,2007,16.8
Brazil,2008,14.21
Brazil,2009,13.46
Brazil,2011,11.37
Brazil,2012,9.28
Brazil,2013,9.06
Bulgaria,1989,0.08
Bulgaria,1992,0
Bulgaria,1994,0.54
Bulgaria,1995,3.34
Bulgaria,1997,4.31
Bulgaria,2001,6.9
Bulgaria,2003,3.88
Bulgaria,2006,0
Bulgaria,2007,1.76
Bulgaria,2008,2.82
Bulgaria,2009,2.61
Bulgaria,2010,3.8
Bulgaria,2011,4.66
Bulgaria,2012,4.7
Burkina Faso,1994,92.39
Burkina Faso,1998,91
Burkina Faso,2003,79.3
Burkina Faso,2009,80.47
Burundi,1992,94.39
Burundi,1998,94.98
Burundi,2006,92.17
Cambodia,1994,77.2
Cambodia,2004,66.13
Cambodia,2007,61.64
Cambodia,2008,53.25
Cambodia,2009,41.93
Cambodia,2010,42.36
Cambodia,2011,43.25
Cambodia,2012,37
Cameroon,1996,72.27
Cameroon,2001,50.85
Cameroon,2007,54.27
Cape Verde,2001,50.79
Cape Verde,2007,39.26
Central African Republic,1992,91.91
Central African Republic,2003,84.17
Central African Republic,2008,82.27
Chad,2003,84.55
Chad,2011,64.82
Chile,1987,21.99
Chile,1990,20.89
Chile,1992,15.3
Chile,1994,14.3
Chile,1996,11.33
Chile,1998,10.32
Chile,2000,8.95
Chile,2003,7.7
Chile,2006,5.15
Chile,2009,4.1
Chile,2011,2.91
Chile,2013,2.05
China,1981,99.14
China,1984,95.87
China,1987,89.15
China,1990,89.2
China,1993,82.31
China,1996,71.5
China,1999,67.18
China,2002,56.4
China,2005,41.76
China,2008,32.96
China,2010,27.24
Colombia,1988,27.26
Colombia,1989,22.59
Colombia,1991,21.28
Colombia,1992,19.64
Colombia,1996,27.34
Colombia,1999,32.87
Colombia,2000,27.64
Colombia,2001,37.07
Colombia,2002,28.27
Colombia,2003,26.59
Colombia,2004,26.51
Colombia,2005,22.86
Colombia,2006,35.66
Colombia,2007,30.9
Colombia,2008,22.76
Colombia,2009,20.4
Colombia,2010,17.6
Colombia,2011,15.31
Colombia,2012,16.2
Colombia,2013,13.79
Comoros,2004,32.26
Congo,2005,71.76
Congo,2011,52.91
Costa Rica,1981,42.88
Costa Rica,1986,27.15
Costa Rica,1989,22.58
Costa Rica,1990,18.22
Costa Rica,1991,22.66
Costa Rica,1992,18.81
Costa Rica,1993,15.78
Costa Rica,1994,13.12
Costa Rica,1995,13.67
Costa Rica,1996,16.03
Costa Rica,1997,12.95
Costa Rica,1998,10.23
Costa Rica,1999,12.63
Costa Rica,2000,13.22
Costa Rica,2001,12.34
Costa Rica,2002,11.97
Costa Rica,2003,11.68
Costa Rica,2004,11.09
Costa Rica,2005,9.01
Costa Rica,2006,9.47
Costa Rica,2007,6.07
Costa Rica,2008,5.88
Costa Rica,2009,6.6
Costa Rica,2010,3.92
Costa Rica,2011,4.07
Costa Rica,2012,4.07
Costa Rica,2013,3.95
Cote d'Ivoire,1985,18.28
Cote d'Ivoire,1986,16.95
Cote d'Ivoire,1987,24.3
Cote d'Ivoire,1988,32.4
Cote d'Ivoire,1992,46.71
Cote d'Ivoire,1993,41.3
Cote d'Ivoire,1995,48.23
Cote d'Ivoire,1998,53.95
Cote d'Ivoire,2002,54.79
Cote d'Ivoire,2008,55.14
Croatia,1988,0.08
Croatia,1998,0
Croatia,1999,0.51
Croatia,2000,0.26
Croatia,2001,0.29
Croatia,2004,0.15
Croatia,2008,0.12
Croatia,2009,0.08
Croatia,2010,0.05
Croatia,2011,0
Czech Republic,1988,0
Czech Republic,1993,0.03
Czech Republic,1996,0.26
Czech Republic,2004,0.03
Czech Republic,2005,0.06
Czech Republic,2006,0.08
Czech Republic,2007,0.2
Czech Republic,2008,0
Czech Republic,2009,0
Czech Republic,2010,0
Czech Republic,2011,0
Czech Republic,2012,0
Democratic Republic of Congo,2004,96.85
Democratic Republic of Congo,2012,90.73
Djibouti,2002,46.12
Djibouti,2012,36.98
Dominican Republic,1986,35.34
Dominican Republic,1989,32.09
Dominican Republic,1992,16.06
Dominican Republic,1996,12.7
Dominican Republic,1997,11.78
Dominican Republic,2000,12.18
Dominican Republic,2001,11.98
Dominican Republic,2002,13.62
Dominican Republic,2003,16.86
Dominican Republic,2004,21.96
Dominican Republic,2005,15.94
Dominican Republic,2006,13.63
Dominican Republic,2007,12.94
Dominican Republic,2008,13.3
Dominican Republic,2009,11.55
Dominican Republic,2010,11.5
Dominican Republic,2011,10
Dominican Republic,2012,10.22
Dominican Republic,2013,9.12
East Asia & Pacific (developing only),1981,93.27
East Asia & Pacific (developing only),1984,90.36
East Asia & Pacific (developing only),1987,85.26
East Asia & Pacific (developing only),1990,83.86
East Asia & Pacific (developing only),1993,77.18
East Asia & Pacific (developing only),1996,67.81
East Asia & Pacific (developing only),1999,65
East Asia & Pacific (developing only),2002,55.11
East Asia & Pacific (developing only),2005,43.08
East Asia & Pacific (developing only),2008,35.33
East Asia & Pacific (developing only),2010,28.9
East Asia & Pacific (developing only),2011,24.86
East Asia & Pacific (developing only),2012,22.23
Ecuador,1987,32.65
Ecuador,1994,33.94
Ecuador,1995,40.3
Ecuador,1998,34.85
Ecuador,1999,39.03
Ecuador,2000,47.95
Ecuador,2003,32.92
Ecuador,2004,30.54
Ecuador,2005,26.99
Ecuador,2006,21.1
Ecuador,2007,20.94
Ecuador,2008,20.47
Ecuador,2009,20.1
Ecuador,2010,16.91
Ecuador,2011,14.54
Ecuador,2012,13.97
Ecuador,2013,11.64
El Salvador,1989,35.61
El Salvador,1991,35.24
El Salvador,1995,38.98
El Salvador,1996,40.94
El Salvador,1998,31.8
El Salvador,1999,27.82
El Salvador,2000,22.73
El Salvador,2001,24.15
El Salvador,2002,23.93
El Salvador,2003,27.25
El Salvador,2004,20.77
El Salvador,2005,20.88
El Salvador,2006,17.34
El Salvador,2007,13.94
El Salvador,2008,18.58
El Salvador,2009,17.51
El Salvador,2010,18.55
El Salvador,2011,15.04
El Salvador,2012,13.61
El Salvador,2013,11.53
Estonia,1988,0.15
Estonia,1993,5.77
Estonia,1995,5
Estonia,1998,3.08
Estonia,2000,5.34
Estonia,2001,5.23
Estonia,2002,4.96
Estonia,2003,5.55
Estonia,2004,3.02
Estonia,2005,0
Estonia,2006,0
Estonia,2007,0
Estonia,2008,0
Estonia,2009,0
Estonia,2010,0
Estonia,2011,0
Estonia,2012,0
Ethiopia,1981,91.54
Ethiopia,1995,87.16
Ethiopia,1999,87.05
Ethiopia,2004,76.22
Ethiopia,2010,71.27
Europe & Central Asia (developing only),1987,8.69
Europe & Central Asia (developing only),1990,7.85
Europe & Central Asia (developing only),1993,14.32
Europe & Central Asia (developing only),1996,17.62
Europe & Central Asia (developing only),1999,19.56
Europe & Central Asia (developing only),2002,14.28
Europe & Central Asia (developing only),2005,11.61
Europe & Central Asia (developing only),2008,7.32
Europe & Central Asia (developing only),2010,7.05
Europe & Central Asia (developing only),2011,6.62
Europe & Central Asia (developing only),2012,6.24
Fiji,2002,20.18
Fiji,2008,17.04
Fragile and conflict affected situations,1981,60.06
Fragile and conflict affected situations,1984,63.07
Fragile and conflict affected situations,1987,63.37
Fragile and conflict affected situations,1990,62.6
Fragile and conflict affected situations,1993,69.37
Fragile and conflict affected situations,1996,68.99
Fragile and conflict affected situations,1999,63.29
Fragile and conflict affected situations,2002,63.35
Fragile and conflict affected situations,2005,62.08
Fragile and conflict affected situations,2008,59.67
Fragile and conflict affected situations,2010,59.06
Fragile and conflict affected situations,2011,59.57
Fragile and conflict affected situations,2012,58.63
Gabon,2005,24.43
Gambia,1998,86.92
Gambia,2003,68
Georgia,1996,15.98
Georgia,1997,34.79
Georgia,1998,33.46
Georgia,1999,39.99
Georgia,2000,42.85
Georgia,2001,44.94
Georgia,2002,37.51
Georgia,2003,39.99
Georgia,2004,37.19
Georgia,2005,36.54
Georgia,2006,36.49
Georgia,2007,37.17
Georgia,2008,35.12
Georgia,2009,35.76
Georgia,2010,38.62
Georgia,2011,36.84
Georgia,2012,34.56
Georgia,2013,28.58
Ghana,1987,87.4
Ghana,1988,86.74
Ghana,1991,75.52
Ghana,1998,60.51
Ghana,2005,49.04
Guatemala,1986,69.34
Guatemala,1989,54.7
Guatemala,1998,26.68
Guatemala,2000,22.22
Guatemala,2002,30.82
Guatemala,2003,27.35
Guatemala,2004,28.52
Guatemala,2006,23.69
Guatemala,2011,26.47
Guinea,1991,98.49
Guinea,1994,71.3
Guinea,2002,83.07
Guinea,2007,81.21
Guinea,2012,68.65
Guinea-Bissau,1991,61.08
Guinea-Bissau,1993,85.01
Guinea-Bissau,2002,80.93
Guinea-Bissau,2010,83.59
Guyana,1992,58.61
Guyana,1998,28.28
Haiti,2001,73.39
Haiti,2012,70.99
Honduras,1986,31.17
Honduras,1989,63.24
Honduras,1990,63.14
Honduras,1991,55.37
Honduras,1992,50.9
Honduras,1993,45.17
Honduras,1994,44.98
Honduras,1995,47.35
Honduras,1996,49.82
Honduras,1997,38.72
Honduras,1998,40.7
Honduras,1999,42.09
Honduras,2001,31.93
Honduras,2002,43.37
Honduras,2003,42.89
Honduras,2004,41.88
Honduras,2005,42.59
Honduras,2006,37.3
Honduras,2007,31.97
Honduras,2008,29.35
Honduras,2009,26.82
Honduras,2010,29.11
Honduras,2011,32.67
Honduras,2012,37.26
Honduras,2013,34.55
Hungary,1987,0.1
Hungary,1989,0.41
Hungary,1993,0.37
Hungary,1998,0.54
Hungary,1999,0.27
Hungary,2000,0.3
Hungary,2001,0.18
Hungary,2002,0.07
Hungary,2003,0.42
