Entity,Year,"Poverty rate (<50% of median) (LIS Key Figures, 2018)"
Australia,1981,11.285
Australia,1985,11.761
Australia,1989,12.172
Australia,1995,11.37
Australia,2001,13.01
Australia,2003,12.187
Australia,2008,14.111
Australia,2010,13.939
Austria,1987,6.652
Austria,1994,8.689
Austria,1995,10.604
Austria,1997,8.029
Austria,2000,7.736
Austria,2004,7.07
Austria,2007,9.71
Austria,2010,8.958
Austria,2013,8.778
Belgium,1985,4.461
Belgium,1988,4.56
Belgium,1992,5.142
Belgium,1995,8.739
Belgium,1997,7.976
Belgium,2000,8.078
Brazil,2006,20.489
Brazil,2009,20.194
Brazil,2011,19.749
Brazil,2013,19.038
Canada,1971,16.118
Canada,1975,13.929
Canada,1981,12.417
Canada,1987,11.362
Canada,1991,10.961
Canada,1994,11.261
Canada,1997,11.924
Canada,1998,12.944
Canada,2000,12.37
Canada,2004,12.977
Canada,2007,12.148
Canada,2010,12.548
Canada,2013,13.688
China,2002,25.015
Colombia,2004,21.264
Colombia,2007,22.282
Colombia,2010,19.59
Colombia,2013,19.592
Czech Republic,1992,2.425
Czech Republic,1996,5.148
Czech Republic,2002,4.23
Czech Republic,2004,5.831
Czech Republic,2007,5.369
Czech Republic,2010,6.316
Czech Republic,2013,5.972
Denmark,1987,10.088
Denmark,1992,7.157
Denmark,1995,5.17
Denmark,2000,5.385
Denmark,2004,5.586
Denmark,2007,6.233
Denmark,2010,6.32
Denmark,2013,5.672
Dominican Republic,2007,20.767
Egypt,2012,17.677
Estonia,2000,12.496
Estonia,2004,12.839
Estonia,2007,13.73
Estonia,2010,11.739
Estonia,2013,14.866
Finland,1987,5.143
Finland,1991,5.512
Finland,1995,4.124
Finland,2000,5.467
Finland,2004,6.617
Finland,2007,7.815
Finland,2010,7.197
Finland,2013,6.802
France,1978,10.285
France,1984,11.612
France,1989,8.936
France,1994,7.985
France,2000,7.332
France,2005,8.489
France,2010,9.124
Georgia,2010,19.481
Georgia,2013,16.893
Germany,1973,6.75
Germany,1978,6.016
Germany,1981,5.3
Germany,1983,5.833
Germany,1984,7.749
Germany,1989,5.616
Germany,1994,7.72
Germany,2000,7.63
Germany,2004,8.518
Germany,2007,8.279
Germany,2010,9.339
Germany,2013,9.165
