Entity,Year,Share of global population (%),Consumption-based CO2 emissions (% of global total),Production-based CO2 emissions (% of global total),Consumption-based CO2 per capita,Production-based CO2 per capita
Afghanistan,2015,0.459,,0.030,,0.309
Africa,2015,16.251,2.936,3.788,0.824,1.100
Albania,2015,0.039,0.020,0.017,2.423,2.041
Algeria,2015,0.542,,0.445,,3.870
Andorra,2015,0.001,,0.001,,6.153
Angola,2015,0.379,,0.101,,1.255
Anguilla,2015,0.000,,0.000,,10.266
Antigua and Barbuda,2015,0.001,,0.002,,5.504
Argentina,2015,0.590,0.604,0.599,4.824,4.791
Armenia,2015,0.040,0.019,0.016,2.287,1.920
Aruba,2015,0.001,,0.003,,8.721
Asia,2015,59.668,52.264,55.976,3.996,4.428
Australia,2015,0.323,1.136,1.159,16.574,16.905
Austria,2015,0.117,0.266,0.192,10.684,7.728
Azerbaijan,2015,0.131,0.119,0.117,4.266,4.193
Bahamas,2015,0.005,,0.007,,6.514
Bahrain,2015,0.019,0.059,0.098,15.031,24.871
Bangladesh,2015,2.192,0.297,0.229,0.640,0.494
Barbados,2015,0.004,,0.004,,4.644
Belarus,2015,0.129,0.204,0.164,7.452,6.009
Belgium,2015,0.153,0.534,0.289,16.422,8.892
Belize,2015,0.005,,0.001,,1.447
Benin,2015,0.144,0.025,0.018,0.822,0.600
Bermuda,2015,0.001,,0.002,,9.198
Bhutan,2015,0.011,,0.003,,1.334
Bolivia,2015,0.146,0.059,0.060,1.897,1.942
Bosnia and Herzegovina,2015,0.048,,0.067,,6.570
Botswana,2015,0.030,0.046,0.020,7.170,3.119
Brazil,2015,2.800,1.585,1.506,2.671,2.537
British Virgin Islands,2015,0.000,,0.001,,6.310
Brunei,2015,0.006,0.031,0.028,25.674,23.279
Bulgaria,2015,0.098,0.126,0.139,6.089,6.728
Burkina Faso,2015,0.246,0.012,0.008,0.239,0.158
Burundi,2015,0.139,,0.001,,0.043
Cambodia,2015,0.211,0.042,0.020,0.949,0.458
Cameroon,2015,0.310,0.034,0.021,0.512,0.318
Canada,2015,0.487,1.684,1.637,16.300,15.847
Cape Verde,2015,0.007,,0.001,,0.919
Cayman Islands,2015,0.001,,0.002,,9.506
Central African Republic,2015,0.062,,0.001,,0.066
Chad,2015,0.190,,0.002,,0.052
Chile,2015,0.241,0.272,0.239,5.315,4.661
China,2015,18.643,24.184,29.252,6.120,7.403
Colombia,2015,0.656,0.293,0.248,2.111,1.783
Comoros,2015,0.011,,0.000,,0.193
Congo,2015,0.068,,0.009,,0.639
Cook Islands,2015,0.000,,0.000,,4.012
Costa Rica,2015,0.065,0.037,0.023,2.671,1.674
Cote d'Ivoire,2015,0.314,0.051,0.034,0.759,0.511
Croatia,2015,0.057,0.061,0.052,4.998,4.263
Cuba,2015,0.156,,0.104,,3.158
Curacao,2015,0.002,,0.018,,38.803
Cyprus,2015,0.016,0.023,0.020,6.960,5.909
Czech Republic,2015,0.143,0.297,0.299,9.765,9.840
Democratic Republic of Congo,2015,1.036,,0.014,,0.062
Denmark,2015,0.077,0.156,0.103,9.552,6.276
Djibouti,2015,0.013,,0.002,,0.787
Dominica,2015,0.001,,0.000,,1.914
Dominican Republic,2015,0.143,0.071,0.064,2.348,2.104
Ecuador,2015,0.219,0.148,0.123,3.182,2.641
Egypt,2015,1.275,0.565,0.597,2.089,2.209
El Salvador,2015,0.086,0.026,0.019,1.440,1.034
Equatorial Guinea,2015,0.016,,0.017,,5.062
Eritrea,2015,0.066,,0.002,,0.144
Estonia,2015,0.018,0.049,0.046,12.871,12.080
Ethiopia,2015,1.358,0.053,0.033,0.184,0.116
Europe,2015,10.148,18.370,16.234,8.259,7.552
Faeroe Islands,2015,0.001,,0.002,,12.662
Falkland Islands,2015,0.000,,0.000,,20.704
Fiji,2015,0.012,,0.004,,1.401
Finland,2015,0.074,0.199,0.128,12.598,8.099
France,2015,0.906,1.321,0.970,6.879,5.053
French Guiana,2015,0.000,,0.002,,364.159
French Polynesia,2015,0.004,,0.002,,3.097
Gabon,2015,0.026,,0.015,,2.761
Gambia,2015,0.027,,0.001,,0.258
Georgia,2015,0.051,0.035,0.026,3.231,2.467
Germany,2015,1.111,2.600,2.283,11.046,9.696
Ghana,2015,0.375,0.058,0.043,0.724,0.536
Gibraltar,2015,0.000,,0.002,,16.069
Greece,2015,0.147,0.193,0.216,6.174,6.927
Greenland,2015,0.001,,0.002,,9.445
Grenada,2015,0.001,,0.001,,2.340
Guadeloupe,2015,0.004,,0.008,,8.958
