Entity,Year,Population density,CO2 emissions per capita,Transport emissions per capita (tCO2),Waste emissions per capita
Accra,2016,14597,1.16,0.35,0.50
Amman,2016,4240,2.19,0.67,0.12
Amsterdam,2016,4991,5.84,1.37,0.02
Athens,2016,17027,7.61,1.58,0.49
Auckland,2016,322,4.94,2.62,0.24
Austin,2016,468,10.45,4.10,0.45
Bangkok,2016,5428,5.91,2.95,0.48
Barcelona,2016,15708,1.76,0.64,0.04
Basel,2016,5306,4.21,0.86,0.03
Boston,2016,5356,9.60,2.35,0.03
Buenos Aires,2016,15117,4.32,1.21,0.61
Cape Town,2016,1634,5.29,1.40,0.62
Chennai,2016,15662,2.90,0.77,0.34
Chicago,2016,4615,12.00,2.96,0.41
Ciudad de Mexico,2016,5976,3.48,1.76,0.61
Copenhagen,2016,6860,2.56,0.96,0.04
Curitiba,2016,4250,2.47,1.60,0.51
Dubai,2016,654,17.94,3.94,1.92
Durban,2016,1502,6.59,1.87,0.10
Heidelberg,2016,1436,6.19,1.70,0.01
Hong Kong,2016,6585,5.45,1.10,0.33
Houston,2016,1442,14.92,7.21,0.37
Istanbul,2016,2759,3.24,0.91,0.18
Johannesburg,2016,2892,5.19,1.51,0.36
Lagos,2016,7506,1.40,0.25,0.46
Lima,2016,3361,1.78,0.71,0.35
London,2016,5277,4.73,0.87,0.22
Los Angeles,2016,3200,6.87,1.47,0.38
Madrid,2016,5185,3.16,1.04,0.13
Medellin,2016,65,1.39,0.60,0.30
Melbourne,2016,3242,37.66,5.76,1.51
Milan,2016,7395,4.43,0.65,0.01
Montreal,2016,3927,5.20,2.38,0.23
New Orleans,2016,878,9.38,4.16,0.54
New York City,2016,10833,6.04,1.39,0.32
Oslo,2016,1374,2.15,1.25,0.09
Paris,2016,21619,2.42,0.31,0.20
Philadelphia,2016,4456,11.21,2.07,0.41
Portland,2016,635,10.06,3.69,0.14
Quito,2016,605,2.26,1.18,0.30
Salvador,2016,4162,1.33,0.95,0.09
San Francisco,2016,7197,5.87,2.78,0.34
Seoul,2016,17170,4.64,0.92,0.27
Stockholm,2016,4912,1.95,0.94,0.01
Sydney,2016,8066,17.94,0.92,1.85
Tokyo,2016,6071,4.97,0.89,0.13
Toronto,2016,4333,7.22,2.34,1.38
Tshwane,2016,483,9.02,1.48,3.53
Vancouver,2016,5423,4.01,1.74,0.16
Venice,2016,632,11.85,2.80,0.12
Warsaw,2016,3356,5.83,1.11,0.02
"Washington, DC",2016,4255,11.69,2.68,0.45
Yokohama,2016,8574,5.62,0.94,0.66
