Entity,Year,Reported Smallpox cases (WHO),"World Region (World Bank, 2017)"
Afghanistan,1920,,South Asia
Afghanistan,1921,,South Asia
Afghanistan,1922,,South Asia
Afghanistan,1923,,South Asia
Afghanistan,1924,,South Asia
Afghanistan,1925,,South Asia
Afghanistan,1926,,South Asia
Afghanistan,1927,,South Asia
Afghanistan,1928,,South Asia
Afghanistan,1929,,South Asia
Afghanistan,1930,,South Asia
Afghanistan,1931,,South Asia
Afghanistan,1932,,South Asia
Afghanistan,1933,,South Asia
Afghanistan,1934,,South Asia
Afghanistan,1935,,South Asia
Afghanistan,1936,,South Asia
Afghanistan,1937,,South Asia
Afghanistan,1938,,South Asia
Afghanistan,1939,,South Asia
Afghanistan,1940,,South Asia
Afghanistan,1941,,South Asia
Afghanistan,1942,,South Asia
Afghanistan,1943,,South Asia
Afghanistan,1944,,South Asia
Afghanistan,1945,,South Asia
Afghanistan,1946,,South Asia
Afghanistan,1947,,South Asia
Afghanistan,1948,,South Asia
Afghanistan,1949,393,South Asia
Afghanistan,1950,612,South Asia
Afghanistan,1951,1299,South Asia
Afghanistan,1952,2179,South Asia
Afghanistan,1953,1813,South Asia
Afghanistan,1954,1767,South Asia
Afghanistan,1955,1411,South Asia
Afghanistan,1956,1002,South Asia
Afghanistan,1957,226,South Asia
Afghanistan,1958,306,South Asia
Afghanistan,1959,442,South Asia
Afghanistan,1960,109,South Asia
Afghanistan,1961,178,South Asia
Afghanistan,1962,288,South Asia
Afghanistan,1963,577,South Asia
Afghanistan,1964,178,South Asia
Afghanistan,1965,72,South Asia
Afghanistan,1966,66,South Asia
Afghanistan,1967,211,South Asia
Afghanistan,1968,739,South Asia
Afghanistan,1969,204,South Asia
Afghanistan,1970,1044,South Asia
Afghanistan,1971,736,South Asia
Afghanistan,1972,236,South Asia
Afghanistan,1973,25,South Asia
Afghanistan,1974,0,South Asia
Afghanistan,1975,0,South Asia
Afghanistan,1976,0,South Asia
Afghanistan,1977,0,South Asia
Africa,1967,15263,
Africa,1968,10951,
Africa,1969,3392,
Africa,1970,3161,
Africa,1971,27262,
Africa,1972,18902,
Africa,1973,5441,
Africa,1974,4436,
Africa,1975,3894,
Africa,1976,954,
Africa,1977,3234,
Algeria,1920,1172,Middle East and North Africa
Algeria,1921,755,Middle East and North Africa
Algeria,1922,184,Middle East and North Africa
Algeria,1923,141,Middle East and North Africa
Algeria,1924,483,Middle East and North Africa
Algeria,1925,1747,Middle East and North Africa
Algeria,1926,2473,Middle East and North Africa
Algeria,1927,4336,Middle East and North Africa
Algeria,1928,383,Middle East and North Africa
Algeria,1929,191,Middle East and North Africa
Algeria,1930,30,Middle East and North Africa
Algeria,1931,21,Middle East and North Africa
Algeria,1932,17,Middle East and North Africa
Algeria,1933,14,Middle East and North Africa
Algeria,1934,19,Middle East and North Africa
Algeria,1935,19,Middle East and North Africa
Algeria,1936,101,Middle East and North Africa
Algeria,1937,15,Middle East and North Africa
Algeria,1938,13,Middle East and North Africa
Algeria,1939,6,Middle East and North Africa
Algeria,1940,11,Middle East and North Africa
Algeria,1941,1029,Middle East and North Africa
Algeria,1942,1164,Middle East and North Africa
Algeria,1943,1655,Middle East and North Africa
Algeria,1944,1188,Middle East and North Africa
Algeria,1945,334,Middle East and North Africa
Algeria,1946,565,Middle East and North Africa
Algeria,1947,533,Middle East and North Africa
Algeria,1948,422,Middle East and North Africa
