Entity,Year,HIV/AIDS,Child health,Maternal health,Malaria,Tuberculosis,Other infectious diseases,Non-communicable diseases,General health sector support,Other,Unallocable
Global,1990,340,952,1800,64,30,130,134,1400,2400,257
Global,1991,477,952,1700,80,81,224,99,1200,2200,13.4
Global,1992,531,1100,1800,36,35,202,155,1700,2400,33.1
Global,1993,447,1100,1600,51,66,156,204,1700,2600,278
Global,1994,779,1500,2300,71,99,163,224,1700,2500,252
Global,1995,769,1400,2400,62,72,247,142,1900,2700,247
Global,1996,737,1400,1800,66,98,238,131,2100,2900,171
Global,1997,673,1300,1800,70,63,267,132,2000,3100,303
Global,1998,720,1300,2000,83,87,619,146,2300,3100,61
Global,1999,826,1800,2200,113,93,521,149,2200,2800,388
Global,2000,1300,2000,2500,172,136,813,192,2300,2300,360
Global,2001,1500,2400,2300,188,157,811,218,2100,2600,334
Global,2002,2200,2400,1900,194,213,599,193,2000,3100,1500
Global,2003,2900,3000,1900,297,301,891,196,3100,3300,670
Global,2004,4000,2800,1500,506,487,935,181,3200,3900,1300
Global,2005,5000,3200,2000,790,496,673,247,3500,4400,808
Global,2006,6400,3100,2000,953,652,749,291,2800,4700,1300
Global,2007,7800,4200,2400,946,856,851,306,3200,3800,2000
Global,2008,9500,4100,3000,1500,1000,1200,383,3300,4300,2200
Global,2009,9700,4400,3400,2100,1100,1200,434,3700,4000,1200
Global,2010,11200,5200,3600,2400,1400,1200,503,4800,3800,810
Global,2011,11600,5400,3900,2100,1400,1400,548,4700,4400,1200
Global,2012,12000,6700,4300,2400,1300,1200,580,3800,4000,846
Global,2013,11700,7800,4400,2300,1600,1300,807,4400,4800,1100
Global,2014,10500,6900,4000,2300,1200,2100,643,4300,4200,723
Global,2015,8700,8200,4100,2200,1200,2400,675,3700,4100,963
Global,2016,9600,7600,3800,2400,1500,1800,830,4000,4300,1600
Global,2017,9100,7700,3900,2700,1700,1700,825,4200,4300,1300
