Entity,Year,Total Overdose Deaths (CDC WONDER (2017)),Prescription Drugs (CDC WONDER (2017)),Opioid Pain Relievers (CDC WONDER (2017)),Benzodiazepines (CDC WONDER (2017)),Illicit Drugs (CDC WONDER (2017)),Cocaine (CDC WONDER (2017)),Heroin (CDC WONDER (2017)),Any Opioids (CDC WONDER (2017)),Opioid Pain Relievers other than synthetic opioids (CDC WONDER (2017)),Synthetic Opioids other than Methadone (CDC WONDER (2017)),Illicit Opioids (Heroin and Synthetic Opioids other than Methadone) (CDC WONDER (2017))
United States,1999,6.178788185,2.758800268,1.477863193,0.416222006,2.064607859,1.401586413,0.718762219,2.951325655,2.258233547,0.267702252,0.980963767
United States,2000,6.17197752,2.794490099,1.559385657,0.460018784,1.881540537,1.256014228,0.652815521,2.979489803,2.290170431,0.277145356,0.9235816
United States,2001,6.805653572,3.22736907,1.939860344,0.559359193,1.94968605,1.345058799,0.624278545,3.330888987,2.592913866,0.335826039,0.954840839
United States,2002,8.176613808,4.008341789,2.592262506,0.702998221,2.377399683,1.598955989,0.726292431,4.143239498,3.250410795,0.450238734,1.171316028
United States,2003,8.88807106,4.35699892,2.93580389,0.774883986,2.637983561,1.792091608,0.716974497,4.460063934,3.538682938,0.482579023,1.194038391
United States,2004,9.365950584,4.83358717,3.366400719,0.89718318,2.70179534,1.858914375,0.6413818,4.697660446,3.756762505,0.568295717,1.205237746
United States,2005,10.08843422,5.194970131,3.697930813,1.043596148,3.019458055,2.100728035,0.679826438,5.0477705,4.083695889,0.589476168,1.25779736
United States,2006,11.53730488,6.219923019,4.599170208,1.285274267,3.364502668,2.496146679,0.699779034,5.880087852,4.688318253,0.907232702,1.569140553
United States,2007,11.95427322,6.506962299,4.783037186,1.493869185,3.126502275,2.161794662,0.796398222,6.14644146,4.994834423,0.734651685,1.526734233
United States,2008,11.98642731,6.591383934,4.866917133,1.647517204,2.832019567,1.686649799,1.000019908,6.439457417,5.116839886,0.758318245,1.749130487
United States,2009,12.062397,6.795937061,5.08423996,1.81470561,2.753189087,1.417993426,1.068547726,6.65707159,5.150413036,0.960323811,2.01941824
United States,2010,12.39024544,7.155044079,5.382607937,2.100222349,2.717972994,1.352198005,0.981418371,6.816914082,5.383900642,0.972043812,1.938915491
United States,2011,13.26431179,7.31879425,5.42797184,2.20494318,3.299714088,1.501941085,1.410817146,7.310451984,5.631717682,0.855410159,2.252109528
United States,2012,13.21726608,7.042711735,5.097797394,2.077717781,3.707344055,1.402555108,1.886952519,7.377108574,5.303212166,0.836947024,2.701924801
United States,2013,13.90933514,7.200078487,5.134329319,2.205215693,4.67260313,1.5635432,2.611281633,7.922078609,5.200109005,0.98195821,3.527143478
United States,2014,14.77099705,8.08630085,5.930686474,2.494008541,5.482424259,1.699818373,3.319275856,8.992556572,5.317935944,1.740312576,4.737203598
United States,2015,16.33049393,9.264042854,7.042143822,2.739511728,6.800632954,2.114076614,4.047721386,10.31204414,5.464688301,2.98538518,6.196388245
