Entity,Year,Government Education Expenditure 1960-2010 (Szirmai (2015))
Argentina,1960,2
Argentina,1965,3
Argentina,1970,2.5
Argentina,1980,2.7
Argentina,1990,3.4
Argentina,2000,4.5976
Argentina,2010,6.02585
Bangladesh,1965,1.3
Bangladesh,1980,1.1
Bangladesh,1990,1.5
Bangladesh,2000,2.38442
Bangladesh,2010,2.23384
Brazil,1960,2.3
Brazil,1965,1.1
Brazil,1970,2.9
Brazil,1980,3.6
Brazil,1990,4.5
Brazil,2000,4.01458
Brazil,2010,5.62147
Chile,1960,2.7
Chile,1965,2.7
Chile,1970,5.1
Chile,1980,4.6
Chile,1990,2.7
Chile,2000,3.90889
Chile,2010,4.20497
China,1970,1.3
China,1980,2.5
China,1990,2.3
China,2000,1.90672
China,2010,...
Colombia,1960,1.8
Colombia,1965,2.3
Colombia,1970,1.9
Colombia,1980,2.4
Colombia,1990,2.6
Colombia,2000,3.49494
Colombia,2010,4.79668
Cote d'Ivoire,1960,4.2
Cote d'Ivoire,1965,5.4
Cote d'Ivoire,1970,5.3
Cote d'Ivoire,1980,7.2
Cote d'Ivoire,1990,7.7
Cote d'Ivoire,2000,3.81032
Cote d'Ivoire,2010,4.60299
Democratic Republic of Congo,1980,2.6
Democratic Republic of Congo,1990,0.81484
Democratic Republic of Congo,2000,...
Democratic Republic of Congo,2010,2.50865
Egypt,1960,4.9
Egypt,1965,4.6
Egypt,1970,4.8
Egypt,1980,5.7
Egypt,1990,3.8
Egypt,2000,4.05
Egypt,2010,3.76083
Ethiopia,1980,2.12855
Ethiopia,1990,2.37225
Ethiopia,2000,3.9189
Ethiopia,2010,4.68683
Ghana,1960,3.4
Ghana,1965,4.1
Ghana,1970,4.3
Ghana,1980,3.1
Ghana,1990,3.3
Ghana,2000,4.732405
Ghana,2010,5.54053
High-income countries,1965,5.2
High-income countries,1970,5.6
High-income countries,1980,5.1
High-income countries,1990,5
High-income countries,2000,4.957215
High-income countries,2010,5.585945
India,1960,2.3
India,1965,2.6
India,1970,2.6
India,1980,3
India,1990,3.9
India,2000,4.27335
India,2010,3.33012
Indonesia,1970,2.6
Indonesia,1980,1.7
Indonesia,1990,1
Indonesia,2000,2.46003
Indonesia,2010,2.99923
Iran,1970,2.87191
Iran,1980,6.00605
Iran,1990,3.98886
Iran,2000,4.38467
Iran,2010,4.66592
Kenya,1965,4.6
Kenya,1970,5
Kenya,1980,6.8
Kenya,1990,7.1
Kenya,2000,5.18673
Kenya,2010,6.66842
Malaysia,1970,4.2
Malaysia,1980,6
Malaysia,1990,5.5
Malaysia,2000,5.97161
Malaysia,2010,6.26342
Mexico,1960,1.3
Mexico,1965,1.9
Mexico,1970,2.3
Mexico,1980,4.7
Mexico,1990,3.7
Mexico,2000,4.86093
Mexico,2010,5.29197
Morocco,1970,3.5
Morocco,1980,6.1
Morocco,1990,5.5
Morocco,2000,5.76051
Morocco,2010,5.3758
Nigeria,1965,2.3
Nigeria,1970,3.2
Nigeria,1980,3.6
Nigeria,1990,1
Nigeria,2000,0.7
Nigeria,2010,...
Pakistan,1960,0.9
Pakistan,1965,1.5
Pakistan,1970,1.7
Pakistan,1980,2.1
Pakistan,1990,2.7
Pakistan,2000,1.83782
Pakistan,2010,2.37237
Peru,1965,5
Peru,1970,3.3
Peru,1980,3.1
Peru,1990,2.3
Peru,2000,3.14056
Peru,2010,2.74889
Philippines,1960,2.6
Philippines,1965,2.7
Philippines,1970,2.8
Philippines,1980,1.7
Philippines,1990,2.9
Philippines,2000,3.26766
Philippines,2010,2.65295
South Africa,1990,6.5
South Africa,2000,5.58454
South Africa,2010,5.98304
South Korea,1960,3.2
South Korea,1965,1.8
South Korea,1970,3.4
South Korea,1980,3.7
South Korea,1990,3.5
South Korea,2000,3.94041
South Korea,2010,5.04985
Sri Lanka,1970,4
Sri Lanka,1980,2.7
Sri Lanka,1990,2.7
Sri Lanka,2000,3.05142
Sri Lanka,2010,2.0559
Taiwan,1990,4.69845214
Taiwan,2000,3.7
Taiwan,2010,3.8
Tanzania,1990,3.4
Tanzania,2000,2.13
Tanzania,2010,6.1812
Thailand,1960,2.5
Thailand,1965,3.1
Thailand,1970,3.2
Thailand,1980,3.4
Thailand,1990,3.6
Thailand,2000,5.41043
Thailand,2010,3.75264
Turkey,1960,2.4
Turkey,1965,3.5
Turkey,1970,2.1
Turkey,1980,2.2
Turkey,1990,2.1
Turkey,2000,2.58992
Turkey,2010,2.86247
Venezuela,1965,3.9
Venezuela,1970,4.1
Venezuela,1980,4.4
Venezuela,1990,3.1
Venezuela,2000,...
Venezuela,2010,3.62732
Zambia,1960,1.8
Zambia,1965,6
Zambia,1970,4.5
Zambia,1980,4.5
Zambia,1990,2.6
Zambia,2000,1.98866
Zambia,2010,1.34536
