Entity,Year,Annual Work Hours (The Conference Board Total Economy Database (2016))
Trinidad and Tobago,2001,1668.04
Trinidad and Tobago,2002,1634.8
Trinidad and Tobago,2003,1649.77
Trinidad and Tobago,2004,1638.36
Trinidad and Tobago,2005,1635.2
Trinidad and Tobago,2006,1636.97
Trinidad and Tobago,2007,1640.84
Trinidad and Tobago,2008,1650.67
Trinidad and Tobago,2009,1603.19
Trinidad and Tobago,2010,1600.36
Trinidad and Tobago,2011,1606.45
Trinidad and Tobago,2012,1584.6
Trinidad and Tobago,2013,1573.1
Trinidad and Tobago,2014,1566.3
Trinidad and Tobago,2015,1566.3
Trinidad and Tobago,2016,1566.3
Turkey,1950,2322.15
Turkey,1951,2311.15
Turkey,1952,2300.21
Turkey,1953,2289.31
Turkey,1954,2278.47
Turkey,1955,2267.67
Turkey,1956,2256.93
Turkey,1957,2246.24
Turkey,1958,2235.6
Turkey,1959,2225.01
Turkey,1960,2214.47
Turkey,1961,2204.63
Turkey,1962,2194.83
Turkey,1963,2185.08
Turkey,1964,2175.36
Turkey,1965,2165.7
Turkey,1966,2156.07
Turkey,1967,2146.49
Turkey,1968,2136.95
Turkey,1969,2127.45
Turkey,1970,2086
Turkey,1971,2077
Turkey,1972,2069
Turkey,1973,2060
Turkey,1974,2044
Turkey,1975,2028
Turkey,1976,2012
Turkey,1977,1996
Turkey,1978,1980
Turkey,1979,1964
Turkey,1980,1957
Turkey,1981,1950
Turkey,1982,1943
Turkey,1983,1935
Turkey,1984,1871
Turkey,1985,1898
Turkey,1986,1883
Turkey,1987,1844
Turkey,1988,1837
Turkey,1989,1867
Turkey,1990,1866
Turkey,1991,1870
Turkey,1992,1897
Turkey,1993,1917
Turkey,1994,1886
Turkey,1995,1876
Turkey,1996,1892
Turkey,1997,1878
Turkey,1998,1884
Turkey,1999,1925
Turkey,2000,1937
Turkey,2001,1942
Turkey,2002,1943
Turkey,2003,1943
Turkey,2004,1918
Turkey,2005,1936
Turkey,2006,1944
Turkey,2007,1911
Turkey,2008,1900
Turkey,2009,1881
Turkey,2010,1877
Turkey,2011,1864
Turkey,2012,1855
Turkey,2013,1832
Turkey,2014,1832
Turkey,2015,1832
Turkey,2016,1832
United Kingdom,1950,2010.82
United Kingdom,1951,2028.87
United Kingdom,1952,2012.94
United Kingdom,1953,2018
United Kingdom,1954,2030.81
United Kingdom,1955,2052.96
United Kingdom,1956,2039.87
United Kingdom,1957,2029.13
United Kingdom,1958,2006.42
United Kingdom,1959,2030.54
United Kingdom,1960,2032.33
United Kingdom,1961,2000.04
United Kingdom,1962,1984.03
United Kingdom,1963,1993.38
United Kingdom,1964,1995.32
United Kingdom,1965,1967.62
United Kingdom,1966,1938.85
United Kingdom,1967,1922.12
United Kingdom,1968,1913.82
United Kingdom,1969,1910.12
United Kingdom,1970,1873.36
United Kingdom,1971,1836.87
United Kingdom,1972,1858.19
United Kingdom,1973,1867.09
United Kingdom,1974,1852.1
United Kingdom,1975,1820.77
United Kingdom,1976,1813.67
United Kingdom,1977,1823.61
United Kingdom,1978,1824.7
United Kingdom,1979,1822.19
United Kingdom,1980,1791.98
United Kingdom,1981,1767.38
United Kingdom,1982,1761
United Kingdom,1983,1745.61
United Kingdom,1984,1750.03
United Kingdom,1985,1756.14
United Kingdom,1986,1755.89
United Kingdom,1987,1755.91
United Kingdom,1988,1758.26
United Kingdom,1989,1757.98
United Kingdom,1990,1745.3
United Kingdom,1991,1724.44
United Kingdom,1992,1715.57
United Kingdom,1993,1708.52
United Kingdom,1994,1718.94
United Kingdom,1995,1722.93
United Kingdom,1996,1722.34
United Kingdom,1997,1721.37
United Kingdom,1998,1717.06
United Kingdom,1999,1708.66
United Kingdom,2000,1692.92
United Kingdom,2001,1695.98
United Kingdom,2002,1678.55
United Kingdom,2003,1669.28
United Kingdom,2004,1666.54
United Kingdom,2005,1669.55
United Kingdom,2006,1663.8
United Kingdom,2007,1665.76
United Kingdom,2008,1660.5
United Kingdom,2009,1638.44
United Kingdom,2010,1643.29
United Kingdom,2011,1641.44
United Kingdom,2012,1654.25
United Kingdom,2013,1664.89
United Kingdom,2014,1671.09
United Kingdom,2015,1668.08
United Kingdom,2016,1679.76
United States,1950,1983.74
United States,1951,2024
United States,1952,2020.18
United States,1953,2014.5
United States,1954,1991.02
United States,1955,1997.76
United States,1956,1984.02
United States,1957,1956.49
United States,1958,1923.12
United States,1959,1948.32
United States,1960,1930.1
United States,1961,1915.4
United States,1962,1934.79
United States,1963,1923.17
United States,1964,1929.15
United States,1965,1948.84
United States,1966,1957.36
United States,1967,1934.91
United States,1968,1931.21
United States,1969,1931.61
United States,1970,1887.81
United States,1971,1872.29
United States,1972,1870.19
United States,1973,1868.96
United States,1974,1841.6
United States,1975,1809.8
United States,1976,1805.5
United States,1977,1805.93
United States,1978,1814.33
United States,1979,1813.01
United States,1980,1799.01
United States,1981,1782.32
United States,1982,1769.15
United States,1983,1777.7
United States,1984,1794.66
United States,1985,1799.26
United States,1986,1780.23
United States,1987,1782.98
United States,1988,1797.44
United States,1989,1810.96
United States,1990,1793.35
United States,1991,1782.96
United States,1992,1773.42
United States,1993,1789.79
United States,1994,1805.17
United States,1995,1822.3
United States,1996,1818.68
United States,1997,1830.83
United States,1998,1842.74
United States,1999,1849.37
United States,2000,1848.21
United States,2001,1823.89
United States,2002,1805.73
United States,2003,1782.66
United States,2004,1783.81
United States,2005,1780.07
United States,2006,1779.08
United States,2007,1772.53
United States,2008,1761.99
United States,2009,1729.46
United States,2010,1738.79
United States,2011,1756.26
United States,2012,1754.41
United States,2013,1758.61
United States,2014,1763.76
United States,2015,1770.39
United States,2016,1774.69
Uruguay,1990,1788
Uruguay,1991,1781.5
Uruguay,1992,1775.03
Uruguay,1993,1768.57
Uruguay,1994,1762.15
Uruguay,1995,1755.74
Uruguay,1996,1749.36
Uruguay,1997,1743
Uruguay,1998,1732.47
Uruguay,1999,1722
Uruguay,2000,1698.82
Uruguay,2001,1680.21
Uruguay,2002,1645.2
Uruguay,2003,1660.27
Uruguay,2004,1648.79
Uruguay,2005,1645.61
Uruguay,2006,1647.39
Uruguay,2007,1651.28
Uruguay,2008,1661.18
Uruguay,2009,1613.4
Uruguay,2010,1610.55
Uruguay,2011,1616.67
Uruguay,2012,1594.69
Uruguay,2013,1583.11
Uruguay,2014,1576.27
Uruguay,2015,1576.27
Uruguay,2016,1576.27
USSR,1950,1947
USSR,1951,1939.94
USSR,1952,1932.91
USSR,1953,1925.91
USSR,1954,1918.93
USSR,1955,1911.97
USSR,1956,1905.04
USSR,1957,1898.14
USSR,1958,1891.26
USSR,1959,1884.4
USSR,1960,1877.57
USSR,1961,1870.77
USSR,1962,1863.98
USSR,1963,1857.23
USSR,1964,1850.5
USSR,1965,1843.79
USSR,1966,1837.11
USSR,1967,1830.45
USSR,1968,1823.81
USSR,1969,1817.2
USSR,1970,1810.62
USSR,1971,1804.05
USSR,1972,1797.52
USSR,1973,1791
USSR,1974,1786.09
USSR,1975,1781.2
USSR,1976,1776.31
USSR,1977,1771.45
USSR,1978,1766.59
USSR,1979,1761.75
USSR,1980,1756.92
USSR,1981,1752.11
USSR,1982,1747.3
USSR,1983,1742.51
USSR,1984,1737.74
USSR,1985,1732.98
USSR,1986,1728.23
USSR,1987,1723.49
USSR,1988,1718.77
USSR,1989,1714.05
USSR,1990,1709.36
USSR,1991,1704.67
USSR,1992,1700
Venezuela,1950,2179
Venezuela,1951,2162.98
Venezuela,1952,2147.08
Venezuela,1953,2131.29
Venezuela,1954,2115.62
Venezuela,1955,2100.07
Venezuela,1956,2084.63
Venezuela,1957,2069.31
Venezuela,1958,2054.09
Venezuela,1959,2038.99
Venezuela,1960,2024
Venezuela,1961,2016.58
Venezuela,1962,2009.18
Venezuela,1963,2001.82
Venezuela,1964,1994.48
Venezuela,1965,1987.16
Venezuela,1966,1979.88
Venezuela,1967,1972.62
Venezuela,1968,1965.39
Venezuela,1969,1958.18
Venezuela,1970,1951
Venezuela,1971,1955.66
Venezuela,1972,1960.32
Venezuela,1973,1965
Venezuela,1974,1969.54
Venezuela,1975,1974.09
Venezuela,1976,1978.65
Venezuela,1977,1983.22
Venezuela,1978,1987.8
Venezuela,1979,1992.4
Venezuela,1980,1997
Venezuela,1981,1985.98
Venezuela,1982,1975.03
Venezuela,1983,1964.13
Venezuela,1984,1953.29
Venezuela,1985,1942.52
Venezuela,1986,1931.8
Venezuela,1987,1921.14
Venezuela,1988,1910.54
Venezuela,1989,1900
Venezuela,1990,1889
Venezuela,1991,1878.47
Venezuela,1992,1868
Venezuela,1993,1888.88
Venezuela,1994,1910
Venezuela,1995,1915.23
Venezuela,1996,1920.47
Venezuela,1997,1925.73
Venezuela,1998,1931
Venezuela,1999,1942.23
Venezuela,2000,1916.08
Venezuela,2001,1895.1
Venezuela,2002,1855.61
Venezuela,2003,1872.6
Venezuela,2004,1859.65
Venezuela,2005,1856.06
Venezuela,2006,1858.07
Venezuela,2007,1862.46
Venezuela,2008,1873.62
Venezuela,2009,1819.73
Venezuela,2010,1816.52
Venezuela,2011,1823.42
Venezuela,2012,1798.63
Venezuela,2013,1785.57
Venezuela,2014,1777.85
Venezuela,2015,1777.85
Venezuela,2016,1777.85
Vietnam,1970,2447.67
Vietnam,1971,2447.67
Vietnam,1972,2447.67
Vietnam,1973,2447.67
Vietnam,1974,2447.67
Vietnam,1975,2447.67
Vietnam,1976,2447.67
Vietnam,1977,2447.67
Vietnam,1978,2447.67
Vietnam,1979,2447.67
Vietnam,1980,2447.67
Vietnam,1981,2447.67
Vietnam,1982,2447.67
Vietnam,1983,2447.67
Vietnam,1984,2447.67
Vietnam,1985,2447.67
Vietnam,1986,2448.05
Vietnam,1987,2448.58
Vietnam,1988,2449.24
Vietnam,1989,2449.91
Vietnam,1990,2450.63
Vietnam,1991,2451.61
Vietnam,1992,2452.32
Vietnam,1993,2452.67
Vietnam,1994,2452.94
Vietnam,1995,2536.3
Vietnam,1996,2497.19
Vietnam,1997,2475.56
Vietnam,1998,2373.93
Vietnam,1999,2407.09
Vietnam,2000,2372.06
Vietnam,2001,2336.25
Vietnam,2002,2283.97
Vietnam,2003,2265.36
Vietnam,2004,2247.05
Vietnam,2005,2231.59
Vietnam,2006,2246.4
Vietnam,2007,2295.14
Vietnam,2008,2360.43
Vietnam,2009,2375.49
Vietnam,2010,2375.29
Vietnam,2011,2343.38
Vietnam,2012,2346.89
Vietnam,2013,2339.95
Vietnam,2014,2339.95
Vietnam,2015,2339.95
Vietnam,2016,2339.95
West Germany,1950,2420.37
West Germany,1951,2394.61
West Germany,1952,2369.13
West Germany,1953,2343.91
West Germany,1954,2318.97
West Germany,1955,2294.29
West Germany,1956,2269.87
West Germany,1957,2245.72
West Germany,1958,2221.82
West Germany,1959,2198.17
West Germany,1960,2174.78
West Germany,1961,2148.24
West Germany,1962,2111.24
West Germany,1963,2080.88
West Germany,1964,2092.34
West Germany,1965,2078.17
West Germany,1966,2051.93
West Germany,1967,2014.33
West Germany,1968,2001.87
West Germany,1969,1982.16
West Germany,1970,1966.78
West Germany,1971,1934.91
West Germany,1972,1909.88
West Germany,1973,1879.42
West Germany,1974,1846.24
West Germany,1975,1806.63
West Germany,1976,1819
West Germany,1977,1801
West Germany,1978,1782
West Germany,1979,1770
West Germany,1980,1751
West Germany,1981,1729
West Germany,1982,1718
West Germany,1983,1705
West Germany,1984,1694
West Germany,1985,1671
West Germany,1986,1652
West Germany,1987,1629
West Germany,1988,1624
West Germany,1989,1601
West Germany,1990,1578
West Germany,1991,1549
West Germany,1992,1537
West Germany,1993,1515
West Germany,1994,1516
West Germany,1995,1503
West Germany,1996,1487
West Germany,1997,1482
West Germany,1998,1478
