Entity,Year,Global Hunger Index (2021)
Afghanistan,2000,50.9
Afghanistan,2006,42.7
Afghanistan,2012,34.3
Afghanistan,2021,28.3
Albania,2000,20.7
Albania,2006,15.9
Albania,2012,8.8
Albania,2021,6.2
Algeria,2000,14.5
Algeria,2006,11.7
Algeria,2012,8.9
Algeria,2021,6.9
Angola,2000,65.0
Angola,2006,46.9
Angola,2012,27.8
Angola,2021,26.0
Argentina,2000,6.4
Argentina,2006,5.6
Argentina,2012,5.2
Argentina,2021,5.3
Armenia,2000,19.3
Armenia,2006,13.3
Armenia,2012,10.4
Armenia,2021,7.2
Azerbaijan,2000,25.0
Azerbaijan,2006,15.9
Azerbaijan,2012,10.6
Azerbaijan,2021,7.5
Bangladesh,2000,34.0
Bangladesh,2006,28.9
Bangladesh,2012,28.6
Bangladesh,2021,19.1
Belarus,2000,2.5
Belarus,2006,2.5
Belarus,2012,2.5
Belarus,2021,2.5
Benin,2000,34.0
Benin,2006,27.7
Benin,2012,24.0
Benin,2021,22.2
Bolivia,2000,27.7
Bolivia,2006,23.3
Bolivia,2012,15.6
Bolivia,2021,12.7
Bosnia and Herzegovina,2000,9.3
Bosnia and Herzegovina,2006,6.7
Bosnia and Herzegovina,2012,2.5
Bosnia and Herzegovina,2021,2.5
Botswana,2000,26.7
Botswana,2006,26.2
Botswana,2012,24.3
Botswana,2021,23.2
Brazil,2000,11.5
Brazil,2006,7.4
Brazil,2012,5.5
Brazil,2021,2.5
Bulgaria,2000,8.6
Bulgaria,2006,8.1
Bulgaria,2012,7.8
Bulgaria,2021,6.1
Burkina Faso,2000,44.9
Burkina Faso,2006,35.8
Burkina Faso,2012,29.7
Burkina Faso,2021,24.5
Burundi,2021,42.5
Cambodia,2000,41.1
Cambodia,2006,27.1
Cambodia,2012,24.2
Cambodia,2021,17.0
Cameroon,2000,35.7
Cameroon,2006,30.9
Cameroon,2012,23.1
Cameroon,2021,18.6
Cape Verde,2000,15.4
Cape Verde,2006,11.9
Cape Verde,2012,12.3
Cape Verde,2021,10.8
Central African Republic,2000,48.9
Central African Republic,2006,48.0
Central African Republic,2012,40.5
Central African Republic,2021,43.0
Chad,2000,50.8
Chad,2006,51.2
Chad,2012,45.7
Chad,2021,39.6
Chile,2000,2.5
Chile,2006,2.5
Chile,2012,2.5
Chile,2021,2.5
China,2000,13.3
China,2006,9.0
China,2012,2.5
China,2021,2.5
Colombia,2000,10.9
Colombia,2006,11.4
Colombia,2012,9.3
Colombia,2021,8.9
Comoros,2021,42.5
Congo,2000,34.9
Congo,2006,34.6
Congo,2012,28.5
Congo,2021,30.3
Costa Rica,2000,7.0
Costa Rica,2006,5.5
Costa Rica,2012,2.5
Costa Rica,2021,5.3
Cote d'Ivoire,2000,33.3
Cote d'Ivoire,2006,37.1
Cote d'Ivoire,2012,30.0
Cote d'Ivoire,2021,22.3
Croatia,2000,2.5
Croatia,2006,2.5
Croatia,2012,2.5
Croatia,2021,2.5
Cuba,2000,2.5
Cuba,2006,2.5
Cuba,2012,2.5
Cuba,2021,2.5
Democratic Republic of Congo,2000,50.6
Democratic Republic of Congo,2006,45.3
Democratic Republic of Congo,2012,42.3
Democratic Republic of Congo,2021,39.0
Djibouti,2000,44.3
Djibouti,2006,36.9
Djibouti,2012,35.4
Djibouti,2021,27.4
Dominican Republic,2000,15.1
Dominican Republic,2006,13.2
Dominican Republic,2012,10.2
Dominican Republic,2021,8.0
Ecuador,2000,19.7
Ecuador,2006,18.9
Ecuador,2012,12.8
Ecuador,2021,14.0
Egypt,2000,16.3
Egypt,2006,14.4
Egypt,2012,15.2
Egypt,2021,12.5
El Salvador,2000,14.7
El Salvador,2006,12.0
El Salvador,2012,10.4
El Salvador,2021,8.9
Estonia,2000,2.5
Estonia,2006,2.5
Estonia,2012,2.5
Estonia,2021,2.5
Eswatini,2000,24.5
Eswatini,2006,23.2
Eswatini,2012,21.8
Eswatini,2021,17.0
Ethiopia,2000,53.5
Ethiopia,2006,43.4
Ethiopia,2012,33.5
Ethiopia,2021,24.1
Fiji,2000,9.6
Fiji,2006,9.0
Fiji,2012,8.1
Fiji,2021,8.6
Gabon,2000,21.0
Gabon,2006,20.2
Gabon,2012,18.6
Gabon,2021,16.6
Gambia,2000,29.0
Gambia,2006,27.5
Gambia,2012,22.1
Gambia,2021,17.6
Georgia,2000,12.3
Georgia,2006,8.8
Georgia,2012,2.5
Georgia,2021,6.3
Ghana,2000,28.4
Ghana,2006,22.0
Ghana,2012,17.9
Ghana,2021,14.9
Guatemala,2000,28.4
Guatemala,2006,24.6
Guatemala,2012,22.0
Guatemala,2021,19.6
Guinea,2021,27.5
Guinea-Bissau,2021,27.5
Guyana,2000,17.1
Guyana,2006,15.6
Guyana,2012,12.1
Guyana,2021,10.7
Haiti,2000,42.0
Haiti,2006,43.6
Haiti,2012,35.2
Haiti,2021,32.8
Honduras,2000,21.8
Honduras,2006,19.6
Honduras,2012,13.8
Honduras,2021,12.8
India,2000,38.8
India,2006,37.4
India,2012,28.8
India,2021,27.5
Indonesia,2000,26.1
Indonesia,2006,29.5
Indonesia,2012,23.0
Indonesia,2021,18.0
Iran,2000,13.5
Iran,2006,8.9
Iran,2012,8.1
