Entity,Year,"Conflict deaths per 100,000, World (various sources)"
Conflict Catalogue,1989,5.623611
Conflict Catalogue,1990,5.9573932
Conflict Catalogue,1991,5.5829668
Conflict Catalogue,1992,5.7901711
Conflict Catalogue,1993,3.7808328
Conflict Catalogue,1994,12.221299
Conflict Catalogue,1995,3.2274692
Conflict Catalogue,1996,2.0391536
Conflict Catalogue,1997,2.1825669
Conflict Catalogue,1998,2.2117739
Conflict Catalogue,1999,2.3099852
Conflict Catalogue,2000,1.1482794
Correlates of War,1989,.71355748
Correlates of War,1990,.80485052
Correlates of War,1991,.79225886
Correlates of War,1992,.56123751
Correlates of War,1993,.58195728
Correlates of War,1994,.56927109
Correlates of War,1995,.39580849
Correlates of War,1996,.16556574
Correlates of War,1997,.17886174
Correlates of War,1998,.81103677
Correlates of War,1999,.98820758
Correlates of War,2000,.83679163
Correlates of War,2001,.33243904
Correlates of War,2002,.25055024
Correlates of War,2003,.46798208
Correlates of War,2004,.27266687
Correlates of War,2005,.28531125
Correlates of War,2006,.23852099
Correlates of War,2007,.21729334
IHME - Conflict and Terror,1990,1.8033586
IHME - Conflict and Terror,1991,1.7344743
IHME - Conflict and Terror,1992,1.128525
IHME - Conflict and Terror,1993,1.4743366
IHME - Conflict and Terror,1994,9.7192917
IHME - Conflict and Terror,1995,.98465973
IHME - Conflict and Terror,1996,1.2445766
IHME - Conflict and Terror,1997,1.1115412
IHME - Conflict and Terror,1998,1.2662135
IHME - Conflict and Terror,1999,1.7206876
IHME - Conflict and Terror,2000,1.553932
IHME - Conflict and Terror,2001,.6161707
IHME - Conflict and Terror,2002,.67832881
IHME - Conflict and Terror,2003,.73062634
IHME - Conflict and Terror,2004,.68986529
IHME - Conflict and Terror,2005,.65881938
IHME - Conflict and Terror,2006,.93375218
IHME - Conflict and Terror,2007,.87879175
IHME - Conflict and Terror,2008,.72287142
IHME - Conflict and Terror,2009,.75180316
IHME - Conflict and Terror,2010,.63577956
IHME - Conflict and Terror,2011,1.2239845
IHME - Conflict and Terror,2012,1.404151
IHME - Conflict and Terror,2013,1.3660264
IHME - Conflict and Terror,2014,2.0343311
IHME - Conflict and Terror,2015,1.9437991
IHME - Conflict and Terror,2016,2.0149791
UCDP all,1989,1.2695357
UCDP all,1990,1.7769837
UCDP all,1991,1.5290587
UCDP all,1992,1.0176039
UCDP all,1993,.98992592
UCDP all,1994,9.6578856
UCDP all,1995,.91816455
UCDP all,1996,1.2228621
UCDP all,1997,1.0300705
UCDP all,1998,1.0094098
UCDP all,1999,1.6209519
UCDP all,2000,1.4749535
UCDP all,2001,.55018049
UCDP all,2002,.6000492
UCDP all,2003,.56595653
UCDP all,2004,.48461851
UCDP all,2005,.28969029
UCDP all,2006,.40630463
UCDP all,2007,.3952482
UCDP all,2008,.54212433
UCDP all,2009,.67129385
UCDP all,2010,.43376353
UCDP all,2011,.49917588
UCDP all,2012,.98187798
UCDP all,2013,1.4453187
UCDP all,2014,1.8020805
UCDP all,2015,1.6129603
UCDP all,2016,1.4046538
UCDP all,2017,1.1882104
UCDP state-based,1989,1.0362096
UCDP state-based,1990,1.4946885
UCDP state-based,1991,1.296164
UCDP state-based,1992,.6619612
UCDP state-based,1993,.6584534
UCDP state-based,1994,.58672178
UCDP state-based,1995,.49430802
UCDP state-based,1996,.48059139
UCDP state-based,1997,.67125547
UCDP state-based,1998,.66229784
UCDP state-based,1999,1.3281648
UCDP state-based,2000,1.2588432
UCDP state-based,2001,.35816365
UCDP state-based,2002,.3095293
UCDP state-based,2003,.33926678
UCDP state-based,2004,.29608268
UCDP state-based,2005,.18576436
UCDP state-based,2006,.29682142
UCDP state-based,2007,.28536841
UCDP state-based,2008,.42110401
UCDP state-based,2009,.50234652
UCDP state-based,2010,.30269456
UCDP state-based,2011,.32558531
UCDP state-based,2012,.86693978
UCDP state-based,2013,1.2532601
UCDP state-based,2014,1.435496
UCDP state-based,2015,1.3267355
UCDP state-based,2016,1.1780289
UCDP state-based,2017,.91346496
