Entity,Year,Share of people who are happy (World Value Survey 2014),Share of people who are happy (World Value Survey 2014 - first and last waves)
Albania,1998,33.433434,33.43343353
Albania,2004,58.799999,58.79999924
Algeria,2004,80.733231,80.73323059
Algeria,2014,79.89418,79.8941803
Andorra,2009,92.878632,
Argentina,1984,78.571426,78.57142639
Argentina,1993,76.347305,
Argentina,1998,81.742355,
Argentina,2004,81.09375,
Argentina,2009,86.072144,
Argentina,2014,87.207031,87.20703125
Armenia,1998,54.799999,54.79999924
Armenia,2014,81.619659,81.61965942
Australia,1984,95.491806,95.49180603
Australia,1998,94.140625,
Australia,2009,92.42746,
Australia,2014,93.989067,93.98906708
Azerbaijan,1998,76.623375,76.62337494
Azerbaijan,2014,81.836327,81.8363266
Bahrain,2014,72.666672,
Bangladesh,1998,84.721306,84.72130585
Bangladesh,2004,77.400002,77.40000153
Belarus,1993,43.842361,43.84236145
Belarus,1998,44.885277,
Belarus,2014,65.306122,65.30612183
Bosnia and Herzegovina,1998,79.125,
Bosnia and Herzegovina,2004,81.833336,
Brazil,1993,75.925926,75.92592621
Brazil,2009,90.380768,
Brazil,2014,91.784515,91.78451538
Bulgaria,1998,55.503731,55.50373077
Bulgaria,2009,55.744255,55.74425507
Burkina Faso,2009,79.882431,
Canada,2004,95.857063,95.85706329
Canada,2009,95.05088,95.05088043
Chile,1993,71.866669,71.8666687
Chile,1998,80,
Chile,2004,79.833336,
Chile,2009,82.082077,
Chile,2014,84.669342,84.66934204
China,1993,67.002014,67.00201416
China,1998,83.600006,
China,2004,78.11245,
China,2009,76.219208,
China,2014,84.995628,84.99562836
Colombia,1998,84.312416,84.31241608
Colombia,2009,86.842979,
Colombia,2014,91.594971,91.5949707
Croatia,1998,69.397995,
Cyprus,2009,87.511917,87.51191711
Cyprus,2014,82.082077,82.08207703
Czech Republic,1993,72.697723,72.69772339
Czech Republic,1998,83.524231,83.52423096
Dominican Republic,1998,72.422066,
Ecuador,2014,93.01165,
Egypt,2004,89.400002,89.40000153
Egypt,2009,84.229507,
Egypt,2014,29.678267,29.67826653
El Salvador,1998,92.02552,
Estonia,1998,63.663078,63.66307831
Estonia,2014,75.440887,75.44088745
Ethiopia,2009,63.678932,
Finland,1984,93.580742,93.58074188
Finland,1998,91.18541,
Finland,2009,91.715973,91.7159729
France,2009,89.61039,
Georgia,1998,65.239044,65.23904419
Georgia,2009,66.154877,
Georgia,2014,69.550743,69.5507431
Germany,1998,80.552818,80.5528183
Germany,2009,78.248177,
Germany,2014,86.134247,86.13424683
Ghana,2009,78.473579,78.47357941
Ghana,2014,82.538658,82.53865814
Guatemala,2009,78.699997,
Hong Kong,2009,83.546326,83.54632568
Hong Kong,2014,89.278557,89.27855682
Hungary,1984,78.451881,78.45188141
Hungary,1998,77.384613,
Hungary,2009,75.920395,75.9203949
India,1993,72,72
India,1998,75.882355,
India,2004,72.877121,
India,2009,75.36232,
India,2014,80.518654,80.51865387
Indonesia,2004,94.594589,94.59458923
Indonesia,2009,92.94294,92.94293976
Iran,2004,58.290054,58.29005432
Iran,2009,80.29557,80.29557037
Iraq,2004,62.338223,62.3382225
Iraq,2009,52.927929,
Iraq,2014,68,68
Israel,2004,77.462433,
Italy,2009,89.781746,
Japan,1984,83.228134,83.22813416
Japan,1993,77.744804,
Japan,1998,89.089188,
Japan,2004,86.490456,
Japan,2009,89.681053,
Japan,2014,86.45108,86.45108032
Jordan,2004,83.142387,83.14238739
Jordan,2009,87.406174,
Jordan,2014,85.75,85.75
Kazakhstan,2014,88.73333,
Kuwait,2014,91.987679,
Kyrgyzstan,2004,83.892616,83.89261627
Kyrgyzstan,2014,95.994659,95.99465942
Latvia,1998,68.833336,
Lebanon,2014,78.726974,
Libya,2014,86.817322,
