Entity,Year,Renewable electricity (% electricity production) (World Bank (2015))
Afghanistan,1990,67.73049645
Afghanistan,1991,67.98029557
Afghanistan,1992,67.9943101
Afghanistan,1993,68.34532374
Afghanistan,1994,68.70451237
Afghanistan,1995,69.03703704
Afghanistan,1996,70.37037037
Afghanistan,1997,72.3880597
Afghanistan,1998,74.43609023
Afghanistan,1999,73.72262774
Afghanistan,2000,74.98909408
Afghanistan,2001,72.81145999
Afghanistan,2002,79.0639712
Afghanistan,2003,66.29098361
Afghanistan,2004,72.43589744
Afghanistan,2005,74.06181015
Afghanistan,2006,70.75575027
Afghanistan,2007,72
Afghanistan,2008,68.65482234
Afghanistan,2009,87.17660292
Afghanistan,2010,85.98654709
Afghanistan,2011,82.48756219
Afghanistan,2012,85.90998043
Afghanistan,2013,78.6364081
Afghanistan,2014,85.32354903
Albania,1990,86.40776699
Albania,1991,92.14248298
Albania,1992,95.05008839
Albania,1993,93.90762256
Albania,1994,95.68637402
Albania,1995,93.98613906
Albania,1996,95.72049482
Albania,1997,96.17444529
Albania,1998,96.32021922
Albania,1999,97.32915822
Albania,2000,96.14901632
Albania,2001,95.30831099
Albania,2002,93.95398609
Albania,2003,97.85657051
Albania,2004,97.5026757
Albania,2005,98.71394452
Albania,2006,98.31643736
Albania,2007,97.48251748
Albania,2008,100
Albania,2009,99.98077662
Albania,2010,99.98678647
Albania,2011,98.59222143
Albania,2012,100
Albania,2013,100
Albania,2014,100
Algeria,1990,0.838301043
Algeria,1991,1.689247622
Algeria,1992,1.088264246
Algeria,1993,1.818275471
Algeria,1994,0.834884072
Algeria,1995,0.978950038
Algeria,1996,0.653626416
Algeria,1997,0.348885891
Algeria,1998,0.924254148
Algeria,1999,0.819970109
Algeria,2000,0.212498032
Algeria,2001,0.25915493
Algeria,2002,0.206163194
Algeria,2003,0.896148253
Algeria,2004,0.8032
Algeria,2005,1.636444051
Algeria,2006,0.618861069
Algeria,2007,0.607592214
Algeria,2008,0.703350234
Algeria,2009,0.794784551
Algeria,2010,0.380460926
Algeria,2011,0.980009371
Algeria,2012,1.083680332
Algeria,2013,0.551010185
Algeria,2014,0.395379969
American Samoa,1990,0
American Samoa,1991,0
American Samoa,1992,0
American Samoa,1993,0
American Samoa,1994,0
American Samoa,1995,0
American Samoa,1996,0
American Samoa,1997,0
American Samoa,1998,0
American Samoa,1999,0
American Samoa,2000,0
American Samoa,2001,0
American Samoa,2002,0
American Samoa,2003,0
American Samoa,2004,0
American Samoa,2005,0
American Samoa,2006,0
American Samoa,2007,0
American Samoa,2008,0
American Samoa,2009,0
American Samoa,2010,0
American Samoa,2011,0
American Samoa,2012,0.702426564
American Samoa,2013,0.703140481
American Samoa,2014,0.700882475
Andorra,1990,100
Andorra,1991,100
Andorra,1992,100
Andorra,1993,100
Andorra,1994,100
Andorra,1995,100
Andorra,1996,100
Andorra,1997,100
Andorra,1998,100
Andorra,1999,100
Andorra,2000,100
Andorra,2001,100
Andorra,2002,100
Andorra,2003,100
Andorra,2004,98.93617021
Andorra,2005,98.82352941
Andorra,2006,94.59459459
Andorra,2007,75
Andorra,2008,80.05082592
Andorra,2009,76.54320988
Andorra,2010,88.73114463
Andorra,2011,86.51315789
Andorra,2012,86.6894198
Andorra,2013,88.7532694
Andorra,2014,89.43217666
Angola,1990,86.20689655
Angola,1991,82.65524625
Angola,1992,88.70116156
Angola,1993,93.68421053
Angola,1994,93.71727749
Angola,1995,93.75
Angola,1996,89.98054475
Angola,1997,76.35253054
Angola,1998,80.42488619
Angola,1999,66.96629213
Angola,2000,63.11418685
Angola,2001,62.08791209
Angola,2002,64.7592068
Angola,2003,62.20551378
Angola,2004,78.40501792
Angola,2005,79.64824121
Angola,2006,80.61101028
Angola,2007,77.6188996
Angola,2008,75.40904716
Angola,2009,65.34318902
Angola,2010,67.95742338
Angola,2011,70.90780393
Angola,2012,60.7994842
Angola,2013,58.02093476
Angola,2014,53.17510549
Antigua and Barbuda,1990,0
