Entity,Year,Primary enrolment data available at last cutoff (GEM Report (2017/18)),Existence of nationally representative learning assessment in grades 2 or 3 of primary education (GEM Report (2017/18)),Existence of nationally representative learning assessment at the end of primary education (GEM Report (2017/18))
Afghanistan,2015,,No,Yes
Afghanistan,2017,Yes,,
Albania,2015,,Yes,Yes
Albania,2017,Yes,,
Algeria,2017,Yes,,
Andorra,2017,Yes,,
Angola,2015,,No,No
Angola,2017,No,,
Anguilla,2015,,Yes,Yes
Anguilla,2017,No,,
Antigua and Barbuda,2017,Yes,,
Argentina,2015,,Yes,Yes
Argentina,2017,Yes,,
Armenia,2015,,No,Yes
Armenia,2017,Yes,,
Aruba,2017,Yes,,
Australia,2015,,Yes,Yes
Australia,2017,Yes,,
Austria,2015,,No,Yes
Austria,2017,Yes,,
Azerbaijan,2015,,No,Yes
Azerbaijan,2017,Yes,,
Bahamas,2015,,Yes,Yes
Bahamas,2017,No,,
Bahrain,2015,,Yes,Yes
Bahrain,2017,Yes,,
Bangladesh,2015,,Yes,Yes
Bangladesh,2017,Yes,,
Barbados,2015,,Yes,No
Barbados,2017,Yes,,
Belarus,2017,Yes,,
Belgium,2015,,No,No
Belgium,2017,Yes,,
Belize,2015,,Yes,Yes
Belize,2017,Yes,,
Benin,2015,,Yes,Yes
Benin,2017,Yes,,
Bermuda,2017,Yes,,
Bhutan,2015,,No,Yes
Bhutan,2017,Yes,,
Bolivia,2017,Yes,,
Bosnia and Herzegovina,2015,,No,No
Bosnia and Herzegovina,2017,Yes,,
Botswana,2015,,Yes,No
Botswana,2017,Yes,,
Brazil,2015,,Yes,Yes
Brazil,2017,Yes,,
British Virgin Islands,2017,Yes,,
Brunei,2015,,Yes,No
Brunei,2017,Yes,,
Bulgaria,2015,,No,Yes
Bulgaria,2017,Yes,,
Burkina Faso,2015,,Yes,Yes
Burkina Faso,2017,Yes,,
Burundi,2015,,Yes,Yes
Burundi,2017,Yes,,
Cambodia,2015,,Yes,No
Cambodia,2017,Yes,,
Cameroon,2015,,Yes,Yes
Cameroon,2017,Yes,,
Canada,2015,,Yes,No
Canada,2017,Yes,,
Cape Verde,2015,,Yes,Yes
Cape Verde,2017,Yes,,
Cayman Islands,2017,Yes,,
Central African Republic,2017,No,,
Chad,2015,,Yes,Yes
Chad,2017,Yes,,
Chile,2015,,Yes,Yes
Chile,2017,Yes,,
China,2015,,Yes,No
China,2017,Yes,,
Colombia,2015,,Yes,Yes
Colombia,2017,Yes,,
Comoros,2015,,Yes,Yes
Comoros,2017,Yes,,
Congo,2015,,Yes,Yes
Congo,2017,No,,
Cook Islands,2015,,Yes,Yes
Cook Islands,2017,Yes,,
Costa Rica,2015,,Yes,Yes
Costa Rica,2017,Yes,,
Cote d'Ivoire,2015,,Yes,Yes
Cote d'Ivoire,2017,Yes,,
Croatia,2015,,No,Yes
Croatia,2017,Yes,,
Cuba,2015,,Yes,Yes
Cuba,2017,Yes,,
Curacao,2017,Yes,,
Cyprus,2015,,Yes,Yes
Cyprus,2017,Yes,,
Czech Republic,2015,,No,Yes
Czech Republic,2017,Yes,,
Democratic Republic of Congo,2015,,No,No
Democratic Republic of Congo,2017,Yes,,
Denmark,2015,,Yes,Yes
Denmark,2017,Yes,,
Djibouti,2017,Yes,,
Dominica,2017,Yes,,
Dominican Republic,2015,,Yes,Yes
Dominican Republic,2017,Yes,,
Ecuador,2015,,Yes,Yes
Ecuador,2017,Yes,,
Egypt,2015,,Yes,No
Egypt,2017,Yes,,
El Salvador,2015,,Yes,Yes
El Salvador,2017,Yes,,
Equatorial Guinea,2017,Yes,,
Eritrea,2015,,No,No
Eritrea,2017,Yes,,
Estonia,2015,,Yes,Yes
Estonia,2017,Yes,,
Ethiopia,2015,,Yes,No
Ethiopia,2017,Yes,,
Fiji,2015,,Yes,Yes
