Entity,Year,Extreme poverty headcount - High-income (World Bank (Povcal) (2017))
Australia,1981,1
Australia,1985,1
Australia,1989,0.68
Australia,1995,1.34
Australia,2001,1.35
Australia,2003,1.36
Australia,2008,0.67
Australia,2010,0.67
Austria,2004,0.1
Austria,2005,0.16
Austria,2006,0.1
Austria,2007,0.37
Austria,2008,0.48
Austria,2009,0.66
Austria,2010,0.49
Austria,2011,0.42
Austria,2012,0.62
Belgium,2004,0.11
Belgium,2005,0.36
Belgium,2006,0.38
Belgium,2007,0.34
Belgium,2008,0.43
Belgium,2009,0.22
Belgium,2010,0.24
Belgium,2011,0.44
Belgium,2012,0.22
Canada,1981,0.68
Canada,1987,0.37
Canada,1991,0.33
Canada,1994,0.33
Canada,1997,0.36
Canada,1998,0.68
Canada,2000,0.67
Canada,2004,0.34
Canada,2007,0.34
Canada,2010,0.34
Cyprus,2004,0.09
Cyprus,2005,0.05
Cyprus,2006,0.03
Cyprus,2007,0.03
Cyprus,2008,0.01
Cyprus,2009,0.12
Cyprus,2010,0.1
Cyprus,2011,0.03
Cyprus,2012,0.02
Denmark,2004,0.82
Denmark,2005,0.71
Denmark,2006,0.78
Denmark,2007,0.62
Denmark,2008,1.45
Denmark,2009,1.29
Denmark,2010,1.13
Denmark,2011,1.22
Denmark,2012,1.05
Finland,2004,0.06
Finland,2005,0.09
Finland,2006,0.1
Finland,2007,0.07
Finland,2008,0.06
Finland,2009,0.07
Finland,2010,0.09
Finland,2011,0.08
Finland,2012,0.08
France,2004,0.09
France,2005,0.13
France,2006,0.23
France,2007,0.03
France,2008,0.06
France,2010,0.15
France,2011,0.09
France,2012,0.08
Germany,2006,0.84
Germany,2007,0.51
Germany,2008,0.27
Germany,2009,0.18
Germany,2010,0.4
Germany,2011,0.19
Greece,2004,0.99
Greece,2005,0.71
Greece,2006,0.85
Greece,2007,1.01
Greece,2008,0.88
Greece,2009,0.88
Greece,2010,1.47
Greece,2011,2.28
Greece,2012,2.1
Iceland,2004,0.3
Iceland,2005,0.28
Iceland,2006,0.15
Iceland,2007,0.12
Iceland,2008,0.19
Iceland,2009,0.19
Iceland,2010,0.39
Iceland,2011,0.32
Iceland,2012,0.2
Ireland,2004,0.15
Ireland,2005,0.03
Ireland,2006,0.4
Ireland,2007,0.09
Ireland,2008,0.18
Ireland,2009,0.65
Ireland,2010,0.54
Ireland,2011,0.5
Ireland,2012,0.29
Israel,1986,0.34
Israel,1992,0
Israel,1997,0.36
Israel,2001,0.33
Israel,2005,0.67
Israel,2007,0.69
Israel,2010,0.39
Italy,2004,0.83
Italy,2005,0.9
Italy,2006,1.01
Italy,2007,0.91
Italy,2008,0.81
Italy,2009,1.11
Italy,2010,1.41
Italy,2011,1.23
Italy,2012,1.48
Japan,2008,0.35
Luxembourg,2004,0.05
Luxembourg,2005,0.14
Luxembourg,2006,0.02
Luxembourg,2007,0.14
Luxembourg,2008,0.05
Luxembourg,2009,0.27
Luxembourg,2010,0.19
Luxembourg,2011,0.32
Luxembourg,2012,0.39
Netherlands,2004,0.79
Netherlands,2005,0.75
Netherlands,2006,0.62
Netherlands,2007,0.54
Netherlands,2008,0.47
Netherlands,2009,0.55
Netherlands,2010,0.49
Netherlands,2011,0.38
Netherlands,2012,0.35
Norway,2004,0.39
Norway,2005,0.4
Norway,2006,0.69
Norway,2007,0.56
Norway,2008,0.33
Norway,2009,0.13
Norway,2010,0.26
Norway,2011,0.21
Norway,2012,0.27
Portugal,2004,0.54
Portugal,2005,0.54
Portugal,2006,0.09
Portugal,2007,0.26
Portugal,2008,0.14
Portugal,2009,0.17
Portugal,2010,0.14
Portugal,2011,0.51
Portugal,2012,0.7
Spain,2004,0.93
Spain,2005,0.84
Spain,2006,0.8
Spain,2007,1.21
Spain,2008,0.97
Spain,2009,1.25
Spain,2010,1.08
Spain,2011,1.57
Spain,2012,1.34
Sweden,2004,0.48
Sweden,2005,1.33
Sweden,2006,0.48
Sweden,2007,0.53
Sweden,2008,0.67
Sweden,2009,0.49
Sweden,2010,0.53
Sweden,2011,0.64
Sweden,2012,0.61
Switzerland,2007,0.25
Switzerland,2008,0.24
Switzerland,2009,0.15
Switzerland,2010,0.21
Switzerland,2011,0.1
Switzerland,2012,0.06
United Kingdom,2004,0.68
United Kingdom,2005,0.9
United Kingdom,2006,0.52
United Kingdom,2007,0.54
United Kingdom,2008,0.6
United Kingdom,2009,0.64
United Kingdom,2010,0.65
United Kingdom,2011,0.82
United Kingdom,2012,0.46
United States,1986,0.67
United States,1991,0.67
United States,1994,0.67
United States,1997,1
United States,2000,1
United States,2004,1.33
United States,2007,1.33
United States,2010,1.33
United States,2013,1
