Entity,Year,"Number of deaths from smallpox per 1,000 population (Edwardes 1902)"
Austria,1847,0.16
Austria,1848,0.215
Austria,1849,0.293
Austria,1850,0.161
Austria,1851,0.111
Austria,1852,0.116
Austria,1853,0.238
Austria,1854,0.284
Austria,1855,0.476
Austria,1856,0.164
Austria,1857,0.123
Austria,1858,0.218
Austria,1859,0.262
Austria,1860,0.268
Austria,1861,0.243
Austria,1862,0.333
Austria,1863,0.351
Austria,1864,0.364
Austria,1865,0.228
Austria,1866,0.368
Austria,1867,0.484
Austria,1868,0.37
Austria,1869,0.374
Austria,1870,0.293
Austria,1871,0.383
Austria,1872,1.866
Austria,1873,3.094
Austria,1874,1.725
Austria,1875,0.576
Austria,1876,0.406
Austria,1877,0.555
Austria,1878,0.631
Austria,1879,0.534
Austria,1880,0.674
Austria,1881,0.807
Austria,1882,0.947
Austria,1883,0.596
Austria,1884,0.53
Austria,1885,0.6
Austria,1886,0.4
Austria,1887,0.417
Austria,1888,0.615
Austria,1889,0.537
Austria,1890,0.249
Austria,1891,0.287
Austria,1892,0.256
Austria,1893,0.244
Austria,1894,0.105
Austria,1895,0.049
Austria,1896,0.036
Austria,1897,0.061
Belgium,1851,0.156
Belgium,1852,0.114
Belgium,1853,0.114
Belgium,1854,0.114
Belgium,1855,0.097
Belgium,1856,0.241
Belgium,1857,0.241
Belgium,1858,0.241
Belgium,1859,0.241
Belgium,1860,0.241
Belgium,1864,0.5
Belgium,1865,1.165
Belgium,1866,0.212
Belgium,1867,0.111
Belgium,1868,0.17
Belgium,1869,0.329
Belgium,1870,0.818
Belgium,1871,4.168
Belgium,1872,1.56
Belgium,1873,0.333
Belgium,1874,0.369
Belgium,1875,0.313
Belgium,1876,0.27
Belgium,1877,0.669
Belgium,1878,0.678
Belgium,1879,0.43
Belgium,1880,0.748
Belgium,1881,0.48
Belgium,1882,0.279
Belgium,1883,0.31
Belgium,1884,0.229
Belgium,1885,0.279
Belgium,1886,0.204
Belgium,1887,0.1
Belgium,1888,0.146
Belgium,1889,0.202
Belgium,1890,0.105
Belgium,1891,0.211
Belgium,1892,0.408
Belgium,1893,0.336
Belgium,1894,0.085
Belgium,1895,0.046
Belgium,1896,0.02
Belgium,1897,0.021
Belgium,1898,0.024
Belgium,1899,0.038
England,1838,1.064
England,1839,0.589
England,1840,0.661
England,1841,0.4
England,1842,0.168
England,1847,0.246
England,1848,0.397
England,1849,0.264
England,1850,0.262
England,1851,0.389
England,1852,0.401
England,1853,0.171
England,1854,0.151
England,1855,0.131
England,1856,0.116
England,1857,0.202
England,1858,0.329
England,1859,0.193
England,1860,0.136
England,1861,0.064
England,1862,0.078
England,1863,0.286
England,1864,0.364
England,1865,0.301
England,1866,0.139
England,1867,0.114
England,1868,0.091
England,1869,0.067
England,1870,0.113
England,1871,1.012
England,1872,0.821
England,1873,0.098
England,1874,0.088
England,1875,0.035
England,1876,0.099
England,1877,0.173
England,1878,0.074
England,1879,0.021
England,1880,0.025
England,1881,0.119
England,1882,0.05
England,1883,0.036
England,1884,0.082
England,1885,0.103
England,1886,0.011
England,1887,0.019
England,1888,0.039
England,1889,0.001
England,1890,0
England,1891,0.002
England,1892,0.015
England,1893,0.049
England,1894,0.027
England,1895,0.007
England,1896,0.018
England,1897,0.001
England,1898,0.008
England,1899,0.005
England,1900,0.003
Netherlands,1866,0.404
Netherlands,1867,0.154
Netherlands,1868,0.04
Netherlands,1869,0.014
Netherlands,1870,0.196
Netherlands,1871,4.355
Netherlands,1872,1.021
Netherlands,1873,0.095
Netherlands,1874,0.034
Netherlands,1875,0.05
Netherlands,1876,0.029
Netherlands,1877,0.006
Netherlands,1878,0.003
Netherlands,1879,0.002
Netherlands,1880,0.019
Netherlands,1881,0.018
Netherlands,1882,0.037
Netherlands,1883,0.161
Netherlands,1884,0.015
Netherlands,1885,0.007
Netherlands,1886,0.016
Netherlands,1887,0.004
Netherlands,1890,0.002
Netherlands,1892,0.002
Netherlands,1893,0.01
