Entity,Year,UN Population Division (Median Age) (2015)
Afghanistan,1950,19.44
Afghanistan,1955,19.18
Afghanistan,1960,18.82
Afghanistan,1965,18.41
Afghanistan,1970,17.91
Afghanistan,1975,17.37
Afghanistan,1980,16.96
Afghanistan,1985,16.31
Afghanistan,1990,15.92
Afghanistan,1995,16.03
Afghanistan,2000,15.68
Afghanistan,2005,16.12
Afghanistan,2010,16.14
Afghanistan,2015,17.53
Afghanistan,2020,18.95
Afghanistan,2025,20.62
Afghanistan,2030,22.47
Afghanistan,2035,24.3
Afghanistan,2040,26.09
Afghanistan,2045,27.94
Afghanistan,2050,29.81
Afghanistan,2055,31.67
Afghanistan,2060,33.46
Afghanistan,2065,35.17
Afghanistan,2070,36.79
Afghanistan,2075,38.27
Afghanistan,2080,39.59
Afghanistan,2085,40.7
Afghanistan,2090,41.61
Afghanistan,2095,42.35
Afghanistan,2100,42.97
Africa,1950,19.26
Africa,1955,19.01
Africa,1960,18.62
Africa,1965,18.17
Africa,1970,17.87
Africa,1975,17.68
Africa,1980,17.6
Africa,1985,17.52
Africa,1990,17.59
Africa,1995,17.96
Africa,2000,18.34
Africa,2005,18.75
Africa,2010,19.11
Africa,2015,19.39
Africa,2020,19.77
Africa,2025,20.37
Africa,2030,21.17
Africa,2035,22.06
Africa,2040,22.97
Africa,2045,23.86
Africa,2050,24.75
Africa,2055,25.72
Africa,2060,26.73
Africa,2065,27.76
Africa,2070,28.78
Africa,2075,29.81
Africa,2080,30.86
Africa,2085,31.9
Africa,2090,32.91
Africa,2095,33.91
Africa,2100,34.89
Albania,1950,21.15
Albania,1955,20.58
Albania,1960,20.2
Albania,1965,19.73
Albania,1970,19.61
Albania,1975,20.18
Albania,1980,21.44
Albania,1985,22.82
Albania,1990,24.07
Albania,1995,24.67
Albania,2000,27.06
Albania,2005,29.28
Albania,2010,33.06
Albania,2015,34.31
Albania,2020,35.23
Albania,2025,36.96
Albania,2030,39.03
Albania,2035,41.51
Albania,2040,43.95
Albania,2045,46.17
Albania,2050,47.63
Albania,2055,48.09
Albania,2060,48.24
Albania,2065,49.32
Albania,2070,50.78
Albania,2075,52.1
Albania,2080,52.95
Albania,2085,53.05
Albania,2090,52.48
Albania,2095,52.07
Albania,2100,52.3
Algeria,1950,19.42
Algeria,1955,18.59
Algeria,1960,17.87
Algeria,1965,16.61
Algeria,1970,16.43
Algeria,1975,16.49
Algeria,1980,16.68
Algeria,1985,17.12
Algeria,1990,17.99
Algeria,1995,19.4
Algeria,2000,21.7
Algeria,2005,24.1
Algeria,2010,26.03
Algeria,2015,27.55
Algeria,2020,29.11
Algeria,2025,30.69
Algeria,2030,31.89
Algeria,2035,32.84
Algeria,2040,33.84
Algeria,2045,35.26
Algeria,2050,37.08
Algeria,2055,38.83
Algeria,2060,40.45
Algeria,2065,41.75
Algeria,2070,42.69
Algeria,2075,43.28
Algeria,2080,43.74
Algeria,2085,44.33
Algeria,2090,45.16
Algeria,2095,46.09
Algeria,2100,46.86
Angola,1950,19.4
Angola,1955,18.68
Angola,1960,17.99
Angola,1965,17.24
Angola,1970,16.9
Angola,1975,16.75
Angola,1980,16.48
Angola,1985,16.23
Angola,1990,16.06
Angola,1995,16.06
Angola,2000,16.03
Angola,2005,15.93
Angola,2010,15.88
Angola,2015,16.1
Angola,2020,16.53
Angola,2025,17.1
Angola,2030,17.72
Angola,2035,18.38
Angola,2040,19.12
Angola,2045,19.95
Angola,2050,20.96
Angola,2055,22.02
Angola,2060,23.1
Angola,2065,24.2
Angola,2070,25.34
Angola,2075,26.54
Angola,2080,27.73
Angola,2085,28.93
Angola,2090,30.12
Angola,2095,31.35
Angola,2100,32.55
Antigua and Barbuda,1950,20.59
Antigua and Barbuda,1955,20.19
Antigua and Barbuda,1960,18.34
Antigua and Barbuda,1965,18.66
Antigua and Barbuda,1970,19.22
Antigua and Barbuda,1975,20.39
Antigua and Barbuda,1980,22.49
Antigua and Barbuda,1985,24.31
Antigua and Barbuda,1990,25.29
Antigua and Barbuda,1995,27.49
Antigua and Barbuda,2000,29.15
Antigua and Barbuda,2005,29.36
Antigua and Barbuda,2010,29.8
Antigua and Barbuda,2015,30.95
Antigua and Barbuda,2020,32.21
Antigua and Barbuda,2025,33.62
Antigua and Barbuda,2030,35.25
Antigua and Barbuda,2035,36.9
Antigua and Barbuda,2040,38.41
Antigua and Barbuda,2045,39.66
Antigua and Barbuda,2050,40.59
Antigua and Barbuda,2055,41.38
Antigua and Barbuda,2060,42.18
Antigua and Barbuda,2065,43.08
Antigua and Barbuda,2070,44.03
Antigua and Barbuda,2075,44.94
Antigua and Barbuda,2080,45.63
Antigua and Barbuda,2085,46.14
Antigua and Barbuda,2090,46.54
Antigua and Barbuda,2095,46.9
Antigua and Barbuda,2100,47.25
Argentina,1950,25.66
Argentina,1955,26.31
Argentina,1960,26.88
Argentina,1965,27.21
Argentina,1970,27.41
Argentina,1975,27.42
Argentina,1980,27.33
Argentina,1985,27.28
Argentina,1990,27.25
Argentina,1995,27.38
Argentina,2000,27.89
Argentina,2005,28.72
Argentina,2010,29.89
Argentina,2015,30.84
Argentina,2020,31.88
Argentina,2025,32.98
Argentina,2030,34.09
Argentina,2035,35.14
Argentina,2040,36.29
Argentina,2045,37.45
Argentina,2050,38.6
Argentina,2055,39.77
Argentina,2060,40.87
Argentina,2065,41.87
Argentina,2070,42.78
Argentina,2075,43.6
Argentina,2080,44.36
Argentina,2085,45.08
Argentina,2090,45.74
Argentina,2095,46.35
Argentina,2100,46.9
Armenia,1950,22.42
Armenia,1955,22.74
Armenia,1960,22.46
Armenia,1965,20.76
Armenia,1970,20.41
Armenia,1975,21.87
Armenia,1980,23.46
Armenia,1985,25.23
Armenia,1990,27.01
Armenia,1995,29.22
Armenia,2000,30.33
Armenia,2005,30.93
Armenia,2010,31.59
Armenia,2015,34.65
Armenia,2020,36.56
Armenia,2025,38.82
Armenia,2030,41.39
Armenia,2035,43.85
Armenia,2040,45.98
Armenia,2045,46.91
Armenia,2050,46.89
Armenia,2055,47.36
Armenia,2060,48.5
Armenia,2065,49.9
Armenia,2070,50.84
Armenia,2075,51.07
Armenia,2080,50.58
Armenia,2085,49.88
Armenia,2090,49.78
Armenia,2095,50.16
Armenia,2100,50.47
Aruba,1950,18.48
Aruba,1955,18.1
Aruba,1960,18.11
Aruba,1965,19.13
Aruba,1970,20.82
Aruba,1975,23.86
Aruba,1980,26.03
Aruba,1985,27.97
Aruba,1990,31.22
Aruba,1995,32.51
Aruba,2000,34.36
Aruba,2005,36.2
Aruba,2010,38.46
Aruba,2015,40.24
Aruba,2020,41.54
Aruba,2025,42.15
Aruba,2030,42.04
Aruba,2035,42.53
Aruba,2040,43.56
Aruba,2045,44.66
Aruba,2050,45.61
Aruba,2055,46.36
Aruba,2060,46.46
Aruba,2065,46.31
Aruba,2070,46.53
Aruba,2075,47.08
Aruba,2080,47.7
Aruba,2085,48.1
Aruba,2090,48.13
Aruba,2095,47.87
Aruba,2100,47.68
Asia,1950,21.98
Asia,1955,21.26
Asia,1960,20.72
Asia,1965,19.81
Asia,1970,19.44
Asia,1975,19.98
Asia,1980,20.85
Asia,1985,21.88
Asia,1990,22.89
Asia,1995,24.27
Asia,2000,25.89
Asia,2005,27.36
Asia,2010,28.84
Asia,2015,30.3
Asia,2020,32.05
Asia,2025,33.78
Asia,2030,35.37
Asia,2035,36.68
Asia,2040,37.83
Asia,2045,38.87
Asia,2050,39.9
Asia,2055,40.96
Asia,2060,41.95
Asia,2065,42.79
Asia,2070,43.48
Asia,2075,44.03
Asia,2080,44.53
Asia,2085,45.01
Asia,2090,45.52
Asia,2095,46.04
Asia,2100,46.49
Australia,1950,30.41
Australia,1955,30.17
Australia,1960,29.58
Australia,1965,28.37
Australia,1970,27.47
Australia,1975,28.16
Australia,1980,29.39
Australia,1985,30.78
Australia,1990,32.13
Australia,1995,33.65
Australia,2000,35.42
Australia,2005,36.59
Australia,2010,36.96
Australia,2015,37.48
Australia,2020,37.94
Australia,2025,38.87
Australia,2030,39.84
Australia,2035,40.62
Australia,2040,41
Australia,2045,41.11
Australia,2050,41.37
Australia,2055,41.76
Australia,2060,42.33
Australia,2065,42.97
Australia,2070,43.55
Australia,2075,44.02
Australia,2080,44.42
Australia,2085,44.81
Australia,2090,45.31
Australia,2095,45.93
Australia,2100,46.58
Australia/New Zealand,1950,30.22
Australia/New Zealand,1955,29.92
Australia/New Zealand,1960,29.19
Australia/New Zealand,1965,27.9
Australia/New Zealand,1970,27.16
Australia/New Zealand,1975,27.84
Australia/New Zealand,1980,29.14
Australia/New Zealand,1985,30.56
Australia/New Zealand,1990,31.96
Australia/New Zealand,1995,33.47
Australia/New Zealand,2000,35.24
Australia/New Zealand,2005,36.4
Australia/New Zealand,2010,36.9
Australia/New Zealand,2015,37.56
Australia/New Zealand,2020,38.02
Australia/New Zealand,2025,38.92
Australia/New Zealand,2030,39.86
Australia/New Zealand,2035,40.68
Australia/New Zealand,2040,41.13
Australia/New Zealand,2045,41.31
Australia/New Zealand,2050,41.6
Australia/New Zealand,2055,42.02
Australia/New Zealand,2060,42.57
Australia/New Zealand,2065,43.21
Australia/New Zealand,2070,43.8
Australia/New Zealand,2075,44.3
Australia/New Zealand,2080,44.72
Australia/New Zealand,2085,45.13
Australia/New Zealand,2090,45.63
Australia/New Zealand,2095,46.22
Australia/New Zealand,2100,46.85
Austria,1950,35.7
Austria,1955,35.09
Austria,1960,35.38
Austria,1965,34.71
Austria,1970,33.65
Austria,1975,33.86
Austria,1980,35.03
Austria,1985,35.82
Austria,1990,36.42
Austria,1995,36.29
Austria,2000,38.22
Austria,2005,39.96
Austria,2010,41.86
Austria,2015,43.18
Austria,2020,44.5
Austria,2025,45.38
Austria,2030,46.5
Austria,2035,47.59
Austria,2040,48.62
Austria,2045,49.51
Austria,2050,49.74
Austria,2055,49.43
Austria,2060,48.96
Austria,2065,48.72
Austria,2070,48.76
Austria,2075,48.93
Austria,2080,49.03
Austria,2085,48.98
Austria,2090,48.88
Austria,2095,48.9
Austria,2100,49.13
Azerbaijan,1950,22.83
Azerbaijan,1955,23.16
Azerbaijan,1960,22.51
Azerbaijan,1965,19.38
Azerbaijan,1970,18.12
Azerbaijan,1975,19.08
Azerbaijan,1980,21.09
Azerbaijan,1985,22.84
Azerbaijan,1990,23.22
Azerbaijan,1995,24.17
Azerbaijan,2000,25.63
Azerbaijan,2005,27.13
Azerbaijan,2010,28.59
Azerbaijan,2015,30.93
Azerbaijan,2020,32.8
Azerbaijan,2025,35
Azerbaijan,2030,37.09
Azerbaijan,2035,38.61
Azerbaijan,2040,38.9
Azerbaijan,2045,38.3
Azerbaijan,2050,38.61
Azerbaijan,2055,40.08
Azerbaijan,2060,41.3
Azerbaijan,2065,41.97
Azerbaijan,2070,42.02
Azerbaijan,2075,41.98
Azerbaijan,2080,42.29
Azerbaijan,2085,42.89
Azerbaijan,2090,43.53
Azerbaijan,2095,44
Azerbaijan,2100,44.25
Bahamas,1950,20.72
Bahamas,1955,20.07
Bahamas,1960,19.26
Bahamas,1965,18.67
Bahamas,1970,19.09
Bahamas,1975,19.69
Bahamas,1980,20.21
Bahamas,1985,21.85
Bahamas,1990,23.58
Bahamas,1995,24.98
Bahamas,2000,27
Bahamas,2005,29.06
Bahamas,2010,30.89
Bahamas,2015,32.42
Bahamas,2020,34.14
Bahamas,2025,35.84
Bahamas,2030,37.64
Bahamas,2035,39.36
Bahamas,2040,40.75
Bahamas,2045,41.41
Bahamas,2050,41.98
Bahamas,2055,42.7
Bahamas,2060,43.51
Bahamas,2065,44.33
Bahamas,2070,45.08
Bahamas,2075,45.66
Bahamas,2080,46.02
Bahamas,2085,46.23
Bahamas,2090,46.47
Bahamas,2095,46.84
Bahamas,2100,47.29
Bahrain,1950,18.89
Bahrain,1955,19.21
Bahrain,1960,19.63
Bahrain,1965,16.76
Bahrain,1970,17.54
Bahrain,1975,19.34
Bahrain,1980,22.26
Bahrain,1985,25.15
Bahrain,1990,25.37
Bahrain,1995,26.41
Bahrain,2000,26.52
Bahrain,2005,27.74
Bahrain,2010,30.39
Bahrain,2015,30.3
Bahrain,2020,31.5
Bahrain,2025,33.55
Bahrain,2030,35.58
Bahrain,2035,37.4
Bahrain,2040,39.27
Bahrain,2045,40.68
Bahrain,2050,42.23
Bahrain,2055,43.73
Bahrain,2060,45.14
Bahrain,2065,45.95
Bahrain,2070,46.5
Bahrain,2075,46.85
Bahrain,2080,47.08
Bahrain,2085,47.27
Bahrain,2090,47.47
Bahrain,2095,47.67
Bahrain,2100,47.86
Bangladesh,1950,19.33
Bangladesh,1955,19.37
Bangladesh,1960,19.07
Bangladesh,1965,18.5
Bangladesh,1970,17.77
Bangladesh,1975,17.63
Bangladesh,1980,17.34
Bangladesh,1985,17.74
Bangladesh,1990,18.55
Bangladesh,1995,19.54
Bangladesh,2000,20.91
Bangladesh,2005,22.36
Bangladesh,2010,23.87
Bangladesh,2015,25.6
Bangladesh,2020,27.47
Bangladesh,2025,29.41
Bangladesh,2030,31.51
Bangladesh,2035,33.64
Bangladesh,2040,35.78
Bangladesh,2045,37.77
Bangladesh,2050,39.63
Bangladesh,2055,41.34
Bangladesh,2060,42.93
Bangladesh,2065,44.39
Bangladesh,2070,45.66
Bangladesh,2075,46.7
Bangladesh,2080,47.51
Bangladesh,2085,48.13
Bangladesh,2090,48.55
Bangladesh,2095,48.83
Bangladesh,2100,49
Barbados,1950,24.56
Barbados,1955,24.24
Barbados,1960,22.36
Barbados,1965,20.66
Barbados,1970,21.18
Barbados,1975,23.68
Barbados,1980,24.33
Barbados,1985,26.26
Barbados,1990,28.32
Barbados,1995,31.06
Barbados,2000,33.46
Barbados,2005,35.2
Barbados,2010,36.97
Barbados,2015,38.54
Barbados,2020,39.82
Barbados,2025,41.02
Barbados,2030,41.89
Barbados,2035,42.51
Barbados,2040,42.91
Barbados,2045,43.16
Barbados,2050,43.38
Barbados,2055,43.58
Barbados,2060,43.82
Barbados,2065,44.09
Barbados,2070,44.37
Barbados,2075,44.65
Barbados,2080,44.94
Barbados,2085,45.24
Barbados,2090,45.55
Barbados,2095,45.85
Barbados,2100,46.12
Belarus,1950,27.22
Belarus,1955,27.73
Belarus,1960,28.2
Belarus,1965,28.81
Belarus,1970,30.09
Belarus,1975,30.48
Belarus,1980,31.29
Belarus,1985,31.96
Belarus,1990,33.09
Belarus,1995,34.66
Belarus,2000,36.51
Belarus,2005,38.06
Belarus,2010,38.92
Belarus,2015,39.58
Belarus,2020,40.15
Belarus,2025,41.31
Belarus,2030,42.79
Belarus,2035,44.22
Belarus,2040,44.71
Belarus,2045,43.19
Belarus,2050,42.16
Belarus,2055,42.23
Belarus,2060,42.72
Belarus,2065,43.05
Belarus,2070,42.97
Belarus,2075,42.43
Belarus,2080,42.03
Belarus,2085,42.17
Belarus,2090,42.69
Belarus,2095,43.28
Belarus,2100,43.64
Belgium,1950,35.53
Belgium,1955,34.48
Belgium,1960,34.98
Belgium,1965,34.75
Belgium,1970,34.5
Belgium,1975,34.18
Belgium,1980,34.2
Belgium,1985,35.32
Belgium,1990,36.46
Belgium,1995,37.63
Belgium,2000,39.07
Belgium,2005,40.27
Belgium,2010,41
Belgium,2015,41.55
Belgium,2020,42.03
Belgium,2025,42.8
Belgium,2030,43.61
Belgium,2035,44.34
Belgium,2040,44.86
Belgium,2045,44.81
Belgium,2050,44.62
Belgium,2055,44.72
Belgium,2060,44.94
Belgium,2065,45.2
Belgium,2070,45.4
Belgium,2075,45.52
Belgium,2080,45.61
Belgium,2085,45.8
Belgium,2090,46.13
Belgium,2095,46.53
Belgium,2100,46.94
Belize,1950,20.79
Belize,1955,18.62
Belize,1960,17.79
Belize,1965,16.54
Belize,1970,16.33
Belize,1975,15.97
Belize,1980,16.38
Belize,1985,17.22
Belize,1990,17.92
Belize,1995,18.43
Belize,2000,19.2
Belize,2005,20.24
Belize,2010,21.89
Belize,2015,23.45
Belize,2020,25.03
Belize,2025,26.73
Belize,2030,28.39
Belize,2035,30.02
Belize,2040,31.41
Belize,2045,32.75
Belize,2050,34.05
Belize,2055,35.38
Belize,2060,36.7
Belize,2065,37.93
Belize,2070,39.04
Belize,2075,39.97
Belize,2080,40.76
Belize,2085,41.46
Belize,2090,42.12
Belize,2095,42.76
Belize,2100,43.36
Benin,1950,24.17
Benin,1955,22.28
Benin,1960,20.92
Benin,1965,19.99
Benin,1970,18.92
Benin,1975,18.07
Benin,1980,17.49
Benin,1985,17.12
Benin,1990,16.93
Benin,1995,17.22
Benin,2000,17.18
Benin,2005,17.59
Benin,2010,18.07
Benin,2015,18.64
Benin,2020,19.33
Benin,2025,20.16
Benin,2030,21.12
Benin,2035,22.08
Benin,2040,23.07
Benin,2045,24.08
Benin,2050,25.12
Benin,2055,26.22
Benin,2060,27.3
Benin,2065,28.35
Benin,2070,29.37
Benin,2075,30.38
Benin,2080,31.38
Benin,2085,32.35
Benin,2090,33.29
Benin,2095,34.21
Benin,2100,35.12
Bhutan,1950,17.99
Bhutan,1955,18.99
Bhutan,1960,19.14
Bhutan,1965,19.13
Bhutan,1970,19.16
Bhutan,1975,19.16
Bhutan,1980,18.92
Bhutan,1985,18.32
Bhutan,1990,18.14
Bhutan,1995,17.83
Bhutan,2000,19.07
Bhutan,2005,21.83
Bhutan,2010,24.24
Bhutan,2015,26.75
Bhutan,2020,29.11
Bhutan,2025,31.41
Bhutan,2030,33.67
Bhutan,2035,35.87
Bhutan,2040,37.96
Bhutan,2045,39.94
Bhutan,2050,41.86
Bhutan,2055,43.54
Bhutan,2060,44.91
Bhutan,2065,46.19
Bhutan,2070,47.21
Bhutan,2075,47.98
Bhutan,2080,48.47
Bhutan,2085,48.75
Bhutan,2090,48.88
Bhutan,2095,48.97
Bhutan,2100,49.04
Bolivia,1950,20.54
Bolivia,1955,19.45
Bolivia,1960,18.79
Bolivia,1965,18.56
Bolivia,1970,18.46
Bolivia,1975,18.61
Bolivia,1980,18.67
Bolivia,1985,18.81
Bolivia,1990,19.15
Bolivia,1995,19.68
Bolivia,2000,20.51
Bolivia,2005,21.57
Bolivia,2010,22.76
Bolivia,2015,24.06
Bolivia,2020,25.37
Bolivia,2025,26.78
Bolivia,2030,28.17
Bolivia,2035,29.55
Bolivia,2040,30.94
Bolivia,2045,32.28
Bolivia,2050,33.62
Bolivia,2055,34.97
Bolivia,2060,36.33
Bolivia,2065,37.63
Bolivia,2070,38.88
Bolivia,2075,40.04
Bolivia,2080,41.13
Bolivia,2085,42.16
Bolivia,2090,43.11
Bolivia,2095,43.99
Bolivia,2100,44.8
Bosnia and Herzegovina,1950,20.04
Bosnia and Herzegovina,1955,20.88
Bosnia and Herzegovina,1960,21.85
Bosnia and Herzegovina,1965,21.98
Bosnia and Herzegovina,1970,22.55
Bosnia and Herzegovina,1975,23.86
Bosnia and Herzegovina,1980,25.72
Bosnia and Herzegovina,1985,27.49
Bosnia and Herzegovina,1990,29.67
Bosnia and Herzegovina,1995,33.1
Bosnia and Herzegovina,2000,35.8
Bosnia and Herzegovina,2005,37.89
Bosnia and Herzegovina,2010,39.69
Bosnia and Herzegovina,2015,41.51
Bosnia and Herzegovina,2020,43.26
Bosnia and Herzegovina,2025,45.01
Bosnia and Herzegovina,2030,47.15
Bosnia and Herzegovina,2035,49.22
Bosnia and Herzegovina,2040,51.07
Bosnia and Herzegovina,2045,52.29
Bosnia and Herzegovina,2050,53.19
Bosnia and Herzegovina,2055,53.83
Bosnia and Herzegovina,2060,53.68
Bosnia and Herzegovina,2065,53.89
Bosnia and Herzegovina,2070,54.03
Bosnia and Herzegovina,2075,53.81
Bosnia and Herzegovina,2080,53.23
Bosnia and Herzegovina,2085,52.49
Bosnia and Herzegovina,2090,51.84
Bosnia and Herzegovina,2095,51.52
Bosnia and Herzegovina,2100,51.41
Botswana,1950,19.17
Botswana,1955,18.56
Botswana,1960,17.24
Botswana,1965,15.88
Botswana,1970,15.92
Botswana,1975,16.29
Botswana,1980,16.62
Botswana,1985,16.74
Botswana,1990,17.43
Botswana,1995,18.67
Botswana,2000,19.87
Botswana,2005,21.18
Botswana,2010,22.86
Botswana,2015,24.25
Botswana,2020,25.48
Botswana,2025,26.72
Botswana,2030,27.96
Botswana,2035,29.19
Botswana,2040,30.49
Botswana,2045,32.05
Botswana,2050,33.57
Botswana,2055,35.01
Botswana,2060,36.29
Botswana,2065,37.41
Botswana,2070,38.37
Botswana,2075,39.24
Botswana,2080,40.07
Botswana,2085,40.9
Botswana,2090,41.66
Botswana,2095,42.33
Botswana,2100,42.87
Brazil,1950,19.21
Brazil,1955,18.85
Brazil,1960,18.5
Brazil,1965,18.1
Brazil,1970,18.51
Brazil,1975,19.33
Brazil,1980,20.16
Brazil,1985,21.22
Brazil,1990,22.42
Brazil,1995,23.82
Brazil,2000,25.24
Brazil,2005,26.99
Brazil,2010,29.06
Brazil,2015,31.27
Brazil,2020,33.4
Brazil,2025,35.47
Brazil,2030,37.39
Brazil,2035,39.28
Brazil,2040,41.21
Brazil,2045,43.07
Brazil,2050,44.81
Brazil,2055,46.07
Brazil,2060,47.17
Brazil,2065,48.1
Brazil,2070,48.85
Brazil,2075,49.41
Brazil,2080,49.79
Brazil,2085,50.03
Brazil,2090,50.16
Brazil,2095,50.2
Brazil,2100,50.21
Brunei,1950,22.37
Brunei,1955,21.15
Brunei,1960,19.42
Brunei,1965,17.64
Brunei,1970,18.4
Brunei,1975,19.76
Brunei,1980,20.36
Brunei,1985,21.45
Brunei,1990,23.36
Brunei,1995,24.16
Brunei,2000,25.56
Brunei,2005,26.87
Brunei,2010,28.07
Brunei,2015,30.55
Brunei,2020,33.02
