Entity,Year,"Air pollution death rates (indoor solid fuels) per 100,000- IHME"
Afghanistan,1990,161.1323562
Afghanistan,1995,161.7857139
Afghanistan,2000,158.8649349
Afghanistan,2005,146.4806264
Afghanistan,2010,119.2952739
Afghanistan,2015,100.6437931
Albania,1990,68.80777073
Albania,1995,65.47722151
Albania,2000,57.9188054
Albania,2005,49.44268731
Albania,2010,33.24412974
Albania,2015,25.88810457
Algeria,1990,5.752755169
Algeria,1995,3.643571836
Algeria,2000,2.211572973
Algeria,2005,0.968098721
Algeria,2010,0.352195002
Algeria,2015,0.247115713
American Samoa,1990,12.24020089
American Samoa,1995,9.21256069
American Samoa,2000,7.239331171
American Samoa,2005,5.650442836
American Samoa,2010,4.141076715
American Samoa,2015,3.194411329
Andorra,1990,0
Andorra,1995,0
Andorra,2000,0
Andorra,2005,0
Andorra,2010,0
Andorra,2015,0
Angola,1990,158.2460478
Angola,1995,138.5322539
Angola,2000,121.5069904
Angola,2005,91.96875617
Angola,2010,80.23030241
Angola,2015,66.55260804
Antigua and Barbuda,1990,6.793802459
Antigua and Barbuda,1995,5.172382953
Antigua and Barbuda,2000,3.449655924
Antigua and Barbuda,2005,2.802688141
Antigua and Barbuda,2010,2.34345498
Antigua and Barbuda,2015,2.038544881
Argentina,1990,8.209164662
Argentina,1995,6.727996515
Argentina,2000,5.424343544
Argentina,2005,3.924051998
Argentina,2010,2.687670167
Argentina,2015,1.811827133
Armenia,1990,68.97822022
Armenia,1995,82.30728563
Armenia,2000,44.55349117
Armenia,2005,13.42694886
Armenia,2010,5.59038599
Armenia,2015,5.483964196
Australia,1990,0
Australia,1995,0
Australia,2000,0
Australia,2005,0
Australia,2010,0
Australia,2015,0
Austria,1990,0
Austria,1995,0
Austria,2000,0
Austria,2005,0
Austria,2010,0
Austria,2015,0
Azerbaijan,1990,83.38531479
Azerbaijan,1995,72.41820567
Azerbaijan,2000,44.49060943
Azerbaijan,2005,24.60389223
Azerbaijan,2010,17.71900134
Azerbaijan,2015,13.35360139
Bahamas,1990,4.250254642
Bahamas,1995,2.933237738
Bahamas,2000,2.291392229
Bahamas,2005,1.733335557
Bahamas,2010,1.28996744
Bahamas,2015,1.032076671
Bahrain,1990,0.629465103
Bahrain,1995,0.384678015
Bahrain,2000,0.320523759
Bahrain,2005,0.196857991
Bahrain,2010,0.115158264
Bahrain,2015,0.08738981
Bangladesh,1990,98.24116714
Bangladesh,1995,85.00998956
Bangladesh,2000,80.45900031
Bangladesh,2005,79.32915469
Bangladesh,2010,79.24707606
Bangladesh,2015,76.22127887
Barbados,1990,1.30433009
Barbados,1995,0.932874082
Barbados,2000,0.656750217
Barbados,2005,0.411144629
Barbados,2010,0.25906113
Barbados,2015,0.191108211
Belarus,1990,47.14595561
Belarus,1995,39.91809208
Belarus,2000,24.54150526
Belarus,2005,11.72905322
Belarus,2010,4.412837006
Belarus,2015,2.747910366
Belgium,1990,0
Belgium,1995,0
Belgium,2000,0
Belgium,2005,0
Belgium,2010,0
Belgium,2015,0
Belize,1990,27.39463816
Belize,1995,24.02155515
Belize,2000,17.17987179
Belize,2005,12.34223455
Belize,2010,11.64571368
Belize,2015,9.504158515
Benin,1990,133.251131
Benin,1995,123.0778755
Benin,2000,110.0321882
Benin,2005,91.17943118
Benin,2010,83.20569759
Benin,2015,78.79600744
Bermuda,1990,6.808773469
Bermuda,1995,5.02426301
Bermuda,2000,3.951291728
Bermuda,2005,2.910580042
Bermuda,2010,2.232822226
Bermuda,2015,1.835046896
Bhutan,1990,68.68177443
Bhutan,1995,61.16192672
Bhutan,2000,51.07845063
Bhutan,2005,36.71808227
Bhutan,2010,30.149534
Bhutan,2015,30.48570652
Bolivia,1990,66.59112987
Bolivia,1995,49.73420873
Bolivia,2000,39.7881231
Bolivia,2005,33.77616522
Bolivia,2010,27.28402906
Bolivia,2015,20.56909434
Bosnia and Herzegovina,1990,71.45868149
Bosnia and Herzegovina,1995,76.10564353
Bosnia and Herzegovina,2000,63.47812014
Bosnia and Herzegovina,2005,56.31766398
Bosnia and Herzegovina,2010,67.04344414
Bosnia and Herzegovina,2015,64.49158536
Botswana,1990,66.5179803
Botswana,1995,61.7193291
Botswana,2000,69.60137398
Botswana,2005,65.51990518
Botswana,2010,51.47260963
Botswana,2015,41.91591579
Brazil,1990,27.74173045
Brazil,1995,22.73252321
Brazil,2000,17.45566988
Brazil,2005,13.24226178
Brazil,2010,10.0511701
Brazil,2015,8.396105841
Brunei,1990,0
Brunei,1995,0
Brunei,2000,0
Brunei,2005,0
Brunei,2010,0
Brunei,2015,0
Bulgaria,1990,50.62214332
Bulgaria,1995,45.55797495
Bulgaria,2000,37.92406351
Bulgaria,2005,32.95324277
Bulgaria,2010,25.66428448
Bulgaria,2015,19.43935786
