Entity,Year,Medium Projection (UN Population Division (2015 revision))
Afghanistan,2020,38928000
Afghanistan,2021,39835000
Afghanistan,2022,40754000
Afghanistan,2023,41681000
Afghanistan,2024,42609000
Afghanistan,2025,43532000
Afghanistan,2026,44449000
Afghanistan,2027,45364000
Afghanistan,2028,46275000
Afghanistan,2029,47185000
Afghanistan,2030,48094000
Afghanistan,2031,49000000
Afghanistan,2032,49904000
Afghanistan,2033,50804000
Afghanistan,2034,51699000
Afghanistan,2035,52587000
Afghanistan,2036,53469000
Afghanistan,2037,54343000
Afghanistan,2038,55209000
Afghanistan,2039,56065000
Afghanistan,2040,56912000
Afghanistan,2041,57748000
Afghanistan,2042,58574000
Afghanistan,2043,59387000
Afghanistan,2044,60188000
Afghanistan,2045,60974000
Afghanistan,2046,61746000
Afghanistan,2047,62503000
Afghanistan,2048,63245000
Afghanistan,2049,63972000
Afghanistan,2050,64683000
Afghanistan,2051,65379000
Afghanistan,2052,66058000
Afghanistan,2053,66720000
Afghanistan,2054,67365000
Afghanistan,2055,67992000
Afghanistan,2056,68601000
Afghanistan,2057,69191000
Afghanistan,2058,69762000
Afghanistan,2059,70314000
Afghanistan,2060,70845000
Afghanistan,2061,71355000
Afghanistan,2062,71845000
Afghanistan,2063,72313000
Afghanistan,2064,72760000
Afghanistan,2065,73185000
Afghanistan,2066,73588000
Afghanistan,2067,73969000
Afghanistan,2068,74327000
Afghanistan,2069,74663000
Afghanistan,2070,74975000
Afghanistan,2071,75265000
Afghanistan,2072,75533000
Afghanistan,2073,75777000
Afghanistan,2074,75999000
Afghanistan,2075,76199000
Afghanistan,2076,76377000
Afghanistan,2077,76533000
Afghanistan,2078,76667000
Afghanistan,2079,76779000
Afghanistan,2080,76870000
Afghanistan,2081,76940000
Afghanistan,2082,76989000
Afghanistan,2083,77018000
Afghanistan,2084,77027000
Afghanistan,2085,77016000
Afghanistan,2086,76987000
Afghanistan,2087,76939000
Afghanistan,2088,76874000
Afghanistan,2089,76792000
Afghanistan,2090,76693000
Afghanistan,2091,76578000
Afghanistan,2092,76449000
Afghanistan,2093,76304000
Afghanistan,2094,76146000
Afghanistan,2095,75974000
Afghanistan,2096,75790000
Afghanistan,2097,75593000
Afghanistan,2098,75385000
Afghanistan,2099,75166000
Afghanistan,2100,74938000
Africa,2020,1340598000
Africa,2021,1373487000
Africa,2022,1406729000
Africa,2023,1440353000
Africa,2024,1474410000
Africa,2025,1508935000
Africa,2026,1543926000
Africa,2027,1579365000
Africa,2028,1615247000
Africa,2029,1651569000
Africa,2030,1688321000
Africa,2031,1725498000
Africa,2032,1763089000
Africa,2033,1801081000
Africa,2034,1839455000
Africa,2035,1878194000
Africa,2036,1917281000
Africa,2037,1956702000
Africa,2038,1996434000
Africa,2039,2036458000
Africa,2040,2076750000
Africa,2041,2117291000
Africa,2042,2158061000
Africa,2043,2199032000
Africa,2044,2240172000
Africa,2045,2281452000
Africa,2046,2322852000
Africa,2047,2364351000
Africa,2048,2405933000
Africa,2049,2447580000
Africa,2050,2489275000
Africa,2051,2531002000
Africa,2052,2572740000
Africa,2053,2614472000
Africa,2054,2656178000
Africa,2055,2697840000
Africa,2056,2739442000
Africa,2057,2780967000
Africa,2058,2822404000
Africa,2059,2863745000
Africa,2060,2904977000
Africa,2061,2946088000
Africa,2062,2987058000
Africa,2063,3027869000
Africa,2064,3068500000
Africa,2065,3108931000
Africa,2066,3149145000
Africa,2067,3189127000
Africa,2068,3228861000
Africa,2069,3268333000
Africa,2070,3307528000
Africa,2071,3346428000
Africa,2072,3385017000
Africa,2073,3423279000
Africa,2074,3461197000
Africa,2075,3498757000
Africa,2076,3535942000
Africa,2077,3572737000
Africa,2078,3609122000
Africa,2079,3645073000
Africa,2080,3680571000
Africa,2081,3715601000
Africa,2082,3750151000
Africa,2083,3784211000
Africa,2084,3817772000
Africa,2085,3850826000
Africa,2086,3883362000
Africa,2087,3915371000
Africa,2088,3946842000
Africa,2089,3977767000
Africa,2090,4008138000
Africa,2091,4037947000
Africa,2092,4067188000
Africa,2093,4095856000
Africa,2094,4123946000
Africa,2095,4151453000
Africa,2096,4178373000
Africa,2097,4204704000
Africa,2098,4230441000
Africa,2099,4255583000
Africa,2100,4280127000
Albania,2020,2878000
Albania,2021,2873000
Albania,2022,2866000
Albania,2023,2858000
Albania,2024,2850000
Albania,2025,2840000
Albania,2026,2831000
Albania,2027,2821000
Albania,2028,2810000
Albania,2029,2799000
Albania,2030,2787000
Albania,2031,2775000
Albania,2032,2763000
Albania,2033,2750000
Albania,2034,2736000
Albania,2035,2721000
Albania,2036,2705000
Albania,2037,2689000
Albania,2038,2671000
Albania,2039,2653000
Albania,2040,2634000
Albania,2041,2615000
Albania,2042,2595000
Albania,2043,2575000
Albania,2044,2555000
Albania,2045,2534000
Albania,2046,2512000
Albania,2047,2491000
Albania,2048,2469000
Albania,2049,2446000
Albania,2050,2424000
Albania,2051,2401000
Albania,2052,2379000
Albania,2053,2356000
Albania,2054,2332000
Albania,2055,2309000
Albania,2056,2286000
Albania,2057,2262000
Albania,2058,2239000
Albania,2059,2215000
Albania,2060,2191000
Albania,2061,2167000
Albania,2062,2143000
Albania,2063,2119000
Albania,2064,2094000
Albania,2065,2069000
Albania,2066,2045000
Albania,2067,2019000
Albania,2068,1994000
Albania,2069,1968000
Albania,2070,1942000
Albania,2071,1916000
Albania,2072,1889000
Albania,2073,1862000
Albania,2074,1834000
Albania,2075,1806000
Albania,2076,1777000
Albania,2077,1749000
Albania,2078,1719000
Albania,2079,1690000
Albania,2080,1660000
Albania,2081,1630000
Albania,2082,1599000
Albania,2083,1569000
Albania,2084,1538000
Albania,2085,1508000
Albania,2086,1478000
Albania,2087,1448000
Albania,2088,1418000
Albania,2089,1388000
Albania,2090,1359000
Albania,2091,1330000
Albania,2092,1301000
Albania,2093,1273000
Albania,2094,1246000
Albania,2095,1218000
Albania,2096,1192000
Albania,2097,1165000
Albania,2098,1139000
Albania,2099,1114000
Albania,2100,1088000
Algeria,2020,43851000
Algeria,2021,44617000
Algeria,2022,45350000
Algeria,2023,46053000
Algeria,2024,46731000
Algeria,2025,47388000
Algeria,2026,48022000
Algeria,2027,48634000
Algeria,2028,49226000
Algeria,2029,49801000
Algeria,2030,50361000
Algeria,2031,50908000
Algeria,2032,51444000
Algeria,2033,51971000
Algeria,2034,52494000
Algeria,2035,53016000
Algeria,2036,53537000
Algeria,2037,54059000
Algeria,2038,54583000
Algeria,2039,55110000
Algeria,2040,55640000
Algeria,2041,56174000
Algeria,2042,56711000
Algeria,2043,57250000
Algeria,2044,57789000
Algeria,2045,58326000
Algeria,2046,58859000
Algeria,2047,59388000
Algeria,2048,59911000
Algeria,2049,60423000
Algeria,2050,60923000
Algeria,2051,61409000
Algeria,2052,61881000
Algeria,2053,62336000
Algeria,2054,62772000
Algeria,2055,63190000
Algeria,2056,63587000
Algeria,2057,63964000
Algeria,2058,64321000
Algeria,2059,64660000
Algeria,2060,64979000
Algeria,2061,65281000
Algeria,2062,65565000
Algeria,2063,65833000
Algeria,2064,66086000
Algeria,2065,66326000
Algeria,2066,66553000
Algeria,2067,66768000
Algeria,2068,66972000
Algeria,2069,67168000
Algeria,2070,67357000
Algeria,2071,67541000
Algeria,2072,67718000
Algeria,2073,67891000
Algeria,2074,68060000
Algeria,2075,68227000
Algeria,2076,68390000
Algeria,2077,68551000
Algeria,2078,68710000
Algeria,2079,68866000
Algeria,2080,69019000
Algeria,2081,69169000
Algeria,2082,69315000
Algeria,2083,69458000
Algeria,2084,69596000
Algeria,2085,69730000
Algeria,2086,69858000
Algeria,2087,69981000
Algeria,2088,70097000
Algeria,2089,70206000
Algeria,2090,70306000
Algeria,2091,70396000
Algeria,2092,70477000
Algeria,2093,70547000
Algeria,2094,70607000
Algeria,2095,70656000
Algeria,2096,70692000
Algeria,2097,70716000
Algeria,2098,70727000
Algeria,2099,70723000
Algeria,2100,70705000
American Samoa,2020,55000
American Samoa,2021,55000
American Samoa,2022,55000
American Samoa,2023,55000
American Samoa,2024,55000
American Samoa,2025,55000
American Samoa,2026,55000
American Samoa,2027,55000
American Samoa,2028,55000
American Samoa,2029,55000
American Samoa,2030,55000
American Samoa,2031,55000
American Samoa,2032,55000
American Samoa,2033,55000
American Samoa,2034,55000
American Samoa,2035,55000
American Samoa,2036,54000
American Samoa,2037,54000
American Samoa,2038,54000
American Samoa,2039,54000
American Samoa,2040,54000
American Samoa,2041,54000
American Samoa,2042,54000
American Samoa,2043,54000
American Samoa,2044,54000
American Samoa,2045,54000
American Samoa,2046,54000
American Samoa,2047,54000
American Samoa,2048,54000
American Samoa,2049,54000
American Samoa,2050,54000
American Samoa,2051,53000
American Samoa,2052,53000
American Samoa,2053,53000
American Samoa,2054,53000
American Samoa,2055,53000
American Samoa,2056,53000
American Samoa,2057,53000
American Samoa,2058,53000
American Samoa,2059,52000
American Samoa,2060,52000
American Samoa,2061,52000
American Samoa,2062,52000
American Samoa,2063,52000
American Samoa,2064,51000
American Samoa,2065,51000
American Samoa,2066,51000
American Samoa,2067,51000
American Samoa,2068,51000
American Samoa,2069,50000
American Samoa,2070,50000
American Samoa,2071,50000
American Samoa,2072,49000
American Samoa,2073,49000
American Samoa,2074,49000
American Samoa,2075,48000
American Samoa,2076,48000
American Samoa,2077,48000
American Samoa,2078,47000
American Samoa,2079,47000
American Samoa,2080,46000
American Samoa,2081,46000
American Samoa,2082,45000
American Samoa,2083,45000
American Samoa,2084,45000
American Samoa,2085,44000
American Samoa,2086,44000
American Samoa,2087,43000
American Samoa,2088,43000
American Samoa,2089,42000
American Samoa,2090,42000
American Samoa,2091,41000
American Samoa,2092,40000
American Samoa,2093,40000
American Samoa,2094,39000
American Samoa,2095,39000
American Samoa,2096,38000
American Samoa,2097,38000
American Samoa,2098,37000
American Samoa,2099,37000
American Samoa,2100,36000
Andorra,2020,77000
Andorra,2021,77000
Andorra,2022,77000
Andorra,2023,78000
Andorra,2024,78000
Andorra,2025,78000
Andorra,2026,78000
Andorra,2027,78000
Andorra,2028,78000
Andorra,2029,78000
Andorra,2030,78000
Andorra,2031,78000
Andorra,2032,78000
Andorra,2033,78000
Andorra,2034,78000
Andorra,2035,78000
Andorra,2036,78000
Andorra,2037,78000
Andorra,2038,78000
Andorra,2039,78000
Andorra,2040,78000
Andorra,2041,78000
Andorra,2042,78000
Andorra,2043,78000
Andorra,2044,77000
Andorra,2045,77000
Andorra,2046,77000
Andorra,2047,77000
Andorra,2048,77000
Andorra,2049,76000
Andorra,2050,76000
Andorra,2051,76000
