Entity,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)),Closing the poverty gap including/excluding China (PovcalNet (World Bank) (2017))
Albania,1981,0,
Albania,1984,0.201115,
Albania,1987,0.427196,
Albania,1990,0.6844845,
Albania,1993,1.5680035,
Albania,1996,4.1769505,
Albania,1999,10.9996035,
Albania,2002,8.2491825,
Albania,2005,3.757383,
Albania,2008,1.4320775,
Albania,2010,3.0271275,
Albania,2011,3.62007,
Albania,2012,4.42453,
Albania,2013,4.0223,
Angola,1981,1137.68675,
Angola,1984,1235.350968,
Angola,1987,1315.899606,
Angola,1990,1390.129766,
Angola,1993,1494.336463,
Angola,1996,1597.972409,
Angola,1999,1696.96676,
Angola,2002,1826.668598,
Angola,2005,1981.083308,
Angola,2008,1312.612416,
Angola,2010,1433.345218,
Angola,2011,1466.763596,
Angola,2012,1463.402895,
Angola,2013,1392.07642,
Argentina,1981,36.281146,
Argentina,1984,15.803478,
Argentina,1987,0,
Argentina,1990,102.668514,
Argentina,1993,259.4556875,
Argentina,1996,625.14864,
Argentina,1999,576.50655,
Argentina,2002,1314.964768,
Argentina,2005,555.078787,
Argentina,2008,362.8648595,
Argentina,2010,252.260625,
Argentina,2011,218.499658,
Argentina,2012,205.2142785,
Argentina,2013,256.282925,
Armenia,1981,19.4422725,
Armenia,1984,29.4328335,
Armenia,1987,44.390935,
Armenia,1990,63.338742,
Armenia,1993,202.859846,
Armenia,1996,105.962639,
Armenia,1999,87.2166405,
Armenia,2002,68.3201525,
Armenia,2005,18.9956585,
Armenia,2008,6.613216,
Armenia,2010,8.416316,
Armenia,2011,8.650719,
Armenia,2012,6.819879,
Armenia,2013,11.611964,
Azerbaijan,1981,9.550882,
Azerbaijan,1984,10.935108,
Azerbaijan,1987,12.423359,
Azerbaijan,1990,13.903288,
Azerbaijan,1993,49.932,
Azerbaijan,1996,101.711484,
Azerbaijan,1999,52.574235,
Azerbaijan,2002,0,
Azerbaijan,2005,0,
Azerbaijan,2008,9.720096,
Azerbaijan,2010,13.1799675,
Azerbaijan,2011,8.903153,
Azerbaijan,2012,8.384415,
Azerbaijan,2013,8.492601,
Bangladesh,1981,5020.77356,
Bangladesh,1984,5394.808624,
Bangladesh,1987,6357.460135,
Bangladesh,1990,7599.603242,
Bangladesh,1993,7182.629432,
Bangladesh,1996,6964.244895,
Bangladesh,1999,7375.199125,
Bangladesh,2002,6698.313305,
Bangladesh,2005,4658.731885,
Bangladesh,2008,3752.615188,
Bangladesh,2010,3480.414357,
Bangladesh,2011,2766.13571,
Bangladesh,2012,2433.405506,
Bangladesh,2013,2016.32351,
Belarus,1981,4.040331,
Belarus,1984,4.8108095,
Belarus,1987,5.609028,
Belarus,1990,4.240059,
Belarus,1993,1.420288,
Belarus,1996,23.956264,
Belarus,1999,179.638692,
Belarus,2002,31.486287,
Belarus,2005,4.689447,
Belarus,2008,0,
Belarus,2010,0,
Belarus,2011,0,
Belarus,2012,0,
Belarus,2013,0,
Belize,1981,6.761625,
Belize,1984,9.575848,
Belize,1987,9.950338,
Belize,1990,8.1562535,
Belize,1993,6.96274,
Belize,1996,7.8205995,
Belize,1999,10.352568,
Belize,2002,9.574461,
Belize,2005,11.16535,
Belize,2008,13.8665325,
Belize,2010,13.492736,
Belize,2011,13.5253305,
Belize,2012,13.699399,
Belize,2013,13.157082,
Benin,1981,531.688419,
Benin,1984,612.477008,
Benin,1987,680.30963,
Benin,1990,753.8345,
Benin,1993,816.51303,
