Entity,Year,"US Health Expenditure, Public (US Census and WDI (2013))"
United States,1929,0.474787613
United States,1935,0.768392371
United States,1940,0.811637823
United States,1948,0.928797588
United States,1950,1.222555678
United States,1955,1.129444914
United States,1960,1.307707752
United States,1965,1.468147672
United States,1970,2.714540323
United States,1980,3.841105982
United States,1985,4.37660795
United States,1989,4.862763781
United States,1995,5.932704075
United States,2000,5.658535077
United States,2005,6.729479438
United States,2010,8.102272048
United States,2013,8.050917655
