Entity,Year,Growth rate (UN Population Division (2015 revision))
Least developed countries,1955,1.95
Least developed countries,1960,2.22
Least developed countries,1965,2.39
Least developed countries,1970,2.56
Least developed countries,1975,2.35
Least developed countries,1980,2.48
Least developed countries,1985,2.55
Least developed countries,1990,2.66
Least developed countries,1995,2.75
Least developed countries,2000,2.54
Least developed countries,2005,2.50
Least developed countries,2010,2.36
Least developed countries,2015,2.38
Less developed regions,1955,2.03
Less developed regions,1960,2.08
Less developed regions,1965,2.28
Less developed regions,1970,2.53
Less developed regions,1975,2.39
Less developed regions,1980,2.16
Less developed regions,1985,2.15
Less developed regions,1990,2.16
Less developed regions,1995,1.84
Less developed regions,2000,1.57
Less developed regions,2005,1.46
Less developed regions,2010,1.40
Less developed regions,2015,1.36
More developed regions,1955,1.19
More developed regions,1960,1.17
More developed regions,1965,1.08
More developed regions,1970,0.85
More developed regions,1975,0.77
More developed regions,1980,0.65
More developed regions,1985,0.58
More developed regions,1990,0.55
More developed regions,1995,0.44
More developed regions,2000,0.32
More developed regions,2005,0.34
More developed regions,2010,0.40
More developed regions,2015,0.29
