Entity,Year,"Change in Global Hunger Index, 1992-2017 (Global Hunger Index 2017)"
Afghanistan,1992,-16.9
Albania,1992,-9.7
Algeria,1992,-8
Angola,1992,-33.3
Argentina,1992,-1.6
Bangladesh,1992,-27.1
Benin,1992,-20.1
Bolivia,1992,-19.5
Botswana,1992,-9.4
Brazil,1992,-10.5
Bulgaria,1992,-2.5
Burkina Faso,1992,-19.4
Cambodia,1992,-23.6
Cameroon,1992,-17.9
Central African Republic,1992,-1.3
Chad,1992,-19
Chile,1992,-3.4
China,1992,-18.4
Colombia,1992,-6.6
Congo,1992,-13.5
Costa Rica,1992,-2.2
Cote d'Ivoire,1992,-6.4
Cuba,1992,-8
Djibouti,1992,-28.9
Dominican Republic,1992,-12.2
Ecuador,1992,-7.9
Egypt,1992,-5.4
El Salvador,1992,-8.4
Fiji,1992,-3.4
Gabon,1992,-10.4
Gambia,1992,-12
Ghana,1992,-25.7
Guatemala,1992,-7.8
Guinea,1992,-17.9
Guinea-Bissau,1992,-13.9
Guyana,1992,-8.6
Haiti,1992,-17.4
Honduras,1992,-11.6
India,1992,-14.8
Indonesia,1992,-13
Iran,1992,-9.9
Iraq,1992,1.1
Jamaica,1992,-4
Jordan,1992,-6.7
Kenya,1992,-18.1
Kuwait,1992,-17.5
Laos,1992,-24.8
Lebanon,1992,-3.3
Lesotho,1992,-2.4
Liberia,1992,-15.9
Madagascar,1992,-5.6
Malawi,1992,-31
Malaysia,1992,-9.6
Mali,1992,-22.8
Mauritania,1992,-14.2
Mauritius,1992,-4.1
Mexico,1992,-7.5
Mongolia,1992,-24.1
Morocco,1992,-8.5
Mozambique,1992,-33.1
Myanmar,1992,-33
Namibia,1992,-9.7
Nepal,1992,-20.5
Nicaragua,1992,-22.5
Niger,1992,-31.7
Nigeria,1992,-23.3
North Korea,1992,-3.7
Oman,1992,-9.5
Pakistan,1992,-10.1
Panama,1992,-10.7
Paraguay,1992,-5.7
Peru,1992,-20
Philippines,1992,-10.5
Romania,1992,-4.1
Rwanda,1992,-21.9
Saudi Arabia,1992,-7.2
Senegal,1992,-19.1
Sierra Leone,1992,-18.7
South Africa,1992,-5.3
Sri Lanka,1992,-6.1
Suriname,1992,-7.1
Swaziland,1992,-2.8
Tanzania,1992,-14.1
Thailand,1992,-15.2
Togo,1992,-23.3
Trinidad and Tobago,1992,-7.6
Tunisia,1992,-8
Turkey,1992,-11.8
Uganda,1992,-9.2
Uruguay,1992,-7.2
Venezuela,1992,-2.2
Vietnam,1992,-24.2
Yemen,1992,-7.4
Zambia,1992,-10.3
Zimbabwe,1992,-2
