Entity,Year,World Population over 12000 years (various sources (2016))
Biraben (1980),1,252000000
Biraben (1980),1000,253000000
Biraben (1980),1500,461000000
Biraben (1980),1700,679000000
Biraben (1980),1750,770000000
Biraben (1980),1800,954000000
Biraben (1980),1850,1241000000
Biraben (1980),1900,1633000000
Braudel (1981),1700,410000000
Clark (1967),-8000,7500000
Clark (1967),1,256000000
Clark (1967),600,237000000
Clark (1967),1000,280200000
Clark (1967),1500,427800000
Clark (1967),1600,498000000
Clark (1967),1700,640800000
Clark (1967),1750,731000000
Clark (1967),1800,890000000
Clark (1967),1850,1171000000
"Durand (1974), lower",1,270000000
"Durand (1974), lower",1000,275000000
"Durand (1974), lower",1500,440000000
"Durand (1974), lower",1750,735000000
"Durand (1974), lower",1900,1650000000
"Durand (1974), upper",1,330000000
"Durand (1974), upper",1000,345000000
"Durand (1974), upper",1500,540000000
"Durand (1974), upper",1750,805000000
"Durand (1974), upper",1900,1710000000
Durand (1977),1900,1668000000
Grigg (1987),-8000,7500000
Grigg (1987),1,256000000
Grigg (1987),600,237000000
Grigg (1987),1000,280000000
Grigg (1987),1500,428000000
Grigg (1987),1600,498000000
Grigg (1987),1700,641000000
Grigg (1987),1750,731000000
Grigg (1987),1800,890000000
Grigg (1987),1850,1171000000
Grigg (1987),1900,1668000000
Grigg (1987),1950,2486000000
Grigg (1987),1960,2982000000
Grigg (1987),1970,3632000000
Grigg (1987),1980,4414000000
HYDE 3.1,-10000,2431214.021
HYDE 3.1,-9000,3564407.699
HYDE 3.1,-8000,5136461.796
HYDE 3.1,-7000,7561695.768
HYDE 3.1,-6000,11461003.34
HYDE 3.1,-5000,17920172.32
HYDE 3.1,-4000,28370429.82
HYDE 3.1,-3000,44819892.72
HYDE 3.1,-2000,72108132.52
HYDE 3.1,-1000,115065665.6
HYDE 3.1,1,188239090.4
HYDE 3.1,100,195062192.5
HYDE 3.1,200,202309552.9
HYDE 3.1,300,205316554.4
HYDE 3.1,400,208909833.5
HYDE 3.1,500,210429836.6
HYDE 3.1,600,212642769.1
HYDE 3.1,700,225835011.9
HYDE 3.1,800,240487640.4
HYDE 3.1,900,268747447.9
HYDE 3.1,1000,295040195.2
HYDE 3.1,1100,352606918.8
HYDE 3.1,1200,393081041
HYDE 3.1,1300,392403532.4
HYDE 3.1,1400,389774827.6
HYDE 3.1,1500,461367657.7
HYDE 3.1,1600,553956117
HYDE 3.1,1700,603167544.1
HYDE 3.1,1750,811562143.9
HYDE 3.1,1800,989313102.7
HYDE 3.1,1850,1262675510
HYDE 3.1,1900,1654429527
HYDE 3.1,1910,1777175381
HYDE 3.1,1920,1912110935
HYDE 3.1,1930,2091893626
HYDE 3.1,1940,2307348107
HYDE 3.1,1950,2544876952
HYDE 3.1,1960,3042794825
HYDE 3.1,1970,3709837147
HYDE 3.1,1980,4460709975
HYDE 3.1,1990,5307597268
HYDE 3.1,2000,6144834307
Haub (1995),-8000,5000000
Haub (1995),1,300000000
Haub (1995),1200,450000000
Haub (1995),1700,500000000
Haub (1995),1750,795000000
Haub (1995),1850,1265000000
Haub (1995),1900,1656000000
Kapitsa (1997),1750,728000000
Kapitsa (1997),1800,907000000
Kapitsa (1997),1850,1170000000
Kremer (1993),-10000,4000000
