Entity,Year,Importance (Larson et al (2016)),Safety (Larson et al (2016)),Effectiveness (Larson et al (2016)),Religious compatibility (Larson et al (2016))
Afghanistan,2015,3.6,8.5,5.8,9.3
Algeria,2015,1.2,4.6,7.8,18.9
Argentina,2015,0.5,1.2,1.3,6.2
Armenia,2015,7.6,21.6,13.9,4.8
Australia,2015,3.5,5.4,4.3,4.5
Austria,2015,9.5,14.5,11.8,11.6
Azerbaijan,2015,13.9,13.7,13.3,14.7
Bangladesh,2015,0.3,0.2,5.1,24.6
Belgium,2015,2.6,14,5.1,18.8
Bosnia and Herzegovina,2015,10.9,36.3,26,20.2
Brazil,2015,0.7,6,4.5,3.1
Bulgaria,2015,5,12.1,7,6
Canada,2015,6.3,12,10.5,9.9
China,2015,13.5,15.8,12.6,26.3
Colombia,2015,3,8.8,5.9,18.7
Czech Republic,2015,6.2,10.2,7.3,13
Democratic Republic of Congo,2015,4.6,13.8,8.8,9.3
Denmark,2015,3.4,6.3,4.1,10.5
Ecuador,2015,0.4,3,2.1,13.7
Ethiopia,2015,0.7,4.2,2.1,8.1
Fiji,2015,8.5,13.7,11.6,20.7
Finland,2015,2,4.8,3.4,2.2
France,2015,11.7,41,17.3,10.5
Germany,2015,5.8,10.5,8,8.8
Ghana,2015,4,5.1,8.4,10.1
Greece,2015,11.7,25.4,17,19.4
Hong Kong,2015,12.9,18.5,13.5,19.3
Iceland,2015,1,5.5,2.3,12
India,2015,4.9,8.5,7.5,20.8
Indonesia,2015,2,3.4,7,8.4
Iran,2015,0.4,22.6,8.5,7.7
Ireland,2015,5.4,10.9,6.2,9.5
Italy,2015,15.3,21.4,18.3,18.3
Japan,2015,4.7,25.1,9.9,10.8
Kosovo,2015,1.1,8,4.5,21.7
Latvia,2015,8.4,18.6,14.3,7.8
Lebanon,2015,2.6,12.5,8,9.5
Macedonia,2015,10.2,17.6,11.3,17.3
Mexico,2015,11.9,14.3,13.9,26.4
Mongolia,2015,5.1,26.8,6.6,46.2
Morocco,2015,1.3,5.7,5.2,5.4
Netherlands,2015,5.7,11.2,6.7,16.4
Nigeria,2015,3.9,6.8,11.3,9.7
Pakistan,2015,6.3,7,12.6,8.5
Palestine,2015,9.3,10,10.9,14.2
Panama,2015,1.5,7.3,5.1,22.6
Papua New Guinea,2015,7.6,12.8,9.9,18.5
Peru,2015,2.5,8.3,8,20.5
Philippines,2015,0.5,1.9,2.2,13.9
Poland,2015,8.3,12,10.3,10.6
Portugal,2015,2,4.2,4.4,5.6
Romania,2015,10.5,19.8,15.6,11.9
Russia,2015,16,27.5,18.4,8.8
Saudi Arabia,2015,1.5,1.2,2.4,2.2
Serbia,2015,11.5,16.4,14.1,13.6
Slovenia,2015,13.2,22,16.4,19.4
South Africa,2015,6.4,9.8,9.9,12.1
South Korea,2015,4.7,9,6.4,17.5
Spain,2015,5.8,9,7.1,10.7
Sweden,2015,4.3,8.6,5.9,5.6
Thailand,2015,2.1,5.5,6.5,33.9
Tunisia,2015,1.9,7.6,4.3,16.9
Turkey,2015,3.6,17,8.3,7.5
Ukraine,2015,12.2,25,15.4,11.2
United Kingdom,2015,5.7,8.7,7,9.6
United States,2015,8.8,13.5,9.6,10.5
Vietnam,2015,0.7,20.9,4.6,26
