Entity,Year,Number of executions (Amnesty International)
Afghanistan,2007,15
Afghanistan,2008,17
Afghanistan,2009,0
Afghanistan,2011,2
Afghanistan,2012,14
Afghanistan,2013,2
Afghanistan,2014,6
Afghanistan,2015,1
Afghanistan,2016,6
Bahrain,2007,0
Bahrain,2008,1
Bahrain,2009,0
Bahrain,2010,1
Bangladesh,2007,6
Bangladesh,2008,5
Bangladesh,2009,3
Bangladesh,2010,9
Bangladesh,2011,5
Bangladesh,2012,1
Bangladesh,2013,2
Bangladesh,2015,4
Bangladesh,2016,10
Belarus,2007,1
Belarus,2008,4
Belarus,2009,0
Belarus,2010,2
Belarus,2011,2
Belarus,2012,3
Belarus,2014,3
Belarus,2016,4
Botswana,2007,1
Botswana,2008,1
Botswana,2009,1
Botswana,2010,1
Botswana,2012,2
Botswana,2013,1
Botswana,2016,1
Chad,2007,0
Chad,2008,0
Chad,2009,0
Chad,2015,10
China,2007,470
China,2008,>1000
China,2009,>1000
China,2010,>1000
China,2011,>1000
China,2012,>1000
China,2013,>1000
China,2014,>1000
China,2015,>1000
China,2016,>1000
Egypt,2008,2
Egypt,2009,5
Egypt,2010,4
Egypt,2011,1
Egypt,2014,15
Egypt,2015,22
Egypt,2016,44
Equatorial Guinea,2007,3
Equatorial Guinea,2010,4
Equatorial Guinea,2014,9
Ethiopia,2007,1
Ethiopia,2008,0
Ethiopia,2009,0
Gambia,2007,0
Gambia,2008,0
Gambia,2009,0
Gambia,2012,9
India,2007,0
India,2008,0
India,2009,0
India,2012,1
India,2013,1
India,2015,1
Indonesia,2007,1
Indonesia,2008,10
Indonesia,2009,0
Indonesia,2013,5
Indonesia,2015,14
Indonesia,2016,4
Iran,2007,317
Iran,2008,346
Iran,2009,388
Iran,2010,252
Iran,2011,360
Iran,2012,314
Iran,2013,369
Iran,2014,289
Iran,2015,977
Iran,2016,156
Iraq,2007,33
Iraq,2008,34
Iraq,2009,120
Iraq,2010,1
Iraq,2011,68
Iraq,2012,129
Iraq,2013,169
Iraq,2014,61
Iraq,2015,26
Iraq,2016,88
Jamaica,2007,0
Jamaica,2008,0
Jamaica,2009,0
Japan,2007,9
Japan,2008,15
Japan,2009,7
Japan,2010,2
Japan,2012,7
Japan,2013,8
Japan,2014,3
Japan,2015,3
Japan,2016,3
Jordan,2007,0
Jordan,2008,0
Jordan,2009,0
Jordan,2014,11
Jordan,2015,2
Kenya,2007,0
Kenya,2008,0
Kenya,2009,0
Kuwait,2007,1
Kuwait,2008,0
Kuwait,2009,0
Kuwait,2013,5
Libya,2007,9
Libya,2008,8
Libya,2009,4
Libya,2010,18
Malaysia,2007,0
Malaysia,2008,1
Malaysia,2010,1
Malaysia,2013,2
Malaysia,2014,2
Malaysia,2015,>1
Malaysia,2016,9
Mongolia,2007,0
Mongolia,2008,1
Mongolia,2009,0
Nigeria,2007,0
Nigeria,2008,0
Nigeria,2009,0
Nigeria,2013,4
Nigeria,2016,3
North Korea,2008,15
North Korea,2010,60
North Korea,2011,30
North Korea,2012,6
North Korea,2013,>1
North Korea,2014,>1
