Entity,Year,"Gini coefficient, equivalized income after tax and transfers"
Australia,1981,27.01
Australia,1985,28.06
Australia,1989,29.02
Australia,1994,30.2
Australia,1995,29.6
Australia,1996,29.2
Australia,1997,30.3
Australia,1999,31
Australia,2000,31.1
Australia,2002,30.9
Australia,2003,30.6
Australia,2005,31.4
Australia,2007,33.6
Australia,2009,32.9
Australia,2011,31
Australia,2013,32.3
Canada,1976,30
Canada,1977,28.6
Canada,1978,29.1
Canada,1979,28.6
Canada,1980,28.6
Canada,1981,28.5
Canada,1982,28.8
Canada,1983,29.6
Canada,1984,29.3
Canada,1985,29
Canada,1986,29
Canada,1987,28.7
Canada,1988,28.2
Canada,1989,28.1
Canada,1990,28.6
Canada,1991,29.2
Canada,1992,29.1
Canada,1993,28.9
Canada,1994,29
Canada,1995,29.3
Canada,1996,30.1
Canada,1997,30.4
Canada,1998,31.1
Canada,1999,31
Canada,2000,31.7
Canada,2001,31.8
Canada,2002,31.8
Canada,2003,31.6
Canada,2004,32.2
Canada,2005,31.7
Canada,2006,31.6
Canada,2007,31.6
Canada,2008,31.4
Canada,2009,31.5
Canada,2010,31.5
Canada,2011,31.1
Canada,2012,31.6
Canada,2013,31.8
Canada,2014,31.1
Denmark,1987,25.5
Denmark,1992,23.8
Denmark,1995,21.8
Denmark,2000,22.5
Denmark,2004,22.8
Denmark,2007,23.8
Denmark,2010,24.8
Denmark,2013,24.9
Finland,1966,31.1
Finland,1971,27
Finland,1976,21.5
Finland,1981,20.9
Finland,1987,20.2
Finland,1988,20.7
Finland,1989,21
Finland,1990,20.8
Finland,1991,20.7
Finland,1992,20.5
Finland,1993,20.9
Finland,1994,20.8
Finland,1995,21.4
Finland,1996,21.9
Finland,1997,23
Finland,1998,23.8
Finland,1999,24.5
Finland,2000,24.9
Finland,2001,25.7
Finland,2002,25.2
Finland,2003,25.6
Finland,2004,26.1
Finland,2005,25.9
Finland,2006,26.2
Finland,2007,26.4
Finland,2008,26
Finland,2009,25.5
Finland,2010,25.9
Finland,2011,25.9
Finland,2012,25.5
Finland,2013,25.6
Finland,2014,25.2
France,1956,36.02
France,1962,39.02
France,1965,37.43
France,1970,35.04
France,1975,33.1
France,1979,30.15
France,1984,29.13
France,1990,28.32
France,1996,28.52
France,1998,28.21
France,2000,28.63
France,2002,28.1
France,2003,28
France,2004,28.1
France,2005,28.6
France,2006,29.1
France,2007,28.9
France,2008,28.9
France,2009,29
France,2010,29.9
France,2011,30.2
France,2012,29.9
France,2013,28.53
France,2014,28.72
Germany,1962,28.83
Germany,1969,25.47
Germany,1973,24.49
Germany,1978,24.41
Germany,1983,24.7
Germany,1984,25.2
Germany,1985,24
Germany,1986,23.9
Germany,1987,23.6
Germany,1988,24.2
Germany,1989,24.5
Germany,1990,24.8
Germany,1991,24.8
Germany,1992,25.2
Germany,1993,25.3
Germany,1994,26
Germany,1995,25.5
Germany,1996,25
Germany,1997,25
Germany,1998,25
Germany,1999,24.9
Germany,2000,25.5
Germany,2001,25.7
Germany,2002,26.8
Germany,2003,26.9
Germany,2004,27.4
Germany,2005,28.8
Germany,2006,28.5
Germany,2007,28.6
Germany,2008,28.3
