Entity,Year,Infant mortality under 1 year of age (Clio Infra (2016))
Albania,2000,24.5
Algeria,1990,45.013
Algeria,2000,35.7667
Angola,2000,196.5
Australia,1860,129.5
Australia,1870,120.3
Australia,1880,123.2
Australia,1890,101.8
Australia,1900,90
Australia,1910,68
Australia,1920,57.2
Australia,1960,18.7
Australia,1970,14.7
Austria,1820,187.8
Austria,1830,251.2
Austria,1840,246.25
Austria,1850,249.7
Austria,1860,256.1
Austria,1870,256.8
Austria,1880,249
Austria,1890,238.6
Austria,1900,213.1
Austria,1910,160
Austria,1920,131.741
Austria,1960,29.7
Austria,1970,21.1
Austria,1980,11
Azerbaijan,1980,23.8
Azerbaijan,1990,27.9567
Azerbaijan,2000,26.9
Bahrain,1980,28.6667
Bahrain,2000,83.0667
Bangladesh,1990,168.699
Bangladesh,2000,169.633
Belgium,1830,182
Belgium,1840,155.4
Belgium,1850,153.6
Belgium,1860,152.8
Belgium,1870,149
Belgium,1900,148.6
Belgium,1940,75.5
Belgium,1960,25.4
Benin,1960,164.64
Benin,1970,133.976
Benin,1980,127.223
Benin,2000,88.6
Bhutan,1960,145
Bhutan,1980,116.44
Bhutan,1990,81.975
Bhutan,2000,69.8
Bolivia,1860,187
Bolivia,1870,183
Bolivia,1880,175
Bolivia,1890,158.5
Bolivia,1900,142
Bolivia,1910,131.5
Bolivia,1920,116.9
Bolivia,1930,97
Bolivia,1940,79.2
Bolivia,1950,63
Bolivia,1990,22.73
Bosnia and Herzegovina,2000,24.3667
Botswana,1980,57.11
Botswana,2000,62.3667
Brazil,1930,82.8
Brazil,1940,111.19
Brazil,1950,102.97
Brazil,1960,152.88
Brazil,1970,144.22
Brazil,1980,104.01
Brazil,1990,69.473
Brazil,2000,58.9667
Bulgaria,1980,14.2
Burkina Faso,1960,176.65
Burkina Faso,1970,149.175
Burkina Faso,1980,120.621
Burkina Faso,1990,108.516
Burkina Faso,2000,102.033
Burundi,2000,73.9
Cameroon,1960,150.99
Cameroon,1970,117.981
Cameroon,1980,97.305
Cameroon,1990,79.147
Cameroon,2000,72.0333
Central African Republic,1950,190
Central African Republic,1960,160.13
Central African Republic,1970,143.18
Central African Republic,1990,101.013
Chad,1960,182.52
Chad,1970,157.624
Chad,1980,142.915
Chad,2000,97.7
Chile,1900,314.5
Chile,1910,206
Chile,1920,173.9
Chile,1930,175.3
Chile,1940,170.8
Chile,1950,128.3
Chile,1960,105.41
Chile,1970,85.1
Chile,1980,62.37
Chile,1990,42.822
Colombia,1950,122.2
Colombia,1980,21.8
Colombia,1990,12.75
Colombia,2000,9.83333
Comoros,1970,112.44
Congo,1960,126.27
Congo,1970,91.79
Congo,1980,103.296
Cote d'Ivoire,1960,151.33
Cote d'Ivoire,1970,123.79
Cote d'Ivoire,1980,105.388
Cote d'Ivoire,1990,109.234
Croatia,1810,175
Croatia,1820,150
Croatia,1830,160
Croatia,1840,200
Croatia,1850,240
Croatia,1860,220
Czech Republic,1930,145.2
Czech Republic,1940,127.7
Czech Republic,1950,67.9
Democratic Republic of Congo,1950,104
Democratic Republic of Congo,1960,128.667
Democratic Republic of Congo,1970,126.667
Democratic Republic of Congo,1980,124.24
Denmark,1830,146
Denmark,1850,134.4
Denmark,1860,134.8
Denmark,1870,135.9
Denmark,1880,137.3
Denmark,1890,135.9
Denmark,1900,116.7
Denmark,1910,95.4
Denmark,1920,83
Denmark,1930,68.8
Denmark,1940,42.1667
Denmark,1950,26
Denmark,1960,18.5
Denmark,1970,11
Denmark,1980,8
Ecuador,1900,184.5
Ecuador,1910,174
Ecuador,1920,144.4
Ecuador,1930,137.44
Ecuador,1940,146.9
Ecuador,1950,108.7
Ecuador,1960,82.4
Ecuador,1970,54.221
Ecuador,1980,45.611
Ecuador,2000,23.9667
Egypt,1910,128
Egypt,1920,146.6
Egypt,1940,148.8
Egypt,1950,128.2
Egypt,1960,119.3
Egypt,1970,94.4
Egypt,1980,70.1
Egypt,1990,44.442
Egypt,2000,38.1667
El Salvador,1940,117.6
El Salvador,1980,17.9
Equatorial Guinea,1990,105.853
Eritrea,1990,83.7029
Eritrea,2000,77.8
Estonia,1960,24.5
Estonia,1970,18.8333
Estonia,1980,14.825
Finland,1810,200.1
Finland,1820,198.3
Finland,1830,196.9
Finland,1860,193.25
Finland,1900,127.6
Finland,1910,122.667
Finland,1920,93.9
Finland,1930,71
Finland,1940,61.1
Finland,1950,30.9
Finland,1960,17.4
Finland,1970,10.1
Finland,1980,5.7
France,1820,182
France,1830,176.5
France,1840,160.5
France,1850,172.1
France,1860,174.8
France,1870,174.5
France,1880,166.5
France,1890,165.5
France,1900,137.2
France,1910,123.4
France,1920,100.8
France,1930,75
France,1940,78.2222
France,1950,40.1
France,1960,23.3
France,1970,13.9
France,1980,8.4
Gabon,1960,154.43
Gabon,1970,120.616
Gabon,1980,90.267
Gabon,2000,56.5
Gambia,2000,77.8333
Georgia,2000,21
Germany,1830,294
Germany,1840,298.1
Germany,1850,291.6
Germany,1860,300
Germany,1870,267.2
Germany,1880,228.1
Germany,1890,220.4
Germany,1900,193.3
Germany,1910,155.6
Germany,1920,112.4
Germany,1930,75.1
Germany,1940,64
Germany,1950,37.6
Germany,1960,26.4
Germany,1970,19.4
Germany,1980,9.8
Ghana,1950,92
Ghana,1960,101.1
Ghana,1970,77.318
Ghana,1980,78.325
Ghana,1990,61.641
Ghana,2000,54.6667
Grenada,1940,79.46
Grenada,1950,81.37
Grenada,1960,81.2
Grenada,1970,69
Grenada,1990,43.685
Grenada,2000,36.1
Guatemala,1990,38.135
Guatemala,2000,28.4
Guinea,1950,208.3
Guinea,1960,192.76
Guinea,1970,172.65
Guinea,1980,139.734
Guinea-Bissau,2000,113.5
