Entity,Year,Other social policy areas
Australia,1980,0.2
Australia,1985,0.2
Australia,1990,0.4
Australia,1995,0.2
Australia,2000,0.2
Australia,2005,0.1
Australia,2010,0.3
Australia,2013,0.3
Australia,2014,0.4
Australia,2015,..
Austria,1980,0.2
Austria,1985,0.2
Austria,1990,0.3
Austria,1995,0.3
Austria,2000,0.2
Austria,2005,0.3
Austria,2010,0.3
Austria,2013,0.4
Austria,2014,..
Austria,2015,..
Belgium,1980,0.2
Belgium,1985,0.3
Belgium,1990,0.5
Belgium,1995,0.7
Belgium,2000,0.7
Belgium,2005,0.8
Belgium,2010,0.8
Belgium,2013,0.8
Belgium,2014,..
Belgium,2015,..
Canada,1980,1.9
Canada,1985,2.3
Canada,1990,2.4
Canada,1995,3.3
Canada,2000,2.4
Canada,2005,2.6
Canada,2010,2.3
Canada,2013,2.2
Canada,2014,2.1
Canada,2015,..
Chile,1980,..
Chile,1985,..
Chile,1990,0
Chile,1995,0
Chile,2000,0
Chile,2005,0.2
Chile,2010,0.3
Chile,2013,0.3
Chile,2014,0.4
Chile,2015,0.4
Czech Republic,1980,..
Czech Republic,1985,..
Czech Republic,1990,0.5
Czech Republic,1995,0.2
Czech Republic,2000,0.4
Czech Republic,2005,0.4
Czech Republic,2010,0.1
Czech Republic,2013,0.2
Czech Republic,2014,..
Czech Republic,2015,..
Denmark,1980,..
Denmark,1985,0.7
Denmark,1990,1
Denmark,1995,1.3
Denmark,2000,1
Denmark,2005,1
Denmark,2010,1.3
Denmark,2013,1.3
Denmark,2014,..
Denmark,2015,..
Estonia,1980,..
Estonia,1985,..
Estonia,1990,..
Estonia,1995,..
Estonia,2000,0.3
Estonia,2005,0.1
Estonia,2010,0.1
Estonia,2013,0.1
Estonia,2014,..
Estonia,2015,..
Finland,1980,0.2
Finland,1985,0.3
Finland,1990,0.4
Finland,1995,0.6
Finland,2000,0.5
Finland,2005,0.5
Finland,2010,0.7
Finland,2013,0.8
Finland,2014,..
Finland,2015,..
France,1980,..
France,1985,..
France,1990,0.1
France,1995,0.3
France,2000,0.3
France,2005,0.4
France,2010,0.6
France,2013,0.7
France,2014,..
France,2015,..
Germany,1980,0.3
Germany,1985,0.4
Germany,1990,0.1
Germany,1995,0.2
Germany,2000,0.2
Germany,2005,0.1
Germany,2010,0.1
Germany,2013,0.2
Germany,2014,..
Germany,2015,..
Greece,1980,0
Greece,1985,0
Greece,1990,0.1
Greece,1995,0.1
Greece,2000,0.3
Greece,2005,0.4
Greece,2010,0.4
Greece,2013,..
Greece,2014,..
Greece,2015,..
Hungary,1980,..
Hungary,1985,..
Hungary,1990,..
Hungary,1995,..
Hungary,2000,0.2
Hungary,2005,0.1
Hungary,2010,0.1
Hungary,2013,0.1
Hungary,2014,..
Hungary,2015,..
Iceland,1980,..
Iceland,1985,..
Iceland,1990,0.4
Iceland,1995,0.5
Iceland,2000,0.4
Iceland,2005,0.5
Iceland,2010,0.7
Iceland,2013,0.7
Iceland,2014,..
Iceland,2015,..
Ireland,1980,0.1
Ireland,1985,0.2
Ireland,1990,0.3
Ireland,1995,0.3
Ireland,2000,0.3
Ireland,2005,0.3
Ireland,2010,0.3
Ireland,2013,0.2
Ireland,2014,..
Ireland,2015,..
Israel,1980,..
Israel,1985,..
Israel,1990,..
Israel,1995,1.1
Israel,2000,1.2
Israel,2005,0.9
Israel,2010,0.6
Israel,2013,0.7
Israel,2014,0.6
Israel,2015,0.7
Italy,1980,0
Italy,1985,0
Italy,1990,0
Italy,1995,0.1
Italy,2000,0.1
Italy,2005,0.1
Italy,2010,0.2
Italy,2013,0.2
Italy,2014,..
Italy,2015,..
Japan,1980,0.2
Japan,1985,0.2
Japan,1990,0.1
Japan,1995,0.1
Japan,2000,0.1
Japan,2005,0.2
Japan,2010,0.3
Japan,2013,0.3
Japan,2014,..
Japan,2015,..
Korea,1980,..
Korea,1985,..
Korea,1990,0.2
Korea,1995,0.1
Korea,2000,0.3
Korea,2005,0.7
Korea,2010,0.5
Korea,2013,0.6
Korea,2014,0.6
Korea,2015,..
