Entity,Year,CO2 per year by region (CDIAC (2017))
Africa,1751,0
Africa,1752,0
Africa,1753,0
Africa,1754,0
Africa,1755,0
Africa,1756,0
Africa,1757,0
Africa,1758,0
Africa,1759,0
Africa,1760,0
Africa,1761,0
Africa,1762,0
Africa,1763,0
Africa,1764,0
Africa,1765,0
Africa,1766,0
Africa,1767,0
Africa,1768,0
Africa,1769,0
Africa,1770,0
Africa,1771,0
Africa,1772,0
Africa,1773,0
Africa,1774,0
Africa,1775,0
Africa,1776,0
Africa,1777,0
Africa,1778,0
Africa,1779,0
Africa,1780,0
Africa,1781,0
Africa,1782,0
Africa,1783,0
Africa,1784,0
Africa,1785,0
Africa,1786,0
Africa,1787,0
Africa,1788,0
Africa,1789,0
Africa,1790,0
Africa,1791,0
Africa,1792,0
Africa,1793,0
Africa,1794,0
Africa,1795,0
Africa,1796,0
Africa,1797,0
Africa,1798,0
Africa,1799,0
Africa,1800,0
Africa,1801,0
Africa,1802,0
Africa,1803,0
Africa,1804,0
Africa,1805,0
Africa,1806,0
Africa,1807,0
Africa,1808,0
Africa,1809,0
Africa,1810,0
Africa,1811,0
Africa,1812,0
Africa,1813,0
Africa,1814,0
Africa,1815,0
Africa,1816,0
Africa,1817,0
Africa,1818,0
Africa,1819,0
Africa,1820,0
Africa,1821,0
Africa,1822,0
Africa,1823,0
Africa,1824,0
Africa,1825,0
Africa,1826,0
Africa,1827,0
Africa,1828,0
Africa,1829,0
Africa,1830,0
Africa,1831,0
Africa,1832,0
Africa,1833,0
Africa,1834,0
Africa,1835,0
Africa,1836,0
Africa,1837,0
Africa,1838,0
Africa,1839,0
Africa,1840,0
Africa,1841,0
Africa,1842,0
Africa,1843,0
Africa,1844,0
Africa,1845,0
Africa,1846,0
Africa,1847,0
Africa,1848,0
Africa,1849,0
Africa,1850,0
Africa,1851,0
Africa,1852,0
Africa,1853,0
Africa,1854,0
Africa,1855,0
Africa,1856,0
Africa,1857,0
Africa,1858,0
Africa,1859,0
Africa,1860,0
Africa,1861,0
Africa,1862,0
Africa,1863,0
Africa,1864,0
Africa,1865,0
Africa,1866,0
Africa,1867,0
Africa,1868,0
Africa,1869,0
Africa,1870,0
Africa,1871,0
Africa,1872,0
Africa,1873,0
Africa,1874,0
Africa,1875,0
Africa,1876,0
Africa,1877,0
Africa,1878,0
Africa,1879,0
Africa,1880,0
Africa,1881,0
Africa,1882,0
Africa,1883,0
Africa,1884,0.00002202
Africa,1885,0.0000367
Africa,1886,0.00004771
Africa,1887,0.00004771
Africa,1888,0.00008074
Africa,1889,0.00013212
Africa,1890,0.00029727
Africa,1891,0.00029727
Africa,1892,0.00048077
Africa,1893,0.00180197
Africa,1894,0.00243688
Africa,1895,0.00334337
Africa,1896,0.00426454
Africa,1897,0.00478568
Africa,1898,0.00605917
Africa,1899,0.00552702
Africa,1900,0.00233412
Africa,1901,0.00391589
Africa,1902,0.0058353
Africa,1903,0.00790885
Africa,1904,0.00892544
Africa,1905,0.01027967
Africa,1906,0.01173666
Africa,1907,0.01295143
Africa,1908,0.01342486
Africa,1909,0.01543602
Africa,1910,0.0175059
Africa,1911,0.01700678
Africa,1912,0.01809677
Africa,1913,0.01982167
Africa,1914,0.01956477
Africa,1915,0.01988039
Africa,1916,0.02352837
Africa,1917,0.02549182
Africa,1918,0.02466974
Africa,1919,0.02544411
Africa,1920,0.02851223
Africa,1921,0.02847186
Africa,1922,0.02446055
Africa,1923,0.02983343
Africa,1924,0.03184092
Africa,1925,0.03363188
Africa,1926,0.03592563
Africa,1927,0.03543018
Africa,1928,0.03719545
Africa,1929,0.03853867
Africa,1930,0.03638071
Africa,1931,0.03158402
Africa,1932,0.02897465
Africa,1933,0.0317455
Africa,1934,0.03660091
Africa,1935,0.04034798
Africa,1936,0.04418313
Africa,1937,0.04869356
Africa,1938,0.05178003
Africa,1939,0.05680426
Africa,1940,0.06041921
Africa,1941,0.06204502
Africa,1942,0.0670142
Africa,1943,0.06828035
Africa,1944,0.07567173
Africa,1945,0.07524234
Africa,1946,0.07595065
Africa,1947,0.08101892
Africa,1948,0.07844258
Africa,1949,0.09526953
Africa,1950,0.08780108
Africa,1951,0.09376483
Africa,1952,0.10297286
Africa,1953,0.1048519
Africa,1954,0.10961923
Africa,1955,0.12254864
Africa,1956,0.12926107
Africa,1957,0.13356598
Africa,1958,0.14014996
Africa,1959,0.14002885
Africa,1960,0.14490261
Africa,1961,0.15147191
Africa,1962,0.15760815
Africa,1963,0.15844491
Africa,1964,0.17463695
Africa,1965,0.19380169
