Entity,Year,Poverty Absolute Number by Region ($1.90) (World Bank (Povcal) (2016))
East Asia and Pacific,1990,965900000
East Asia and Pacific,1993,876800000
East Asia and Pacific,1996,683800000
East Asia and Pacific,1999,669000000
East Asia and Pacific,2002,535100000
East Asia and Pacific,2005,349200000
East Asia and Pacific,2008,288200000
East Asia and Pacific,2010,218200000
East Asia and Pacific,2011,166900000
East Asia and Pacific,2012,141800000
East Asia and Pacific,2013,71000000
Eastern Europe and Central Asia,1990,18200000
Eastern Europe and Central Asia,1993,32200000
Eastern Europe and Central Asia,1996,36300000
Eastern Europe and Central Asia,1999,37800000
Eastern Europe and Central Asia,2002,29300000
Eastern Europe and Central Asia,2005,23800000
Eastern Europe and Central Asia,2008,15500000
Eastern Europe and Central Asia,2010,14200000
Eastern Europe and Central Asia,2011,13000000
Eastern Europe and Central Asia,2012,12200000
Eastern Europe and Central Asia,2013,10800000
Latin America and the Caribbean,1990,71200000
Latin America and the Caribbean,1993,68300000
Latin America and the Caribbean,1996,70700000
Latin America and the Caribbean,1999,72200000
Latin America and the Caribbean,2002,70600000
Latin America and the Caribbean,2005,55600000
Latin America and the Caribbean,2008,41900000
Latin America and the Caribbean,2010,38800000
Latin America and the Caribbean,2011,36400000
Latin America and the Caribbean,2012,34100000
Latin America and the Caribbean,2013,33600000
Middle East and North Africa,1990,13700000
Middle East and North Africa,1993,13600000
Middle East and North Africa,1996,12400000
Middle East and North Africa,2005,9200000
Middle East and North Africa,2008,6700000
South Asia,1990,505000000
South Asia,1993,541500000
South Asia,1996,517000000
South Asia,2002,552400000
South Asia,2005,508300000
South Asia,2008,464700000
South Asia,2010,400300000
South Asia,2011,327900000
South Asia,2012,293300000
South Asia,2013,256200000
Sub-Saharan Africa,1990,276100000
Sub-Saharan Africa,1993,323100000
Sub-Saharan Africa,1996,346100000
Sub-Saharan Africa,1999,371300000
Sub-Saharan Africa,2002,391300000
Sub-Saharan Africa,2005,381500000
Sub-Saharan Africa,2008,389100000
Sub-Saharan Africa,2010,399100000
Sub-Saharan Africa,2011,395700000
Sub-Saharan Africa,2012,393100000
Sub-Saharan Africa,2013,388700000
World,1990,1850100000
World,1993,1855400000
World,1996,1666300000
World,1999,1692900000
World,2002,1588100000
World,2005,1327500000
World,2008,1205600000
World,2010,1077500000
World,2011,946300000
World,2012,880900000
World,2013,766600000
