Entity,Year,Fertility (UN Population Division (2015 revision))
Afghanistan,1955,7.45
Afghanistan,1960,7.45
Afghanistan,1965,7.45
Afghanistan,1970,7.45
Afghanistan,1975,7.45
Afghanistan,1980,7.45
Afghanistan,1985,7.45
Afghanistan,1990,7.47
Afghanistan,1995,7.48
Afghanistan,2000,7.65
Afghanistan,2005,7.18
Afghanistan,2010,6.35
Afghanistan,2015,5.13
Africa,1955,6.6
Africa,1960,6.64
Africa,1965,6.7
Africa,1970,6.67
Africa,1975,6.67
Africa,1980,6.62
Africa,1985,6.48
Africa,1990,6.2
Africa,1995,5.73
Africa,2000,5.35
Africa,2005,5.1
Africa,2010,4.89
Africa,2015,4.71
Albania,1955,6.23
Albania,1960,6.55
Albania,1965,6.23
Albania,1970,5.26
Albania,1975,4.6
Albania,1980,3.9
Albania,1985,3.41
Albania,1990,3.15
Albania,1995,2.79
Albania,2000,2.38
Albania,2005,1.95
Albania,2010,1.6
Albania,2015,1.78
Algeria,1955,7.28
Algeria,1960,7.38
Algeria,1965,7.65
Algeria,1970,7.65
Algeria,1975,7.57
Algeria,1980,7.18
Algeria,1985,6.32
Algeria,1990,5.3
Algeria,1995,4.12
Algeria,2000,2.89
Algeria,2005,2.38
Algeria,2010,2.72
Algeria,2015,2.93
Angola,1955,7.3
Angola,1960,7.35
Angola,1965,7.4
Angola,1970,7.4
Angola,1975,7.35
Angola,1980,7.35
Angola,1985,7.3
Angola,1990,7.25
Angola,1995,7.15
Angola,2000,7
Angola,2005,6.8
Angola,2010,6.6
Angola,2015,6.2
Antigua and Barbuda,1955,4.5
Antigua and Barbuda,1960,4.5
Antigua and Barbuda,1965,4.3
Antigua and Barbuda,1970,4
Antigua and Barbuda,1975,3.26
Antigua and Barbuda,1980,2.24
Antigua and Barbuda,1985,2.14
Antigua and Barbuda,1990,2.07
Antigua and Barbuda,1995,2.09
Antigua and Barbuda,2000,2.31
Antigua and Barbuda,2005,2.27
Antigua and Barbuda,2010,2.17
Antigua and Barbuda,2015,2.1
Argentina,1955,3.15
Argentina,1960,3.13
Argentina,1965,3.09
Argentina,1970,3.05
Argentina,1975,3.15
Argentina,1980,3.44
Argentina,1985,3.15
Argentina,1990,3.05
Argentina,1995,2.9
Argentina,2000,2.63
Argentina,2005,2.52
Argentina,2010,2.4
Argentina,2015,2.35
Armenia,1955,4.49
Armenia,1960,4.49
Armenia,1965,4.45
Armenia,1970,3.45
Armenia,1975,3.04
Armenia,1980,2.5
Armenia,1985,2.38
Armenia,1990,2.58
Armenia,1995,2.38
Armenia,2000,1.75
Armenia,2005,1.72
Armenia,2010,1.74
Armenia,2015,1.55
Aruba,1955,5.65
Aruba,1960,5.15
Aruba,1965,4.4
Aruba,1970,3.3
Aruba,1975,2.65
