Entity,Year,International migrant stock (share of population) (World Bank (2015))
Afghanistan,1960,0.516609999
Afghanistan,1965,0.498572875
Afghanistan,1970,0.477030279
Afghanistan,1975,0.45333552
Afghanistan,1980,0.446742559
Afghanistan,1985,0.482507284
Afghanistan,1990,0.478024988
Afghanistan,1995,0.418571518
Afghanistan,2000,0.385327536
Afghanistan,2005,0.354308132
Afghanistan,2010,0.32502084
Albania,1960,3.039594729
Albania,1965,2.756823687
Albania,1970,2.53081393
Albania,1975,2.362577661
Albania,1980,2.235406701
Albania,1985,2.117977767
Albania,1990,2.008585316
Albania,1995,2.232083479
Albania,2000,2.482820642
Albania,2005,2.745089054
Albania,2010,3.05888629
Algeria,1960,3.869224079
Algeria,1965,1.649637882
Algeria,1970,1.161158878
Algeria,1975,0.959279789
Algeria,1980,0.95665348
Algeria,1985,1.279208441
Algeria,1990,1.057232756
Algeria,1995,1.03401224
Algeria,2000,0.802054717
Algeria,2005,0.728768857
Algeria,2010,0.672446805
American Samoa,1960,11.91285229
American Samoa,1965,17.73109958
American Samoa,1970,26.55723289
American Samoa,1975,36.22544434
American Samoa,1980,41.88439734
American Samoa,1985,43.50141412
American Samoa,1990,45.2406258
American Samoa,1995,43.54881416
American Samoa,2000,43.30864713
American Samoa,2005,44.97014395
American Samoa,2010,50.99216335
Andorra,1960,18.61487998
Andorra,1965,37.64217562
Andorra,1970,55.38119362
Andorra,1975,60.64938449
Andorra,1980,71.51928569
Andorra,1985,72.43985021
Andorra,1990,71.36908147
Andorra,1995,69.22823942
Andorra,2000,64.44441046
Andorra,2005,61.93196508
Andorra,2010,66.15453867
Angola,1960,2.316308356
Angola,1965,1.336941297
Angola,1970,0.772214559
Angola,1975,0.432187372
Angola,1980,1.094636475
Angola,1985,1.117000159
Angola,1990,0.301198702
Angola,1995,0.287533239
Angola,2000,0.30618971
Angola,2005,0.312930171
Angola,2010,0.308139217
Antigua and Barbuda,1960,8.902543845
Antigua and Barbuda,1965,9.734631955
Antigua and Barbuda,1970,10.57687895
Antigua and Barbuda,1975,11.46665126
Antigua and Barbuda,1980,12.97278844
Antigua and Barbuda,1985,15.93149185
Antigua and Barbuda,1990,19.43107292
Antigua and Barbuda,1995,20.2124391
Antigua and Barbuda,2000,20.43323717
Antigua and Barbuda,2005,22.06988433
Antigua and Barbuda,2010,23.99092087
Arab World,1960,2.990637128
Arab World,1965,2.580478677
Arab World,1970,2.749819121
Arab World,1975,3.421620298
Arab World,1980,5.447801743
Arab World,1985,6.063913026
Arab World,1990,6.839002963
Arab World,1995,6.195169352
Arab World,2000,6.30269409
Arab World,2005,6.786965091
Arab World,2010,7.282207583
Argentina,1960,12.61544468
Argentina,1965,10.81156461
Argentina,1970,9.257937096
Argentina,1975,7.918828326
Argentina,1980,6.834147819
Argentina,1985,5.858882592
Argentina,1990,5.041039128
Argentina,1995,4.5372432
Argentina,2000,4.156300218
Argentina,2005,3.816695006
Argentina,2010,3.515749447
Armenia,1990,18.58520973
Armenia,1995,21.14552958
Armenia,2000,18.66764323
Armenia,2005,16.3377632
Armenia,2010,10.93924203
Aruba,1960,14.56058146
Aruba,1965,13.38389121
Aruba,1970,12.64031152
Aruba,1975,11.9726321
Aruba,1980,11.75286209
Aruba,1985,15.64384083
Aruba,1990,23.24129497
