Entity,Year,Share that has at least some formal basic education (OECD + IIASA (2016)),Share without any formal education (OECD + IIASA (2016))
World,1820,17.2,82.8
World,1870,23.9,76.1
World,1880,26.7,73.3
World,1890,29.6,70.4
World,1900,33.2,66.8
World,1910,35.6,64.4
World,1920,38.6,61.4
World,1930,40.9,59.1
World,1940,45.9,54.1
World,1950,49,51
World,1960,53.7,46.3
World,1970,63,37
World,1975,66,34
World,1980,70,30
World,1985,73,27
World,1990,75,25
World,1995,78,22
World,2000,80,20
World,2005,82,18
World,2010,84,16
World,2015,86,14
