Entity,Year,"Average harmonised learning outcome score in 2005-2015 (Altinok, Angrist, and Patrinos, 2018) ","Year of the latest learning outcome score (Altinok, Angrist, and Patrinos, 2018) "
Albania,1,436.73001,2015
Algeria,1,375.14001,2015
Argentina,1,429.38,2015
Armenia,1,469.07001,2010
Australia,1,509.22,2015
Austria,1,519.53998,2015
Azerbaijan,1,453.14001,2010
Bahrain,1,452.35999,2015
Belgium,1,529.10999,2015
Benin,1,279.03,2005
Bosnia and Herzegovina,1,460.76999,2005
Botswana,1,398.47,2015
Brazil,1,408.76001,2015
Bulgaria,1,490.67001,2015
Burkina Faso,1,296.88,2005
Burundi,1,332.32999,2010
Cameroon,1,336.64001,2005
Canada,1,519.69,2015
Chad,1,300.45999,2010
Chile,1,455.97,2015
China,1,554.71997,2015
Colombia,1,413.67001,2015
Comoros,1,297.42999,2010
Costa Rica,1,422.54001,2015
Cote d'Ivoire,1,259.79001,2010
Croatia,1,491.54999,2015
Cuba,1,507.91,2005
Cyprus,1,518,2015
Czechia,1,516.20001,2015
Democratic Republic of Congo,1,340.17001,2010
Denmark,1,534.17999,2015
Dominican Republic,1,337.70999,2015
Ecuador,1,414.70999,2015
Egypt,1,397.82999,2015
El Salvador,1,363.87,2005
Estonia,1,542.41998,2015
Eswatini,1,335.26001,2005
Finland,1,531.13,2015
France,1,499.17999,2015
Gabon,1,324.76001,2005
Georgia,1,459.67999,2015
Germany,1,524.26001,2015
Ghana,1,336.16,2010
Greece,1,477.87,2015
Guatemala,1,389.01999,2015
Honduras,1,363.70999,2010
Hong Kong,1,605.40002,2015
Hungary,1,522.5,2015
Iceland,1,511.79999,2015
India,1,378.54001,2010
Indonesia,1,396.70999,2015
Iran,1,433.92001,2015
Ireland,1,535.41998,2015
Israel,1,514.23999,2015
Italy,1,500.75,2015
Japan,1,590.89001,2015
Jordan,1,387.01001,2015
Kazakhstan,1,536.10999,2015
Kenya,1,355.92999,2005
Kuwait,1,372.29999,2015
Kyrgyzstan,1,362.14001,2010
Latvia,1,508.22,2015
Lebanon,1,454.42001,2015
Lesotho,1,323.51999,2005
Liechtenstein,1,557.46997,2010
Lithuania,1,523.23999,2015
Luxembourg,1,508.88,2015
Macao,1,561.90002,2015
Madagascar,1,367.57999,2005
Malawi,1,322.76999,2005
Malaysia,1,474.04999,2015
Malta,1,498,2015
Mauritius,1,444.73001,2010
Mexico,1,443.35999,2015
Moldova,1,443.29001,2015
Mongolia,1,438.28,2005
Montenegro,1,441.38,2015
Morocco,1,380.75,2015
Mozambique,1,322.73999,2005
Namibia,1,325.14001,2005
Netherlands,1,530.27002,2015
New Zealand,1,492.69,2015
Nicaragua,1,365.66,2015
North Macedonia,1,389,2015
Norway,1,530.47998,2015
Oman,1,414.85001,2015
Palestine,1,400.62,2010
Panama,1,368.95999,2015
Paraguay,1,366.82999,2015
Peru,1,419.48999,2015
Philippines,1,367.48001,2005
Poland,1,528.84003,2015
Portugal,1,525.21002,2015
Puerto Rico,1,396.29001,2015
Qatar,1,438.89999,2015
Romania,1,469.42001,2015
Russia,1,551.63,2015
Saudi Arabia,1,375.60001,2015
Senegal,1,319.54001,2005
Serbia,1,512.21997,2015
Seychelles,1,360.57001,2005
Singapore,1,619.16998,2015
Slovakia,1,495.32001,2015
Slovenia,1,518.03998,2015
South Africa,1,374.06,2015
South Korea,1,607.22998,2015
Spain,1,504.82999,2015
Sweden,1,509.14999,2015
Switzerland,1,543.83002,2015
Syria,1,390.85999,2010
Taiwan,1,597.75,2015
Tanzania,1,352.92001,2005
Thailand,1,440.25,2015
Togo,1,283.23001,2010
Trinidad and Tobago,1,438.75,2015
Tunisia,1,384.12,2015
Turkey,1,470.39001,2015
Uganda,1,329.42001,2005
Ukraine,1,478.29999,2010
United Arab Emirates,1,460.48999,2015
United Kingdom,1,515.79999,2015
United States,1,529.09003,2015
Uruguay,1,445.45001,2015
Venezuela,1,422.70999,2010
Vietnam,1,520.03998,2015
Yemen,1,297.20001,2010
Zambia,1,324.45999,2005
Zanzibar,1,321.88,2005
Zimbabwe,1,342.98999,2005
