Entity,Year,Number of European cities (Bairoch (1988)),Europe urban population share (Bairoch (1988)),Number of developed country cities (Bairoch (1988)),Developed country urban population share (Bairoch (1988)),Number of African cities (Bairoch (1988)),Africa urban population share (Bairoch (1988)),Number of Latin American cities (Bairoch (1988)),Latin America urban population share (Bairoch (1988)),Number of third world market cities (Bairoch (1988)),Third world market urban population share (Bairoch (1988)),Europe urban population (Bairoch (1988)),Europe rural population (Bairoch (1988)),Europe rural population share (Bairoch (1988)),Developed country urban population (Bairoch (1988)),Developed country rural population (Bairoch (1988)),Developed country rural population share (Bairoch (1988)),Africa urban population (Bairoch (1988)),Africa rural population (Bairoch (1988)),Africa rural population share (Bairoch (1988)),Latin America urban population (Bairoch (1988)),Latin America rural population (Bairoch (1988)),Latin America rural population share (Bairoch (1988)),Third world market urban population (Bairoch (1988)),Third world market rural population (Bairoch (1988)),Third world market rural population share (Bairoch (1988))
10 to 20,1000,72,,,,,,,,,,,,,,,,,,,,,,,,
10 to 20,1300,150,,,,,,,,,,,,,,,,,,,,,,,,
10 to 20,1500,146,,,,,,,,,,,,,,,,,,,,,,,,
10 to 20,1600,177,,,,,,,,,,,,,,,,,,,,,,,,
10 to 20,1700,200,,,,,,,,,,,,,,,,,,,,,,,,
100 to 200,1300,4,,,,,,,,,,,,,,,,,,,,,,,,
100 to 200,1500,3,,,,,,,,,,,,,,,,,,,,,,,,
100 to 200,1600,9,,,,,,,,,,,,,,,,,,,,,,,,
100 to 200,1700,7,,,,,,,,,,,,,,,,,,,,,,,,
100 to 200,1750,,,,,,,1,,,,,,,,,,,,,,,,,,
100 to 200,1800,,,17,,,,1,,,,,,,,,,,,,,,,,,
100 to 200,1850,,,35,,,,5,,,,,,,,,,,,,,,,,,
100 to 200,1900,,,101,,1,,6,,40,,,,,,,,,,,,,,,,
100 to 200,1910,,,,,1,,,,,,,,,,,,,,,,,,,,
100 to 200,1920,,,,,1,,17,,,,,,,,,,,,,,,,,,
