Entity,Year,Homicide Rate (Clio Infra)
Afghanistan,2004,3.4
Albania,1987,1.43
Albania,1988,1.56
Albania,1989,2.17
Albania,1992,4.1
Albania,1993,6
Albania,1994,3.5
Albania,1995,7.97
Albania,1996,8.3
Albania,1997,40.1
Albania,1998,19.68
Albania,1999,15.77
Albania,2000,4.21
Albania,2001,7.17
Albania,2002,7.44
Albania,2003,5.53
Albania,2004,4.31
Albania,2005,4.71
Albania,2006,2.99
Albania,2007,2.87
Albania,2008,2.82
Albania,2009,2.11
Algeria,2004,9.6
Algeria,2008,7.2
Angola,2004,36
Angola,2008,19
Antigua and Barbuda,1961,1.79
Antigua and Barbuda,1962,0
Antigua and Barbuda,1963,3.45
Antigua and Barbuda,1964,0
Antigua and Barbuda,1966,3.28
Antigua and Barbuda,1969,0
Antigua and Barbuda,1970,0
Antigua and Barbuda,1971,0
Antigua and Barbuda,1972,1.49
Antigua and Barbuda,1973,7.35
Antigua and Barbuda,1974,1.47
Antigua and Barbuda,1975,7.35
Antigua and Barbuda,1976,1.47
Antigua and Barbuda,1977,1.45
Antigua and Barbuda,1978,0
Antigua and Barbuda,1983,0
Antigua and Barbuda,1985,1.48
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,3.21
Antigua and Barbuda,1990,1.61
Antigua and Barbuda,1991,4.82
Antigua and Barbuda,1992,3.17
Antigua and Barbuda,1993,6.2
Antigua and Barbuda,1994,7.55
Antigua and Barbuda,1995,10.3
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,2.6
Antigua and Barbuda,2001,11.5
Antigua and Barbuda,2002,5.02
Antigua and Barbuda,2003,2.47
Antigua and Barbuda,2004,8.8
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,4.9
Antigua and Barbuda,2007,0
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0.95
Argentina,1966,4.5
Argentina,1967,5.81
Argentina,1968,6.62
Argentina,1969,7.15
Argentina,1970,7.01
Argentina,1977,9.07
Argentina,1978,5.67
Argentina,1979,3.59
Argentina,1980,3.51
Argentina,1981,3.9
Argentina,1982,4.17
Argentina,1983,4.2
Argentina,1984,4.7
Argentina,1985,4.94
Argentina,1986,5.63
