Entity,Year,CO2 emissions transfers (Global Carbon Project (2014))
Africa,1990,-71.57565897
Africa,1991,-76.92148545
Africa,1992,-48.03683197
Africa,1993,-66.18785838
Africa,1994,-64.88055012
Africa,1995,-80.77585631
Africa,1996,-105.6105845
Africa,1997,-102.7860873
Africa,1998,-84.59849418
Africa,1999,-82.28484187
Africa,2000,-136.2840283
Africa,2001,-128.0615332
Africa,2002,-138.576495
Africa,2003,-110.5046465
Africa,2004,-129.1756654
Africa,2005,-108.2898322
Africa,2006,-112.3377574
Africa,2007,-99.95300104
Africa,2008,-97.60263678
Africa,2009,-55.45191021
Africa,2010,-76.79260091
Africa,2011,-77.42028106
Africa,2012,-72.00544585
Africa,2013,-8.827795652
Africa,2014,-18.14474492
Albania,1990,-0.000233292
Albania,1991,0.28681672
Albania,1992,0.357167317
Albania,1993,0.297077253
Albania,1994,0.412473055
Albania,1995,0.415570105
Albania,1996,0.918998113
Albania,1997,0.635232329
Albania,1998,0.743740831
Albania,1999,0.640063636
Albania,2000,0.751982368
Albania,2001,0.81883689
Albania,2002,1.217660179
Albania,2003,1.228986687
Albania,2004,1.163734266
Albania,2005,1.632885682
Albania,2006,1.660651077
Albania,2007,1.636158736
Albania,2008,1.694591475
Albania,2009,1.840274868
Albania,2010,1.454189104
Albania,2011,1.033755321
Albania,2012,1.148177527
Albania,2013,0.844827277
Albania,2014,0.828355105
Argentina,1990,1.592533146
Argentina,1991,4.338607992
Argentina,1992,7.97554424
Argentina,1993,6.703388848
Argentina,1994,6.109436253
Argentina,1995,3.770177596
Argentina,1996,4.182451644
Argentina,1997,8.253283472
Argentina,1998,9.742108581
Argentina,1999,6.160937104
Argentina,2000,2.332136675
Argentina,2001,-0.162512861
Argentina,2002,-31.84094452
Argentina,2003,-20.62405684
Argentina,2004,-23.31717927
Argentina,2005,-19.37299929
Argentina,2006,-16.68451671
Argentina,2007,-9.849496792
Argentina,2008,-9.471654699
Argentina,2009,-11.58874196
Argentina,2010,-5.855168561
Argentina,2011,-2.965538944
Argentina,2012,0.351466739
Argentina,2013,6.371531362
Argentina,2014,4.723919688
Armenia,1990,-1.97048993
Armenia,1991,-2.194752106
Armenia,1992,-2.010484559
Armenia,1993,-0.726275035
Armenia,1994,-0.814778633
Armenia,1995,-0.608103017
Armenia,1996,0.405537633
Armenia,1997,0.806105829
Armenia,1998,0.684167616
Armenia,1999,2.189847068
Armenia,2000,0.6209752
Armenia,2001,0.692811382
Armenia,2002,0.671085615
Armenia,2003,0.983306182
Armenia,2004,0.835979457
Armenia,2005,1.191128778
Armenia,2006,1.201681229
Armenia,2007,2.565482621
Armenia,2008,1.382393844
Armenia,2009,1.736985626
Armenia,2010,1.50241135
Armenia,2011,1.050049835
Armenia,2012,0.888372645
Armenia,2013,0.935600929
Armenia,2014,0.66638681
Asia,1990,200.0899334
Asia,1991,40.95319666
Asia,1992,267.2270477
Asia,1993,198.453877
Asia,1994,40.38202863
Asia,1995,44.00316684
Asia,1996,-13.89777319
Asia,1997,-111.5624528
Asia,1998,-329.0008974
Asia,1999,-119.8632468
Asia,2000,-138.0498627
Asia,2001,-171.9445121
Asia,2002,-296.7304722
Asia,2003,-518.4063087
Asia,2004,-776.0181537
Asia,2005,-955.566406
Asia,2006,-1208.662132
Asia,2007,-1411.520612
Asia,2008,-1294.317873
Asia,2009,-1076.965658
Asia,2010,-1177.319323
Asia,2011,-1250.391928
Asia,2012,-1113.897952
Asia,2013,-1118.736035
Asia,2014,-1080.002547
Australia,1990,-32.88479871
Australia,1991,-33.58064001
Australia,1992,-35.91751152
Australia,1993,-39.01620083
Australia,1994,-35.25225418
Australia,1995,-40.89483905
Australia,1996,-40.99857377
