Entity,Year,Drank in last week,Drank on 5 or more days in last week,Don't drink,Share of drinkers who "binged" on heaviest day of drinking in last week
"10,000 or less (income in pounds)",2016,45.1,7.3,29.4,23.8
"10,000-15,000 (income in pounds)",2016,53.0,9.7,23.3,26.0
"15,000-20,000 (income in pounds)",2016,56.2,9.1,19.6,29.8
"20,000-25,000 (income in pounds)",2016,63.0,9.2,13.2,25.8
"30,000-40,000 (income in pounds)",2016,69.8,11.8,13.2,29.7
"40,000+ (income in pounds)",2016,77.4,13.3,9.0,28.2
Both (16 to 24),2005,60.0,7.1,19.0,48.8
Both (16 to 24),2006,56.4,5.6,20.8,48.4
Both (16 to 24),2007,59.0,6.3,21.0,48.1
Both (16 to 24),2008,57.1,4.1,20.8,47.0
Both (16 to 24),2009,52.6,4.3,23.1,46.4
Both (16 to 24),2010,47.3,3.6,27.0,42.9
Both (16 to 24),2011,50.5,3.9,22.6,39.7
Both (16 to 24),2012,49.2,3.5,24.0,39.3
Both (16 to 24),2013,46.3,2.1,27.1,39.8
Both (16 to 24),2014,47.7,2.7,24.7,41.2
Both (16 to 24),2015,50.7,3.5,26.5,42.8
Both (16 to 24),2016,46.0,2.1,26.8,37.3
Both (25 to 44),2005,67.7,13.9,15.5,36.3
Both (25 to 44),2006,66.3,12.8,15.3,38.5
Both (25 to 44),2007,67.4,14.5,15.4,38.8
Both (25 to 44),2008,64.9,11.1,16.5,35.3
Both (25 to 44),2009,64.1,10.1,17.4,35.2
Both (25 to 44),2010,62.5,9.1,18.5,35.1
Both (25 to 44),2011,61.1,8.1,18.2,32.5
Both (25 to 44),2012,57.0,7.2,21.4,33.3
Both (25 to 44),2013,57.5,6.5,20.1,33.5
Both (25 to 44),2014,56.2,6.2,22.2,34.8
Both (25 to 44),2015,57.3,6.3,21.7,35.1
Both (25 to 44),2016,56.0,5.0,20.1,32.5
Both (45 to 64),2005,68.8,22.1,15.5,24.0
Both (45 to 64),2006,67.8,20.1,15.9,24.2
Both (45 to 64),2007,68.3,20.5,17.0,27.0
Both (45 to 64),2008,66.8,19.5,17.0,24.9
Both (45 to 64),2009,65.3,17.9,18.1,24.7
Both (45 to 64),2010,66.4,16.4,16.9,23.1
Both (45 to 64),2011,66.1,16.8,16.2,23.4
Both (45 to 64),2012,64.7,14.4,18.8,23.0
Both (45 to 64),2013,64.7,13.6,16.7,24.8
Both (45 to 64),2014,65.6,14.9,14.3,26.6
Both (45 to 64),2015,65.3,15.1,17.2,29.4
Both (45 to 64),2016,64.2,11.9,16.3,28.2
Both (65 and over),2005,53.5,19.4,29.4,7.5
Both (65 and over),2006,54.4,20.4,27.4,7.6
Both (65 and over),2007,54.8,21.3,27.4,9.5
Both (65 and over),2008,53.2,20.1,29.8,8.1
Both (65 and over),2009,52.9,19.5,29.8,6.4
Both (65 and over),2010,53.2,19.4,29.5,8.0
Both (65 and over),2011,51.5,18.3,30.3,7.5
Both (65 and over),2012,53.2,18.2,28.9,8.3
Both (65 and over),2013,55.6,18.3,26.6,8.9
Both (65 and over),2014,56.7,19.3,25.5,9.2
Both (65 and over),2015,57.1,20.7,24.4,11.6
Both (65 and over),2016,54.5,17.7,25.1,10.3
Both (All aged 16+),2005,64.2,16.8,18.8,28.6
Both (All aged 16+),2006,63.1,15.8,18.7,29.2
Both (All aged 16+),2007,64.1,16.8,19.1,30.6
Both (All aged 16+),2008,62.1,14.9,20.0,28.0
Both (All aged 16+),2009,60.7,14.0,21.0,27.2
Both (All aged 16+),2010,59.9,13.0,21.4,26.3
Both (All aged 16+),2011,59.4,12.7,20.7,25.1
Both (All aged 16+),2012,57.5,11.2,22.5,25.6
Both (All aged 16+),2013,57.9,10.6,21.3,26.1
Both (All aged 16+),2014,58.1,11.3,20.8,27.2
Both (All aged 16+),2015,58.9,11.8,21.5,29.1
Both (All aged 16+),2016,56.9,9.6,20.9,26.8
Cohabiting,2016,60.4,7.8,13.1,37.1
Females (16 to 24),2005,56.2,4.8,20.4,47.6
Females (16 to 24),2006,52.8,3.2,22.2,47.1
