Entity,Year,Count of terrorist incidents (RAND),Injuries due to terrorism (RAND),Fatalities due to terrorism (RAND)
Afghanistan,1979,4,2,9
Afghanistan,1981,1,0,0
Afghanistan,1982,4,2,3
Afghanistan,1983,3,4,4
Afghanistan,1984,1,0,0
Afghanistan,1985,1,0,0
Afghanistan,1986,2,0,3
Afghanistan,1987,2,17,5
Afghanistan,1988,6,42,47
Afghanistan,1989,2,0,0
Afghanistan,1990,2,0,4
Afghanistan,1991,1,0,0
Afghanistan,1992,2,0,1
Afghanistan,1993,4,0,10
Afghanistan,1994,1,0,0
Afghanistan,1995,2,0,0
Afghanistan,1996,3,2,0
Afghanistan,1998,4,3,12
Afghanistan,2001,3,2,8
Afghanistan,2002,65,319,79
Afghanistan,2003,148,173,133
Afghanistan,2004,146,314,230
Afghanistan,2005,207,328,288
Afghanistan,2006,352,799,755
Afghanistan,2007,317,582,621
Afghanistan,2008,450,1405,1228
Afghanistan,2009,291,795,760
Albania,1981,1,0,0
Albania,1982,1,0,0
Albania,1990,1,0,0
Albania,1991,1,4,0
Albania,1993,1,0,0
Albania,1994,1,3,2
Albania,1997,2,0,0
Albania,1998,28,6,2
Albania,1999,2,0,0
Albania,2001,3,3,1
Albania,2002,3,4,1
Albania,2003,1,0,0
Albania,2004,1,0,0
Albania,2005,4,0,0
Albania,2007,4,0,0
Algeria,1972,2,1,0
Algeria,1977,1,0,0
Algeria,1985,1,1,0
Algeria,1991,2,0,1
Algeria,1992,6,100,9
Algeria,1993,9,3,9
Algeria,1994,31,29,74
Algeria,1995,12,10,23
Algeria,1996,4,0,10
Algeria,1997,2,0,2
Algeria,1998,81,697,693
Algeria,1999,14,162,29
Algeria,2000,8,50,6
Algeria,2001,4,38,5
Algeria,2002,5,42,35
Algeria,2003,7,7,10
Algeria,2004,12,16,31
Algeria,2005,15,32,23
Algeria,2006,29,53,42
Algeria,2007,38,466,181
Algeria,2008,36,183,119
Angola,1969,1,0,0
Angola,1975,4,0,0
Angola,1976,1,0,2
Angola,1979,1,5,1
Angola,1981,1,0,0
Angola,1982,3,0,0
Angola,1983,5,0,0
Angola,1984,8,0,12
Angola,1985,3,0,0
Angola,1986,2,0,0
Angola,1987,1,0,1
Angola,1989,3,1,0
Angola,1990,3,0,0
Angola,1992,5,0,1
Angola,1993,6,0,7
Angola,1994,4,1,0
Angola,1995,2,0,27
Angola,1996,1,0,0
Angola,1997,1,0,0
Angola,1998,4,13,24
Angola,1999,7,25,26
Angola,2000,1,0,0
Angola,2001,5,171,255
Angola,2002,1,0,2
Argentina,1968,6,0,0
Argentina,1969,26,0,0
Argentina,1970,19,1,3
Argentina,1971,16,0,0
Argentina,1972,14,0,2
Argentina,1973,14,0,4
Argentina,1974,48,2,5
Argentina,1975,19,4,5
Argentina,1976,29,4,21
Argentina,1977,12,13,10
Argentina,1978,4,0,0
Argentina,1979,1,0,0
Argentina,1982,2,0,0
Argentina,1983,3,0,0
Argentina,1984,5,0,0
Argentina,1985,3,0,0
Argentina,1986,1,0,0
Argentina,1987,1,0,0
Argentina,1988,3,0,0
Argentina,1990,9,0,0
Argentina,1991,4,0,0
Argentina,1992,3,250,28
Argentina,1993,1,0,0
Argentina,1994,3,239,96
Argentina,1995,2,1,0
Argentina,2001,1,0,0
Argentina,2002,1,0,0
Argentina,2003,3,0,0
Argentina,2004,6,1,1
Argentina,2005,8,1,0
Armenia,1998,3,1,0
Armenia,1999,3,0,1
Armenia,2002,2,0,1
Australia,1969,4,0,0
Australia,1970,1,0,0
Australia,1971,2,0,0
Australia,1972,2,0,1
Australia,1974,1,0,0
Australia,1977,4,2,0
Australia,1978,3,7,3
Australia,1979,1,0,0
Australia,1980,1,0,2
Australia,1981,2,0,1
Australia,1982,2,2,0
Australia,1986,1,0,1
Australia,1988,3,0,0
Australia,1991,3,0,0
Australia,1994,2,0,0
Australia,2001,1,0,1
Austria,1968,2,0,0
Austria,1972,2,10,1
Austria,1973,1,0,0
Austria,1975,2,7,3
Austria,1976,2,0,0
Austria,1977,2,0,0
Austria,1979,3,2,0
Austria,1981,3,24,3
Austria,1982,11,1,1
Austria,1983,1,0,0
Austria,1984,5,5,2
Austria,1985,3,40,3
Austria,1986,3,0,0
Austria,1987,4,1,1
Austria,1989,1,1,3
Austria,1990,1,1,0
Austria,1991,2,0,0
Austria,1992,1,7,0
Austria,1993,2,0,0
Austria,1995,5,1,0
Austria,1996,1,0,0
Austria,1998,3,17,0
Austria,1999,1,0,0
Austria,2005,1,0,0
Azerbaijan,1994,1,53,12
Azerbaijan,1998,2,0,0
Azerbaijan,2000,1,0,0
Azerbaijan,2001,2,0,7
Azerbaijan,2008,3,15,7
Bahamas,1968,1,0,1
Bahamas,1976,1,0,0
Bahrain,1979,1,0,0
Bahrain,1986,1,0,0
Bahrain,1995,1,0,1
Bahrain,1996,10,9,8
Bahrain,1997,1,0,4
Bahrain,1998,1,0,0
Bahrain,2006,3,2,0
Bangladesh,1973,1,0,0
Bangladesh,1975,2,1,0
Bangladesh,1977,1,1,0
Bangladesh,1979,1,0,0
Bangladesh,1988,1,0,0
Bangladesh,1989,1,2,0
Bangladesh,1996,2,0,0
Bangladesh,1999,4,226,18
Bangladesh,2001,15,274,48
Bangladesh,2002,10,435,30
Bangladesh,2003,17,64,22
Bangladesh,2004,24,588,40
Bangladesh,2005,45,565,50
Bangladesh,2006,25,49,19
Bangladesh,2007,6,3,4
Barbados,1976,2,0,73
Belarus,1998,1,0,0
Belarus,2001,1,0,0
Belgium,1950,2,,
Belgium,1951,1,,
Belgium,1952,1,,
Belgium,1953,4,,
Belgium,1954,2,,
Belgium,1955,9,,
Belgium,1956,1,,
Belgium,1957,5,,
Belgium,1958,3,,
Belgium,1959,6,,
Belgium,1960,10,,
Belgium,1961,3,,
Belgium,1962,8,,
Belgium,1963,15,,
Belgium,1964,10,,
Belgium,1965,2,,
Belgium,1966,1,,
Belgium,1967,3,,
Belgium,1968,7,0,0
Belgium,1969,2,4,0
Belgium,1970,2,0,0
Belgium,1971,1,,
Belgium,1972,1,1,0
Belgium,1973,1,0,0
Belgium,1974,5,6,0
Belgium,1975,1,,
Belgium,1976,9,0,0
Belgium,1977,2,,
Belgium,1978,,0,0
Belgium,1979,,32,0
Belgium,1980,,17,1
Belgium,1981,,99,7
Belgium,1982,,7,2
Belgium,1983,,3,1
Belgium,1984,,0,0
Belgium,1985,,6,0
Belgium,1986,,0,0
Belgium,1987,,0,1
Belgium,1988,,0,1
Belgium,1989,,5,4
Belgium,1990,,1,1
Belgium,1991,,0,0
Belgium,1994,,0,1
Belgium,1995,,0,0
Belgium,1997,,0,0
Belgium,1998,,5,0
Belgium,2002,,0,0
Belgium,2003,,0,0
Belgium,2004,,0,0
Belize,1992,1,0,0
Benin,1994,1,3,0
Bhutan,2006,2,0,0
Bhutan,2008,10,3,0
Bolivia,1968,1,0,0
Bolivia,1969,5,0,0
Bolivia,1970,10,0,0
Bolivia,1976,1,0,0
Bolivia,1980,1,0,0
Bolivia,1981,1,0,0
Bolivia,1982,2,0,0
Bolivia,1983,2,0,0
Bolivia,1984,2,0,0
Bolivia,1985,3,0,0
Bolivia,1986,2,0,0
Bolivia,1987,5,14,0
Bolivia,1988,5,0,1
Bolivia,1989,4,0,2
Bolivia,1990,4,1,1
Bolivia,1991,2,0,0
Bolivia,1992,3,0,0
Bolivia,1993,2,0,0
Bolivia,1994,1,0,0
Bolivia,1999,1,0,0
Bolivia,2001,5,8,1
Bolivia,2002,1,0,0
Bolivia,2003,2,0,0
Bolivia,2004,2,10,3
Bolivia,2005,2,0,0
Bolivia,2006,3,8,2
Bolivia,2007,4,0,0
Bolivia,2008,3,0,0
Bosnia and Herzegovina,1993,1,0,2
Bosnia and Herzegovina,1994,11,5,0
Bosnia and Herzegovina,1995,2,0,0
Bosnia and Herzegovina,1996,4,7,3
Bosnia and Herzegovina,1997,5,0,0
Bosnia and Herzegovina,1998,43,16,9
Bosnia and Herzegovina,1999,7,2,3
Bosnia and Herzegovina,2000,1,0,0
Bosnia and Herzegovina,2001,8,0,0
Bosnia and Herzegovina,2002,18,2,0
Bosnia and Herzegovina,2003,3,0,0
Bosnia and Herzegovina,2004,4,0,0
Bosnia and Herzegovina,2005,1,0,0
Bosnia and Herzegovina,2006,2,0,0
Bosnia and Herzegovina,2007,1,0,0
Bosnia and Herzegovina,2008,3,7,1
Botswana,1974,1,0,1
Botswana,1985,1,0,1
Botswana,2007,1,0,0
Brazil,1968,4,3,1
Brazil,1969,3,2,0
Brazil,1970,8,3,2
Brazil,1971,3,0,0
Brazil,1972,2,1,1
Brazil,1973,4,30,1
Brazil,1977,1,0,1
Brazil,1978,1,0,0
Brazil,1981,1,0,0
Brazil,1984,2,0,0
Brazil,1986,1,0,0
Brazil,1989,1,0,0
Brazil,1990,1,0,0
Brazil,1991,4,9,3
Brazil,1992,1,0,0
Brazil,1993,1,0,0
Brazil,1998,3,0,0
Brazil,2001,4,2,0
Brazil,2002,3,0,0
Brazil,2003,3,0,0
Brazil,2005,2,0,1
Bulgaria,1982,1,0,1
Bulgaria,1990,1,0,0
Bulgaria,1991,1,0,0
Bulgaria,1994,1,0,0
Bulgaria,1995,1,0,0
Bulgaria,1997,1,0,0
Bulgaria,1998,2,0,0
Bulgaria,2001,1,0,1
Bulgaria,2002,2,0,0
Bulgaria,2005,1,0,0
Burundi,1994,1,5,2
Burundi,1995,7,16,8
Burundi,1996,3,0,7
Burundi,1999,1,5,9
Burundi,2003,1,0,1
Burundi,2007,1,3,0
Cambodia,1970,1,0,0
Cambodia,1971,3,12,2
Cambodia,1972,2,0,0
Cambodia,1978,1,0,1
Cambodia,1992,6,6,0
Cambodia,1993,13,37,15
Cambodia,1994,3,0,13
Cambodia,1995,1,1,2
Cambodia,1996,5,3,2
Cambodia,1997,3,116,31
Cambodia,1998,7,0,0
Cambodia,1999,1,0,0
Cambodia,2000,2,9,4
Cambodia,2001,5,3,2
Cambodia,2002,3,0,5
Cambodia,2005,3,1,0
Cambodia,2007,1,0,0
Canada,1968,3,0,0
Canada,1969,2,0,0
Canada,1970,1,0,1
Canada,1971,1,0,0
Canada,1972,8,7,1
Canada,1974,1,0,0
Canada,1980,1,0,0
Canada,1982,3,11,1
Canada,1984,2,29,3
Canada,1985,2,1,330
Canada,1986,1,1,0
Canada,1988,1,1,0
Canada,1989,1,0,0
Canada,1992,1,1,0
Canada,1993,1,0,2
Canada,2004,1,0,0
Canada,2005,1,0,0
Canada,2006,3,0,0
Central African Republic,1997,1,7,0
Chad,1978,3,0,3
Chad,1983,2,0,5
Chad,1984,2,25,0
Chad,1985,1,0,0
Chad,1987,1,0,0
Chad,1989,1,0,171
Chad,1995,1,0,0
Chad,2002,1,0,1
Chile,1950,3,,
Chile,1951,2,,
Chile,1952,1,,
Chile,1953,11,,
Chile,1954,2,,
Chile,1955,3,,
Chile,1956,1,,
Chile,1957,1,,
Chile,1958,1,,
Chile,1959,1,,
Chile,1960,5,,
Chile,1961,5,,
Chile,1962,24,,
Chile,1963,14,,
Chile,1964,13,,
Chile,1965,8,,
Chile,1966,25,,
Chile,1967,22,,
Chile,1968,33,0,0
Chile,1969,23,,
Chile,1970,11,0,0
Chile,1971,4,,
Chile,1972,1,0,0
Chile,1973,1,0,0
Chile,1974,4,,
Chile,1975,3,,
Chile,1976,1,0,0
Chile,1977,1,0,0
Chile,1978,4,0,0
Chile,1979,2,0,0
Chile,1980,3,,
Chile,1981,14,0,0
Chile,1982,6,0,0
Chile,1983,,0,0
Chile,1984,,0,0
Chile,1985,,11,1
Chile,1986,,0,0
Chile,1987,,1,0
Chile,1988,,4,0
Chile,1989,,1,0
Chile,1990,,13,1
Chile,1991,,2,0
Chile,1992,,3,0
Chile,1993,,4,0
Chile,1994,,0,0
Chile,1996,,0,0
Chile,1998,,0,0
Chile,1999,,0,0
Chile,2000,,1,0
Chile,2001,,0,0
Chile,2002,,0,0
Chile,2003,,0,0
Chile,2004,,0,0
Chile,2007,,0,0
Chile,2008,,2,0
Chile,2009,,0,1
China,1976,1,0,2
China,1991,1,0,0
China,1993,1,0,1
China,1996,1,0,0
China,1997,2,82,12
China,1998,1,0,50
China,1999,4,51,5
China,2001,6,6,2
China,2002,1,0,0
China,2004,2,6,3
China,2005,2,4,0
China,2008,6,23,25
Colombia,1968,2,0,0
Colombia,1969,1,0,0
Colombia,1970,3,0,2
Colombia,1971,2,0,0
Colombia,1972,2,0,1
Colombia,1973,1,0,0
Colombia,1975,5,2,0
Colombia,1976,16,15,4
Colombia,1977,8,4,2
Colombia,1978,10,1,0
Colombia,1979,2,3,0
Colombia,1980,7,8,2
Colombia,1981,8,0,2
Colombia,1982,5,2,0
Colombia,1983,12,2,0
Colombia,1984,10,11,2
Colombia,1985,18,5,2
Colombia,1986,29,1,2
Colombia,1987,12,3,0
Colombia,1988,26,19,1
Colombia,1989,22,4,4
Colombia,1990,8,0,1
Colombia,1991,3,0,1
Colombia,1992,21,5,3
Colombia,1993,9,11,1
Colombia,1994,31,2,2
Colombia,1995,10,1,4
Colombia,1996,22,1,1
Colombia,1997,12,3,6
Colombia,1998,136,102,120
Colombia,1999,95,27,59
Colombia,2000,192,119,184
Colombia,2001,126,270,287
Colombia,2002,432,687,273
Colombia,2003,147,438,178
Colombia,2004,76,215,99
Colombia,2005,104,209,114
Colombia,2006,135,142,137
Colombia,2007,50,151,50
Colombia,2008,56,177,46
Colombia,2009,47,108,25
Congo,1987,1,1,1
Congo,1990,1,0,0
Costa Rica,1950,,0,
Costa Rica,1951,,8,
Costa Rica,1952,,0,
Costa Rica,1953,,2,
Costa Rica,1954,,5,
Costa Rica,1955,,1,
Costa Rica,1956,,1,
Costa Rica,1957,,2,
Costa Rica,1958,,4,
Costa Rica,1959,,0,
Costa Rica,1960,,6,
Costa Rica,1961,,0,
Costa Rica,1962,,0,
Costa Rica,1963,,0,
Costa Rica,1964,,0,
Costa Rica,1965,,0,
Costa Rica,1966,,0,
Costa Rica,1970,2,,0
Costa Rica,1976,8,,0
Costa Rica,1977,3,,0
Costa Rica,1979,2,,0
Costa Rica,1981,4,,0
Costa Rica,1982,3,,0
Costa Rica,1983,3,,0
Costa Rica,1984,2,,1
Costa Rica,1986,2,,0
Costa Rica,1987,1,,0
Costa Rica,1988,3,,0
Costa Rica,1989,1,,0
Costa Rica,1990,1,,0
Costa Rica,1991,2,,0
Costa Rica,1992,1,,0
Costa Rica,1993,1,,0
Costa Rica,2001,1,,1
Cote d'Ivoire,1989,1,0,1
Cote d'Ivoire,1990,1,0,1
Cote d'Ivoire,2003,1,0,1
Croatia,1994,2,0,0
Croatia,1995,1,29,1
Croatia,1997,2,1,0
Croatia,1998,6,8,1
Croatia,1999,1,0,0
Croatia,2001,4,2,0
Croatia,2002,4,0,0
Croatia,2005,1,1,0
Croatia,2006,2,0,0
Cuba,1973,1,0,0
Cuba,1976,1,0,0
Cuba,1981,1,1,0
Cuba,1991,1,0,0
Cuba,1992,1,0,0
Cuba,1994,1,0,1
Cuba,1997,13,3,1
Cyprus,1973,5,0,3
Cyprus,1974,1,0,2
Cyprus,1977,7,1,1
Cyprus,1978,1,0,1
Cyprus,1979,2,0,0
Cyprus,1981,2,6,0
Cyprus,1982,1,0,0
Cyprus,1983,2,1,0
Cyprus,1984,7,6,3
Cyprus,1985,10,2,5
Cyprus,1986,2,3,0
Cyprus,1987,4,2,0
Cyprus,1988,5,20,7
Cyprus,1989,2,1,1
Cyprus,1990,1,25,1
Cyprus,1991,4,0,0
Cyprus,1994,1,0,1
Cyprus,1996,2,0,0
Cyprus,1998,3,0,0
Cyprus,2001,2,0,0
Cyprus,2003,2,0,0
Cyprus,2004,6,0,0
Czech Republic,1993,1,0,0
Czech Republic,1998,1,4,0
Czech Republic,2002,2,0,0
Czech Republic,2003,1,0,0
Czechoslovakia,1989,1,0,0
Czechoslovakia,1992,1,1,0
Democratic Republic of Congo,1972,1,0,0
Democratic Republic of Congo,1973,1,1,0
Democratic Republic of Congo,1977,2,0,1
Democratic Republic of Congo,1994,1,0,0
Democratic Republic of Congo,1996,2,0,4
Democratic Republic of Congo,2001,2,0,6
Democratic Republic of Congo,2009,1,12,15
Denmark,1968,1,0,0
Denmark,1969,2,0,0
Denmark,1971,1,0,0
Denmark,1977,1,0,0
Denmark,1980,1,0,0
Denmark,1981,4,5,0
Denmark,1985,8,54,1
Denmark,1986,1,0,0
Denmark,1989,1,0,0
Denmark,1993,1,0,0
Denmark,1994,1,0,0
Denmark,1995,1,0,0
Denmark,1999,2,0,0
Denmark,2000,1,1,0
Denmark,2004,1,0,0
Denmark,2005,1,0,0
Denmark,2006,1,0,0
Djibouti,1978,1,0,0
Djibouti,1987,1,45,11
Djibouti,1990,1,15,1
Djibouti,2004,1,6,0
Dominican Republic,1968,6,0,0
Dominican Republic,1970,3,0,0
Dominican Republic,1971,1,0,1
Dominican Republic,1973,1,0,0
Dominican Republic,1974,2,0,0
Dominican Republic,1978,1,0,0
Dominican Republic,1987,3,0,0
Dominican Republic,1988,2,0,0
Dominican Republic,1989,8,3,1
Ecuador,1968,4,0,0
Ecuador,1969,3,1,1
Ecuador,1970,1,0,0
Ecuador,1971,1,0,0
Ecuador,1973,1,0,0
Ecuador,1974,2,2,0
Ecuador,1976,1,1,0
Ecuador,1982,2,1,3
Ecuador,1983,1,0,0
Ecuador,1988,1,0,10
Ecuador,1989,5,0,0
Ecuador,1991,7,0,0
Ecuador,1993,1,0,0
Ecuador,1994,1,0,0
Ecuador,1997,1,0,0
Ecuador,1998,3,3,1
Ecuador,1999,2,0,0
Ecuador,2000,6,30,8
Ecuador,2001,4,1,0
Ecuador,2002,11,3,2
Ecuador,2003,9,5,0
Ecuador,2004,3,1,0
Ecuador,2005,3,1,0
Ecuador,2006,3,0,2
Ecuador,2007,1,1,0
Egypt,1969,1,0,0
Egypt,1971,1,0,1
Egypt,1972,4,1,0
Egypt,1974,2,27,11
Egypt,1976,5,77,9
Egypt,1977,4,9,1
Egypt,1979,3,11,1
Egypt,1984,21,1,0
