Entity,Year,Living Planet Index,"Lower CI, Living Planet Index (95% CI)","Upper CI, Living Planet Index (95% CI)"
Africa,1970,1.0,1.0,1.0
Africa,1971,0.954619689,0.877905669,1.049108031
Africa,1972,0.946834134,0.814798388,1.108678393
Africa,1973,0.991811736,0.81908753,1.208707213
Africa,1974,0.99384934,0.771446096,1.278777795
Africa,1975,0.966180782,0.69761962,1.324486311
Africa,1976,0.924301969,0.618370488,1.348479638
Africa,1977,0.872671198,0.563436072,1.31951995
Africa,1978,0.807315407,0.508606522,1.257273253
Africa,1979,0.769254314,0.46266409,1.257538959
Africa,1980,0.769081876,0.438800042,1.328204823
Africa,1981,0.795767414,0.436448033,1.426150695
Africa,1982,0.764077794,0.410753522,1.398253089
Africa,1983,0.731503259,0.390570959,1.34313978
Africa,1984,0.684761215,0.363387584,1.260813991
Africa,1985,0.637356956,0.336530432,1.179306984
Africa,1986,0.597940078,0.314803731,1.114486803
Africa,1987,0.573022634,0.301512145,1.077077199
Africa,1988,0.560417189,0.294651004,1.058415563
Africa,1989,0.551636921,0.289561275,1.047286026
Africa,1990,0.535341213,0.279920623,1.020471154
Africa,1991,0.524957607,0.273239148,1.004773682
Africa,1992,0.525530614,0.272474142,1.010381931
Africa,1993,0.528797177,0.272298129,1.022262265
Africa,1994,0.537990254,0.27489396,1.046411241
Africa,1995,0.532089821,0.270130776,1.0413283
Africa,1996,0.533139984,0.269979873,1.048317159
Africa,1997,0.523589476,0.264798546,1.033454929
Africa,1998,0.514812834,0.260521658,1.01866499
Africa,1999,0.507354963,0.256536467,1.005380784
Africa,2000,0.498478206,0.251948323,0.990628086
Africa,2001,0.477969422,0.240470567,0.955173003
Africa,2002,0.454182948,0.227726001,0.914103573
Africa,2003,0.434670747,0.215846269,0.880793043
Africa,2004,0.430759027,0.21047456,0.88143674
Africa,2005,0.423475095,0.203524912,0.875202311
Africa,2006,0.417608907,0.198434553,0.870580871
Africa,2007,0.417640316,0.198294506,0.873575831
Africa,2008,0.421065122,0.19957817,0.880000107
Africa,2009,0.42209775,0.199609472,0.8848471
Africa,2010,0.411133919,0.193916553,0.863889326
Africa,2011,0.393256355,0.184961851,0.830753708
Africa,2012,0.369574054,0.17359079,0.781068995
Africa,2013,0.345145394,0.161848117,0.730016921
Africa,2014,0.324928695,0.152385752,0.686286358
Africa,2015,0.312935728,0.146691471,0.662561521
Africa,2016,0.320542215,0.149688821,0.680268934
Africa,2017,0.344458751,0.15991854,0.7343358
Asia and Pacific,1970,1.0,1.0,1.0
Asia and Pacific,1971,1.037109657,0.984715847,1.097304737
Asia and Pacific,1972,1.048386686,0.961006915,1.144042346
Asia and Pacific,1973,1.041134016,0.93620443,1.148096754
Asia and Pacific,1974,1.049811427,0.938732991,1.165759634
Asia and Pacific,1975,1.059803663,0.943320861,1.184052305
Asia and Pacific,1976,1.060154597,0.939715527,1.19127385
Asia and Pacific,1977,1.041612733,0.921532313,1.17261797
Asia and Pacific,1978,1.02561853,0.904999924,1.157286946
Asia and Pacific,1979,1.014466364,0.89247058,1.147537338
Asia and Pacific,1980,1.006715203,0.883268142,1.141953561
Asia and Pacific,1981,0.990261526,0.866304,1.126576649
Asia and Pacific,1982,0.967173069,0.843433102,1.103665504
Asia and Pacific,1983,0.937090272,0.814814909,1.072534865
