Entity,Year,Causes of death for infant girls (<1 year) (IHME),Causes of death for infant boys (<1 year) (IHME)
Birth defects,2017,297.1,319.6
Diarrheal diseases,2017,228.7,251.5
Digestive anomalies,2017,28.2,36.3
Encephalitis,2017,9.4,9.1
Encephalopathy from asphyxia and trauma,2017,332.8,432.8
HIV/AIDS,2017,36.1,35.9
Heart anomalies,2017,127.3,134.4
Lower respiratory infections,2017,438.3,442.7
Malaria,2017,92.3,98.9
Measles,2017,17.8,17.9
Meningitis,2017,62.3,68.4
Nutritional deficiencies,2017,57.6,44.5
Preterm birth,2017,418.1,517.3
Sudden infant death syndrome,2017,25.0,32.7
Syphilis,2017,60.8,93.1
Tetanus,2017,11.5,12.7
Tuberculosis,2017,22.6,20.6
Whooping cough,2017,34.7,27.6
