Entity,Year,Share of CO2 emissions (%) - China,Value added to GDP (%) - China,Emissions growth (%) - China,Value added growth (%) - China,Share of CO2 emissions (%) - USA,Value added to GDP (%) - USA,Emissions growth (%) - USA,Value added growth (%) - USA,Share of CO2 emissions (%) - Germany,Value added to GDP (%) - Germany,Emissions growth (%) - Germany,Value added growth (%) - Germany
"Agriculture, Forestry & Fishing",2009,1.9,10.2,12.9,140.7,1.2,1,-19.7,10.1,1.1,0.9,-37.9,-20.4
Air Transport,2009,1.3,0.2,415.3,194.9,3.7,0.4,-2.2,12.4,5.3,0.4,57.4,39.7
Basic & Fabricated Metals,2009,10.1,5.4,106,407.6,2.4,1.2,-47,-13.7,7.5,2.9,-26.9,10.4
Chemicals & Products,2009,4.3,3.4,16.9,376.8,3.2,1.4,-13.6,19.8,5,2.2,-10.5,4.3
"Coke, Refined Petroleum & Nuclear Fuel",2009,1.6,1,101.8,321.7,4.5,0.9,-11.2,158.8,2.9,0.5,-7.5,82.5
Construction,2009,1.1,6.6,333.1,400.1,1,4.1,-24.7,38.6,1.2,4.4,-42.1,-23.5
Education,2009,0.3,3.1,8.2,619.5,0.4,1,2.8,83.4,0.7,4.5,-14.9,27.4
Electrical & Optical Equipment,2009,0.3,5,20,605.4,0.3,2,-45.8,28.8,0.3,3,-37.6,11.5
"Electricity, Gas & Water",2009,53.5,2.7,216.3,487.4,48.5,1.9,10.8,20.1,50.9,2.9,-7.8,60.2
Financial Intermediation,2009,0.1,5.1,-12.6,423.8,0.7,9.1,-19.8,79.7,0.3,4.2,-10.4,9.1
"Food, Beverages & Tobacco",2009,1.1,3.8,-9.8,295.3,1.5,1.5,15.8,24.4,1.4,1.6,-22.9,-11.4
Health & Social Work,2009,0.4,1.7,314.6,750.4,2.1,7.4,-7.2,67.2,1,7.8,9.9,49.9
Hotels & Restaurants,2009,0.3,2.1,205.1,391.8,1.5,2.9,-7.5,50.8,0.6,1.7,-4.1,35
"IT, Research & Development",2009,0.4,3.7,214.8,747.1,2.5,13.4,-7.5,82.8,1.9,13.6,-5.6,55.2
Leather & Footwear,2009,0.1,0.5,-16.7,218,0,0,-81.1,-61.5,0,0,-86.6,-35.6
Machinery,2009,0.6,3.2,-6.8,347.2,0.4,0.8,-10,-6,0.5,3.3,-33.1,18.6
"Manufacturing, Nec, Recycling",2009,0.1,0.6,-54.1,438,0.1,0.4,-51.2,3.5,0.1,0.6,-2.9,-5.3
Mining & Quarrying,2009,3.1,4.3,101.2,399.8,2.7,1.7,-10.2,127.7,0.8,0.2,-50.5,-59.5
"Motor vehicles (manufacturing, repair & fuel)",2009,0,0,167.4,0,0.1,0.9,-29.9,19.2,0.2,1.6,-59.5,24.6
"Other Community, Social & Personal Services",2009,0.6,2.4,121.2,736.6,1.2,3.6,-45.9,47.5,1.1,4.8,27.8,26.7
Other Non-Metallic Mineral,2009,11.5,2.2,87,174.8,2.6,0.3,-6.9,-13.5,5.4,0.6,-24.8,-36.7
Post & Telecommunications,2009,0.1,2.5,412,1264.5,0.7,2.6,50.8,22.4,1.1,1.7,27.1,-12.6
Private Households,2009,0,0,0,0,0,0.1,0,18.2,0,0.3,0,0
Public Admin & Defence,2009,0.4,3.7,146.5,681.8,6.1,12.6,-27.7,45.1,0.9,6,-37.1,7.5
"Pulp, Paper, & Printing",2009,0.8,1.2,28.7,269.5,1.5,1.2,-8,-6.8,1.2,1.3,-14.2,-17.3
Rail and freight transport,2009,1.6,2.8,127.6,261.5,4.6,1.2,25.3,21.5,1.6,1.5,0.6,-2.3
Real Estate Activities,2009,0.1,5.4,-55.8,556.8,0.2,11.9,-29.1,55.6,1.1,12.2,-12.4,32.8
Retail Trade,2009,0.1,1.4,41.5,401.2,1.9,6,-28.6,17.7,1.4,3.7,-37.1,7
Rubber & Plastics,2009,0.4,1.3,-17.1,324.3,0.1,0.4,-24.8,-15,0.2,1,-33.3,-1.8
Supporting & Auxiliary Transport,2009,0.5,0.9,799.3,324.6,1.3,1,139.5,45.4,1.9,1.8,47.8,97.2
Textiles & Products,2009,0.8,2.7,-13.4,220.8,0.2,0.2,-60.2,-58.7,0.1,0.3,-80.8,-41.1
Transport Equipment,2009,0.4,2.2,47.7,471.9,0.5,1.2,-21,-11,0.6,3.3,-20.5,26.2
Water Transport,2009,1.6,1,479.1,1641,1.3,0.1,5.6,86.3,0.4,0.4,-61.7,211.9
Wholesale & Commission Trade,2009,0.1,6.9,-50.2,401.2,0.7,5.6,-30.9,25.1,1,4.6,-12.3,4.8
Wood & Products,2009,0.2,0.8,32.4,369.2,0.3,0.1,-6.3,-35.9,0.1,0.3,-29.8,-37
