Entity,Year,Total Productivity
Australia,2001,90.89
Australia,2002,92.23
Australia,2003,94.29
Australia,2004,94.02
Australia,2005,94.58
Australia,2006,95.04
Australia,2007,96.23
Australia,2008,99.49
Australia,2009,98.46
Australia,2010,100.00
Australia,2011,100.92
Australia,2012,103.35
Australia,2013,105.15
Australia,2014,105.91
Australia,2015,108.75
Australia,2016,109.52
Austria,2001,88.24
Austria,2002,89.92
Austria,2003,90.46
Austria,2004,92.20
Austria,2005,94.33
Austria,2006,96.74
Austria,2007,99.06
Austria,2008,99.15
Austria,2009,98.42
Austria,2010,100.00
Austria,2011,100.88
Austria,2012,102.04
Austria,2013,102.80
Austria,2014,103.15
Austria,2015,104.99
Austria,2016,104.59
Belgium,2001,89.75
Belgium,2002,91.85
Belgium,2003,92.92
Belgium,2004,95.66
Belgium,2005,96.74
Belgium,2006,97.64
Belgium,2007,99.09
Belgium,2008,98.51
Belgium,2009,97.81
Belgium,2010,100.00
Belgium,2011,99.54
Belgium,2012,99.32
Belgium,2013,99.97
Belgium,2014,101.06
Belgium,2015,102.27
Belgium,2016,102.41
Canada,2001,92.64
Canada,2002,94.07
Canada,2003,94.13
Canada,2004,94.76
Canada,2005,97.01
Canada,2006,98.12
Canada,2007,98.27
Canada,2008,98.20
Canada,2009,98.91
Canada,2010,100.00
Canada,2011,101.74
Canada,2012,101.62
Canada,2013,103.06
Canada,2014,105.34
Canada,2015,105.11
Canada,2016,105.80
Chile,2001,81.03
Chile,2002,81.75
Chile,2003,82.44
Chile,2004,86.30
Chile,2005,90.91
Chile,2006,94.65
Chile,2007,98.30
Chile,2008,100.47
Chile,2009,100.55
Chile,2010,100.00
Chile,2011,102.30
Chile,2012,107.36
Chile,2013,106.28
Chile,2014,108.05
Chile,2015,108.88
Chile,2016,110.20
Costa Rica,2001,78.74
Costa Rica,2002,79.18
Costa Rica,2003,80.25
Costa Rica,2004,82.19
Costa Rica,2005,80.68
Costa Rica,2006,83.79
Costa Rica,2007,84.90
Costa Rica,2008,87.50
Costa Rica,2009,89.89
Costa Rica,2010,100.00
Costa Rica,2011,104.70
Costa Rica,2012,103.16
Costa Rica,2013,108.32
Costa Rica,2014,111.04
Costa Rica,2015,114.52
Costa Rica,2016,119.89
Czech Republic,2001,77.78
Czech Republic,2002,78.65
Czech Republic,2003,82.60
Czech Republic,2004,86.30
Czech Republic,2005,90.19
Czech Republic,2006,96.03
Czech Republic,2007,100.16
Czech Republic,2008,100.37
Czech Republic,2009,97.89
Czech Republic,2010,100.00
Czech Republic,2011,101.71
Czech Republic,2012,102.14
Czech Republic,2013,102.08
Czech Republic,2014,103.47
Czech Republic,2015,108.69
Czech Republic,2016,108.71
Denmark,2001,90.61
Denmark,2002,91.35
Denmark,2003,92.86
Denmark,2004,95.82
Denmark,2005,97.14
Denmark,2006,98.42
Denmark,2007,98.60
Denmark,2008,97.13
Denmark,2009,96.23
Denmark,2010,100.00
Denmark,2011,100.35
Denmark,2012,102.26
Denmark,2013,103.07
Denmark,2014,104.54
Denmark,2015,105.05
Denmark,2016,105.57
EA19,2001,93.03
EA19,2002,93.93
EA19,2003,94.40
EA19,2004,95.54
EA19,2005,96.38
EA19,2006,97.83
EA19,2007,98.79
EA19,2008,98.49
EA19,2009,97.52
EA19,2010,100.00
EA19,2011,101.55
EA19,2012,102.28
EA19,2013,103.41
EA19,2014,104.19
EA19,2015,105.23
EA19,2016,105.84
Estonia,2001,68.25
Estonia,2002,72.33
Estonia,2003,75.84
Estonia,2004,80.61
Estonia,2005,85.27
Estonia,2006,89.98
Estonia,2007,96.89
Estonia,2008,93.26
Estonia,2009,95.12
Estonia,2010,100.00
Estonia,2011,98.66
Estonia,2012,103.04
Estonia,2013,104.85
Estonia,2014,107.43
Estonia,2015,106.62
Estonia,2016,108.30
EU28,2001,90.86
EU28,2002,92.36
EU28,2003,93.64
EU28,2004,95.21
EU28,2005,96.25
EU28,2006,97.81
EU28,2007,98.80
EU28,2008,98.41
EU28,2009,97.05
EU28,2010,100.00
EU28,2011,101.45
EU28,2012,102.38
EU28,2013,103.40
EU28,2014,104.06
EU28,2015,105.46
EU28,2016,106.06
Finland,2001,89.40
Finland,2002,90.38
Finland,2003,92.52
Finland,2004,95.49
Finland,2005,97.22
Finland,2006,99.60
Finland,2007,102.66
Finland,2008,101.57
Finland,2009,96.84
Finland,2010,100.00
Finland,2011,101.60
Finland,2012,100.01
Finland,2013,100.62
Finland,2014,100.66
Finland,2015,100.74
Finland,2016,102.31
France,2001,93.17
France,2002,95.85
France,2003,96.34
France,2004,97.35
France,2005,98.15
France,2006,100.49
France,2007,100.15
France,2008,99.37
France,2009,98.61
France,2010,100.00
France,2011,100.85
France,2012,101.09
France,2013,102.42
France,2014,103.27
France,2015,104.11
France,2016,105.14
G-7,2001,87.94
G-7,2002,89.88
G-7,2003,91.59
G-7,2004,93.50
G-7,2005,95.04
G-7,2006,96.00
G-7,2007,96.80
G-7,2008,97.05
G-7,2009,97.56
G-7,2010,100.00
G-7,2011,100.64
G-7,2012,101.00
G-7,2013,101.83
G-7,2014,102.48
G-7,2015,103.47
G-7,2016,103.76
Germany,2001,92.34
Germany,2002,93.47
Germany,2003,94.23
Germany,2004,95.17
Germany,2005,96.61
Germany,2006,98.47
Germany,2007,99.97
Germany,2008,100.15
Germany,2009,97.59
Germany,2010,100.00
Germany,2011,102.06
Germany,2012,102.69
Germany,2013,103.51
Germany,2014,104.27
Germany,2015,105.09
Germany,2016,106.14
Greece,2001,91.42
Greece,2002,93.08
Greece,2003,97.21
Greece,2004,100.16
Greece,2005,97.32
Greece,2006,101.50
Greece,2007,104.14
