Entity,Year,How much we think we spend on health expenditure (IPSOS (2016)),How much we actually spend on health expenditure (IPSOS (2016))
Argentina,2016,17,5
Australia,2016,21,10
Belgium,2016,22,11
Brazil,2016,25,8
Canada,2016,28,10
Chile,2016,16,8
China,2016,21,6
Colombia,2016,17,7
Czech Republic,2016,16,7
Denmark,2016,21,11
France,2016,22,12
Germany,2016,20,11
Hong Kong,2016,21,5
Hungary,2016,12,7
India,2016,27,5
Indonesia,2016,39,3
Israel,2016,19,8
Italy,2016,18,9
Japan,2016,22,10
Malaysia,2016,37,4
Mexico,2016,19,6
Montenegro,2016,23,6
Netherlands,2016,19,11
Norway,2016,20,10
Peru,2016,17,6
Philippines,2016,24,5
Poland,2016,10,6
Russia,2016,11,7
Serbia,2016,20,10
Singapore,2016,21,5
South Africa,2016,25,9
South Korea,2016,17,7
Spain,2016,17,9
Sweden,2016,20,11
Taiwan,2016,22,7
Thailand,2016,30,7
Turkey,2016,23,5
United Kingdom,2016,19,9
United States,2016,31,18
Vietnam,2016,16,7
